,mean_rank
COVIDhub-ensemble,13.3
UMass-MechBayes,13.9
Microsoft-DeepSTIA,14.4
Karlen-pypm,15.3
LNQ-ens1,15.5
MIT_CritData-GBCF,15.8
MOBS-GLEAM_COVID,16.4
GT-DeepCOVID,16.6
SteveMcConnell-CovidComplete,16.6
JHU_CSSE-DECOM,16.7
epiforecasts-ensemble1,17.0
Google_Harvard-CPF,17.3
COVIDhub-baseline,17.3
CEID-Walk,18.5
UT-Mobility,18.7
UCLA-SuEIR,18.9
UCSD_NEU-DeepGLEAM,19.0
CMU-TimeSeries,19.1
USC-SI_kJalpha,19.4
LANL-GrowthRate,19.5
OliverWyman-Navigator,19.7
UA-EpiCovDA,19.8
Caltech-CS156,19.9
AIpert-pwllnod,20.1
RobertWalraven-ESG,20.7
PSI-DRAFT,21.0
IowaStateLW-STEM,21.6
DDS-NBDS,22.3
JHU_IDD-CovidSP,22.6
CovidAnalytics-DELPHI,23.2
UChicagoCHATTOPADHYAY-UnIT,23.7
MITCovAlliance-SIR,24.3
UMich-RidgeTfReg,24.5
BPagano-RtDriven,24.6
UCSB-ACTS,25.2
CU-select,28.3
JHUAPL-Bucky,28.3
TTU-squider,29.4
Covid19Sim-Simulator,29.5
WalmartLabsML-LogForecasting,32.3
