,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Alabama,6657,5783.0,6251.9,5824.0,6820.0,6148.1,6062.0,,6628.0,5796.0,6959.9,5967.0,6121.2,7353.7,5791.5,6035.0,,5646.8,,5668.0,4870.4,-874.0,-405.1,-833.0,163.0,-508.9,-595.0,,-29.0,-861.0,302.9,-690.0,-535.8,696.7,-865.5,-622.0,,-1010.2,,-989.0,-1786.6,True,True,True,True,True,,True,True,True,True,True,True,True,True,,False,,False,False
Alaska,259,222.9,198.2,224.4,298.0,336.0,275.0,,347.1,,265.9,259.9,376.3,280.3,232.0,307.5,,246.3,,462.8,224.3,-36.1,-60.8,-34.6,39.0,77.0,16.0,,88.1,,6.9,0.9,117.3,21.3,-27.0,48.5,,-12.7,,203.8,-34.7,False,True,False,False,True,,False,,True,True,False,True,True,False,,True,,False,True
Arizona,12170,10953.3,14137.7,11012.6,11567.0,10510.0,10292.0,,10936.8,11038.0,11975.8,10693.2,12432.6,11370.5,14309.0,10473.0,,10417.2,,10831.9,8520.0,-1216.7,1967.7,-1157.4,-603.0,-1660.0,-1878.0,,-1233.2,-1132.0,-194.2,-1476.8,262.6,-799.5,2139.0,-1697.0,,-1752.8,,-1338.1,-3650.0,False,True,True,False,False,,False,True,True,False,True,True,False,False,,False,,False,False
Arkansas,4563,4655.3,4540.6,4591.3,4876.0,4226.0,4359.0,,3702.7,4856.0,5023.3,4311.3,4418.1,4811.9,5619.5,4642.5,,4440.6,,7494.7,3657.7,92.3,-22.4,28.3,313.0,-337.0,-204.0,,-860.3,293.0,460.3,-251.7,-144.9,248.9,1056.5,79.5,,-122.4,,2931.7,-905.3,True,True,False,False,False,,False,False,False,False,False,False,False,True,,False,,False,False
California,36846,30616.4,36338.2,30702.8,52032.0,33922.8,36577.0,,37043.4,30408.0,39003.3,41313.7,37924.6,39654.6,43473.5,28708.0,,29843.3,33277.0,,24371.0,-6227.6,-505.8,-6141.2,15188.0,-2921.2,-267.0,,199.4,-6436.0,2159.3,4469.7,1080.6,2810.6,6629.5,-8136.0,,-7000.7,-3567.0,,-12473.0,True,True,False,True,True,,True,False,True,True,True,True,False,False,,False,True,,False
Colorado,5482,6359.4,6008.9,6678.3,6020.0,6040.9,5683.0,,6477.9,6565.0,6698.8,5176.9,6325.1,5972.5,6279.0,6515.5,,5897.9,,9689.2,4802.8,877.4,526.9,1196.3,538.0,558.9,201.0,,995.9,1083.0,1216.8,-305.1,843.1,490.5,797.0,1033.5,,415.9,,4207.2,-679.2,True,False,True,True,True,,False,False,False,True,True,True,True,False,,True,,False,True
Connecticut,6819,6639.9,6234.5,6670.8,7370.0,7042.7,6318.0,,6982.6,6769.0,7301.2,6782.9,7381.0,6824.2,6725.0,6980.5,,6127.4,,7079.2,5713.6,-179.1,-584.5,-148.2,551.0,223.7,-501.0,,163.6,-50.0,482.2,-36.1,562.0,5.2,-94.0,161.5,,-691.6,,260.2,-1105.4,False,True,False,False,False,,True,True,False,True,False,True,True,True,,False,,False,False
Delaware,1036,1085.4,1116.9,1073.0,1099.0,1023.6,1078.0,,1051.3,1114.0,1128.0,1019.4,1274.0,1233.0,1046.0,968.0,,1056.6,,1049.0,909.3,49.4,80.9,37.0,63.0,-12.4,42.0,,15.3,78.0,92.0,-16.6,238.0,197.0,10.0,-68.0,,20.6,,13.0,-126.7,False,True,False,True,True,,True,False,False,True,False,False,True,False,,True,,True,False
District of Columbia,870,843.9,1307.8,815.2,851.0,856.7,829.0,,828.1,812.0,867.1,816.7,935.2,895.6,833.0,774.0,,781.1,,840.5,754.1,-26.1,437.8,-54.8,-19.0,-13.3,-41.0,,-41.9,-58.0,-2.9,-53.3,65.2,25.6,-37.0,-96.0,,-88.9,,-29.5,-115.9,False,False,True,True,False,,False,False,True,False,False,True,False,False,,False,,False,False
Florida,25164,23977.7,23130.8,23912.0,25416.0,25035.3,23958.0,,26087.4,23408.0,25240.6,23863.5,30224.4,25610.6,24064.0,25952.5,,23424.2,,,22083.3,-1186.3,-2033.2,-1252.0,252.0,-128.7,-1206.0,,923.4,-1756.0,76.6,-1300.5,5060.4,446.6,-1100.0,788.5,,-1739.8,,,-3080.7,False,False,True,True,False,,True,False,True,False,False,True,True,True,,False,,,False
