,mean_rank
Microsoft-DeepSTIA,12.2
Caltech-CS156,12.5
JHU_CSSE-DECOM,12.9
Google_Harvard-CPF,12.9
MOBS-GLEAM_COVID,13.8
Karlen-pypm,14.0
COVIDhub-ensemble,14.0
JCB-PRM,15.3
BPagano-RtDriven,15.8
UCSB-ACTS,16.4
MIT_CritData-GBCF,16.5
OliverWyman-Navigator,17.1
GT-DeepCOVID,17.6
epiforecasts-ensemble1,17.8
USC-SI_kJalpha,17.9
Covid19Sim-Simulator,17.9
IowaStateLW-STEM,18.1
COVIDhub-baseline,19.4
LANL-GrowthRate,19.5
CMU-TimeSeries,19.6
CEID-Walk,20.1
JHU_IDD-CovidSP,20.2
Columbia_UNC-SurvCon,20.2
UCSD_NEU-DeepGLEAM,20.8
TTU-squider,21.8
IHME-CurveFit,22.1
CovidAnalytics-DELPHI,22.1
AIpert-pwllnod,23.0
DDS-NBDS,23.1
PSI-DRAFT,23.1
UMass-MechBayes,23.2
UMich-RidgeTfReg,23.4
SteveMcConnell-CovidComplete,23.5
UCLA-SuEIR,25.5
LNQ-ens1,27.3
RobertWalraven-ESG,28.3
CU-select,29.5
JHUAPL-Bucky,30.2
UA-EpiCovDA,31.3
