,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,6657,3868.9,4995.1,6947.5,3642.0,,3473.7,-2788.1,-1661.9,290.5,-3015.0,,-3183.3,True,True,False,,False
Alaska,259,80.9,273.4,241.8,,,97.0,-178.1,14.4,-17.2,,,-162.0,True,True,,,True
Arizona,12170,6478.3,7189.8,7125.1,6394.0,,6600.4,-5691.7,-4980.2,-5044.9,-5776.0,,-5569.6,True,True,False,,True
Arkansas,4563,3200.6,3673.3,3827.2,3372.0,,2681.3,-1362.4,-889.7,-735.8,-1191.0,,-1881.7,True,True,True,,False
California,36846,22230.9,24259.0,28871.1,20264.0,,21081.3,-14615.1,-12587.0,-7974.9,-16582.0,,-15764.7,True,True,False,,False
Colorado,5482,2827.3,4084.1,5593.8,2647.0,,2420.3,-2654.7,-1397.9,111.8,-2835.0,,-3061.7,True,True,False,,False
Connecticut,6819,5027.0,5477.6,4994.4,4746.0,,4715.2,-1792.0,-1341.4,-1824.6,-2073.0,,-2103.8,True,False,False,,False
Delaware,1254,886.7,867.0,990.6,765.0,,756.4,-332.3,-352.0,-228.4,-454.0,,-462.6,False,True,False,,False
District of Columbia,870,654.9,753.6,907.7,665.0,,658.9,-215.1,-116.4,37.7,-205.0,,-211.1,True,True,True,,True
Florida,25164,22369.0,24420.8,28361.3,20764.0,,20295.1,-2795.0,-743.2,3197.3,-4400.0,,-4868.9,True,False,False,,False
Georgia,13246,10007.6,10991.8,12818.5,9723.0,,9872.7,-3238.4,-2254.2,-427.5,-3523.0,,-3373.3,True,True,False,,False
Hawaii,335,533.4,453.5,560.6,,,287.4,198.4,118.5,225.6,,,-47.6,True,False,,,True
Idaho,1668,1151.6,1225.5,1119.4,970.0,,896.0,-516.4,-442.5,-548.6,-698.0,,-772.0,True,False,False,,False
Illinois,20645,13645.0,17169.3,17634.0,12292.0,,11487.3,-7000.0,-3475.7,-3011.0,-8353.0,,-9157.7,True,True,False,,False
Indiana,10950,6611.4,8567.9,8695.7,6166.0,,5105.9,-4204.6,-2248.1,-2120.3,-4650.0,,-5710.1,True,True,False,,False
Iowa,4486,2959.3,3208.8,3663.3,2522.0,,2419.5,-1526.7,-1277.2,-822.7,-1964.0,,-2066.5,True,True,False,,False
Kansas,3587,2203.1,2332.1,3437.7,1672.0,,1540.9,-1364.9,-1235.9,-130.3,-1896.0,,-2027.1,True,True,False,,False
Kentucky,3386,2551.3,2717.6,3443.1,2344.0,,2338.9,-834.7,-668.4,57.1,-1042.0,,-1047.1,True,True,False,,False
Louisiana,8483,6955.6,7074.7,8310.0,6870.0,,7363.5,-1527.4,-1408.3,-173.0,-1613.0,,-1119.5,True,True,False,,True
Maine,544,146.0,166.8,195.9,186.0,,150.8,-398.0,-377.2,-348.1,-358.0,,-393.2,True,True,True,,True
Maryland,6837,4854.6,4748.6,6154.0,4404.0,34609.0,4366.7,-1982.4,-2088.4,-683.0,-2433.0,27772.0,-2470.3,False,True,False,False,False
Massachusetts,14064,11496.9,12812.4,13004.3,11042.0,,10312.2,-2567.1,-1251.6,-1059.7,-3022.0,,-3751.8,True,True,False,,False
Michigan,15181,9862.0,11739.0,13022.4,9877.0,,8240.0,-5319.0,-3442.0,-2158.6,-5304.0,,-6941.0,True,True,True,,False
Minnesota,6131,3880.6,5367.0,5600.4,4121.0,,3314.2,-2250.4,-764.0,-530.6,-2010.0,,-2816.8,True,True,True,,False
Mississippi,5752,4335.0,4432.4,5031.4,4154.0,,4146.9,-1417.0,-1319.6,-720.6,-1598.0,,-1605.1,True,True,False,,False
Missouri,6841,5751.4,6671.2,6010.0,4417.0,,3343.2,-1070.6,-150.8,-812.0,-2405.0,,-3478.8,True,True,False,,False
Montana,1141,1017.0,1272.5,1118.6,747.0,,529.4,-124.0,131.5,-22.4,-394.0,,-611.6,False,True,False,,False
Nebraska,1879,1213.1,1436.7,1424.5,1120.0,,787.5,-665.9,-442.3,-454.5,-759.0,,-1091.5,True,True,False,,False
Nevada,4011,2181.1,2712.0,3661.8,2190.0,,2534.6,-1825.9,-1295.0,-345.2,-1817.0,,-1472.4,True,True,True,,True
New Hampshire,981,563.0,896.2,2376.4,585.0,,522.1,-418.0,-84.8,1395.4,-396.0,,-458.9,True,False,True,,False
New Jersey,20934,17236.4,19647.3,17047.9,16733.0,,16673.4,-3697.6,-1286.7,-3886.1,-4201.0,,-4260.6,True,False,False,,False
New Mexico,3115,1391.3,2130.9,2417.4,1243.0,,1137.8,-1723.7,-984.1,-697.6,-1872.0,,-1977.2,True,True,False,,False
New York,42134,34257.7,36379.3,37275.0,34052.0,,33883.3,-7656.3,-5534.7,-4639.0,-7862.0,,-8030.7,True,True,False,,False
North Carolina,8586,7024.1,7072.8,8458.1,6558.0,,5603.6,-1561.9,-1513.2,-127.9,-2028.0,,-2982.4,True,True,False,,False
North Dakota,1436,1124.6,1859.0,1128.7,1224.0,,806.3,-311.4,423.0,-307.3,-212.0,,-629.7,False,True,True,,False
Ohio,16360,6993.1,8018.1,9803.5,7285.0,,6493.3,-9531.9,-8506.9,-6721.5,-9240.0,,-10031.7,True,True,True,,False
Oklahoma,3231,2251.9,2133.9,3362.9,2177.0,,1993.7,-979.1,-1097.1,131.9,-1054.0,,-1237.3,False,True,False,,False
Oregon,1877,1077.3,1109.2,1733.5,881.0,,977.6,-799.7,-767.8,-143.5,-996.0,,-899.4,True,True,False,,False
Pennsylvania,20454,10987.0,12814.1,16536.2,10565.0,,9410.7,-9467.0,-7639.9,-3917.8,-9889.0,,-11043.3,True,True,False,,False
Rhode Island,2256,1498.4,2153.3,1717.1,1406.0,,1275.5,-741.6,-86.7,-522.9,-834.0,,-964.5,True,True,False,,False
South Carolina,6479,5756.3,5016.7,6259.6,4638.0,,5055.9,-722.7,-1462.3,-219.4,-1841.0,,-1423.1,False,True,False,,False
South Dakota,1696,1043.6,1402.2,894.5,878.0,,622.2,-652.4,-293.8,-801.5,-818.0,,-1073.8,True,False,False,,False
Tennessee,8819,5985.3,7098.1,7108.5,5489.0,,5233.9,-2833.7,-1720.9,-1710.5,-3330.0,,-3585.1,True,True,False,,False
Texas,34725,24255.0,23760.2,28776.6,23818.0,41533.0,22473.4,-10164.0,-10658.8,-5642.4,-10601.0,7114.0,-11945.6,False,True,False,True,False
Utah,1582,944.9,1554.9,2415.0,1086.0,,919.2,-637.1,-27.1,833.0,-496.0,,-662.8,True,False,True,,False
Vermont,170,58.0,65.3,64.1,58.0,,58.0,-112.0,-104.7,-105.9,-112.0,,-112.0,True,True,False,,False
Virginia,6079,5439.3,4971.2,5125.4,4808.0,,4240.0,-635.7,-1103.8,-949.6,-1267.0,,-1835.0,False,False,False,,False
Washington,4114,3028.9,3243.6,3897.4,2910.0,,2949.2,-1096.1,-881.4,-227.6,-1215.0,,-1175.8,True,True,False,,False
West Virginia,1872,720.7,799.9,882.0,837.0,,666.0,-1151.3,-1072.1,-990.0,-1035.0,,-1206.0,True,True,True,,False
Wisconsin,6184,4400.9,4344.9,5883.0,4036.0,,3201.7,-1480.1,-1536.1,2.0,-1845.0,,-2679.3,False,True,False,,False
