,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Alabama,6657,5855.9,6276.4,7042.3,5914.0,6331.0,5868.3,5991.0,5474.0,5976.4,6332.0,6171.5,6217.0,6813.8,5751.9,6047.1,,6025.4,6786.0,6141.3,5990.9,6425.0,6021.6,6796.9,5365.0,5643.9,5967.0,6229.9,5969.9,6142.2,6089.0,,5398.8,5731.7,5906.0,6613.2,5280.0,5250.8,,5930.3,6144.0,5699.0,5646.8,6277.0,6053.8,-801.1,-380.6,385.3,-743.0,-326.0,-788.7,-666.0,-1183.0,-680.6,-325.0,-485.5,-440.0,156.8,-905.1,-609.9,,-631.6,129.0,-515.7,-666.1,-232.0,-635.4,139.9,-1292.0,-1013.1,-690.0,-427.1,-687.1,-514.8,-568.0,,-1258.2,-925.3,-751.0,-43.8,-1377.0,-1406.2,,-726.7,-513.0,-958.0,-1010.2,-380.0,-603.2,True,True,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,True,True,False,False,,True,True,False,False,True,True
Alaska,259,261.7,211.8,256.5,280.2,269.0,264.0,255.0,230.0,249.9,221.0,305.6,260.0,240.9,236.3,269.9,,352.3,,247.6,208.6,268.0,307.6,247.2,245.0,223.8,306.0,268.1,272.5,240.4,303.0,,,218.8,247.0,296.2,254.0,288.3,,270.6,200.0,253.0,240.1,230.0,282.7,2.7,-47.2,-2.5,21.2,10.0,5.0,-4.0,-29.0,-9.1,-38.0,46.6,1.0,-18.1,-22.7,10.9,,93.3,,-11.4,-50.4,9.0,48.6,-11.8,-14.0,-35.2,47.0,9.1,13.5,-18.6,44.0,,,-40.2,-12.0,37.2,-5.0,29.3,,11.6,-59.0,-6.0,-18.9,-29.0,23.7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False
Arizona,12170,10185.9,9852.4,11945.1,10387.5,11016.0,10371.9,10848.0,10115.0,10855.8,10448.0,11233.0,9160.0,12831.4,10859.2,11344.1,,11726.9,11232.0,11682.5,9930.8,11630.0,11320.2,11064.5,12753.0,10059.8,10743.0,11088.9,10994.6,11452.2,11179.0,,10455.8,9969.1,10653.0,13954.2,9445.0,9513.8,,10417.2,11028.6,10365.0,9240.1,11448.0,9957.7,-1984.1,-2317.6,-224.9,-1782.5,-1154.0,-1798.1,-1322.0,-2055.0,-1314.2,-1722.0,-937.0,-3010.0,661.4,-1310.8,-825.9,,-443.1,-938.0,-487.5,-2239.2,-540.0,-849.8,-1105.5,583.0,-2110.2,-1427.0,-1081.1,-1175.4,-717.8,-991.0,,-1714.2,-2200.9,-1517.0,1784.2,-2725.0,-2656.2,,-1752.8,-1141.4,-1805.0,-2929.9,-722.0,-2212.3,False,True,True,True,True,True,False,True,True,True,False,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,False,True,True,False,False,,True,True,True,False,True,False
Arkansas,4563,4427.0,4551.6,4725.9,4432.7,4279.0,4440.5,4441.0,4142.0,4528.3,5151.0,4723.0,4408.0,4223.8,4317.0,4574.0,,4893.9,4811.0,4924.6,4419.0,4548.0,4346.5,4835.0,5694.5,4345.3,4328.0,4663.3,4655.0,4737.5,4179.0,,4468.2,4240.2,4392.0,4590.3,3968.0,4350.6,,4220.0,4501.0,4178.0,4152.7,4668.0,4293.1,-136.0,-11.4,162.9,-130.3,-284.0,-122.5,-122.0,-421.0,-34.7,588.0,160.0,-155.0,-339.2,-246.0,11.0,,330.9,248.0,361.6,-144.0,-15.0,-216.5,272.0,1131.5,-217.7,-235.0,100.3,92.0,174.5,-384.0,,-94.8,-322.8,-171.0,27.3,-595.0,-212.4,,-343.0,-62.0,-385.0,-410.3,105.0,-269.9,True,False,True,False,True,True,False,True,False,False,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,True,False,False,,True,False,False,True,False,False,,False,True,False,False,True,False
California,36846,30480.4,26949.9,36160.1,30887.5,30350.0,30762.3,32824.0,29823.0,34633.9,38173.0,38419.6,32725.0,32156.0,33363.9,35646.0,,36955.9,32186.0,37083.3,39680.1,29114.0,35512.2,33472.2,42006.0,32687.4,32355.0,33327.9,32171.3,32600.6,33076.0,,28789.4,30046.0,32463.0,40109.5,29947.0,29237.0,,35992.9,33428.6,33132.0,31622.6,36571.0,34086.9,-6358.6,-9889.1,-678.9,-5951.5,-6489.0,-6076.7,-4015.0,-7016.0,-2205.1,1334.0,1580.6,-4114.0,-4683.0,-3475.1,-1193.0,,116.9,-4653.0,244.3,2841.1,-7725.0,-1326.8,-3366.8,5167.0,-4151.6,-4484.0,-3511.1,-4667.7,-4238.4,-3763.0,,-8049.6,-6793.0,-4376.0,3270.5,-6892.0,-7602.0,,-846.1,-3410.4,-3707.0,-5216.4,-268.0,-2752.1,False,True,True,False,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,False,,True,True,True,True,True,True
Colorado,5482,5543.4,5168.3,5222.3,5422.6,5973.0,5604.7,5605.0,5100.0,5696.3,5482.0,6205.5,5605.0,6087.8,5530.9,6073.1,,6477.9,6355.0,5683.5,4933.8,6163.0,5507.4,5716.1,5798.5,5305.0,5752.0,5945.6,5895.5,5716.5,6438.0,,5529.2,5116.8,5347.0,5054.3,5158.0,5293.4,,6410.3,5842.4,5285.0,5545.7,5525.0,5178.6,61.4,-313.7,-259.7,-59.4,491.0,122.7,123.0,-382.0,214.3,0.0,723.5,123.0,605.8,48.9,591.1,,995.9,873.0,201.5,-548.2,681.0,25.4,234.1,316.5,-177.0,270.0,463.6,413.5,234.5,956.0,,47.2,-365.2,-135.0,-427.7,-324.0,-188.6,,928.3,360.4,-197.0,63.7,43.0,-303.4,False,False,True,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,,False,False,False,False,True,False
Connecticut,6819,6601.0,6598.5,6622.7,6613.8,6552.0,6631.3,6545.0,6196.0,6556.8,6379.0,7056.5,6039.0,8982.5,6586.0,6746.3,,6844.5,6842.0,6950.7,6028.1,6760.0,6895.0,6597.4,6458.0,6298.8,6744.0,6691.6,6767.8,6518.1,6545.0,,6345.1,6323.3,6170.0,6634.7,5928.0,6314.5,,6764.9,6560.6,6356.0,6358.8,6268.0,6626.9,-218.0,-220.5,-196.3,-205.2,-267.0,-187.7,-274.0,-623.0,-262.2,-440.0,237.5,-780.0,2163.5,-233.0,-72.7,,25.5,23.0,131.7,-790.9,-59.0,76.0,-221.6,-361.0,-520.2,-75.0,-127.4,-51.2,-300.9,-274.0,,-473.9,-495.7,-649.0,-184.3,-891.0,-504.5,,-54.1,-258.4,-463.0,-460.2,-551.0,-192.1,False,True,True,False,True,False,False,False,False,False,False,False,False,True,,True,True,True,False,True,True,False,False,False,True,True,True,False,False,,False,False,False,True,False,False,,True,False,False,False,False,True
Delaware,1254,1032.0,933.0,1177.4,1053.2,1021.0,1043.1,1058.0,983.0,1072.0,974.0,1062.1,1087.0,1014.4,1052.9,1105.5,,1044.6,1158.0,1070.4,933.3,1139.0,1185.0,1077.5,974.0,1001.8,1127.0,1071.5,1135.7,1087.2,1043.0,,,1038.0,1042.0,1251.8,1012.0,998.5,,1102.4,922.8,1054.0,989.8,1074.0,1063.9,-87.0,-186.0,58.4,-65.8,-98.0,-75.9,-61.0,-136.0,-47.0,-145.0,-56.9,-32.0,-104.6,-66.1,-13.5,,-74.4,39.0,-48.6,-185.7,20.0,66.0,-41.5,-145.0,-117.2,8.0,-47.5,16.7,-31.8,-76.0,,,-81.0,-77.0,132.8,-107.0,-120.5,,-16.6,-196.2,-65.0,-129.2,-45.0,-55.1,False,True,True,False,True,True,False,True,False,True,True,False,True,True,,True,True,True,False,True,True,True,False,False,True,True,True,True,True,,,True,True,False,False,False,,True,False,True,False,True,True
District of Columbia,870,887.6,1157.1,995.4,886.3,846.0,890.0,873.0,818.0,881.1,855.0,859.6,788.0,874.1,888.8,858.3,,839.2,843.0,872.9,790.8,873.0,875.6,908.8,934.0,841.8,908.0,,,850.6,841.0,,,879.6,843.0,928.4,893.0,875.8,,850.9,,875.0,,876.0,916.4,17.6,287.1,125.4,16.3,-24.0,20.0,3.0,-52.0,11.1,-15.0,-10.4,-82.0,4.1,18.8,-11.7,,-30.8,-27.0,2.9,-79.2,3.0,5.6,38.8,64.0,-28.2,38.0,,,-19.4,-29.0,,,9.6,-27.0,58.4,23.0,5.8,,-19.1,,5.0,,6.0,46.4,False,False,True,False,False,True,False,True,True,True,False,True,False,True,,False,False,True,False,True,True,False,False,False,False,,,False,False,,,True,False,False,False,True,,False,,True,,True,False
Florida,25164,23696.0,23132.7,23875.2,23814.1,24247.0,23780.6,24009.0,22596.0,24660.9,24603.0,25105.2,24610.0,23735.6,23602.7,24983.3,,25476.7,24320.0,24769.7,24008.8,23946.0,28273.2,25239.5,24290.0,24028.4,24248.0,24165.5,24634.0,24280.6,23837.0,,23660.4,22974.6,23937.0,27863.2,22864.0,23467.7,,23887.8,24033.8,24361.0,22511.8,24514.0,24298.8,-1468.0,-2031.3,-1288.8,-1349.9,-917.0,-1383.4,-1155.0,-2568.0,-503.1,-561.0,-58.8,-554.0,-1428.4,-1561.3,-180.7,,312.7,-844.0,-394.3,-1155.2,-1218.0,3109.2,75.5,-874.0,-1135.6,-916.0,-998.5,-530.0,-883.4,-1327.0,,-1503.6,-2189.4,-1227.0,2699.2,-2300.0,-1696.3,,-1276.2,-1130.2,-803.0,-2652.2,-650.0,-865.2,False,True,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,False,False,True,False,False,False,,True,True,True,False,True,True
