,actual_deaths,Baseline,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,UCLA-SuEIR,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,error-Baseline,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-UCLA-SuEIR,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting
Oregon,1877,1910.7,1944.3,2044.0,1880.0,,2554.4,1859.0,2595.5,2216.7,,2127.0,2105.5,1224.1,33.7,67.3,167.0,3.0,,677.4,-18.0,718.5,339.7,,250.0,228.5,-652.9,False,False,True,,False,True,False,False,,False,False,False
Pennsylvania,20454,17824.1,17894.0,17641.0,20435.2,,19847.1,18036.0,21746.9,20135.7,,17887.5,16780.3,12193.4,-2629.9,-2560.0,-2813.0,-18.8,,-606.9,-2418.0,1292.9,-318.3,,-2566.5,-3673.7,-8260.6,True,False,True,,True,True,True,True,,True,False,False
Rhode Island,2083,1872.4,1883.1,1898.0,1976.6,,1865.9,1720.0,2091.4,2068.4,,1772.6,1858.4,1434.8,-210.6,-199.9,-185.0,-106.4,,-217.1,-363.0,8.4,-14.6,,-310.4,-224.6,-648.2,True,True,True,,False,False,True,True,,False,False,False
South Carolina,6479,6026.6,5714.6,5185.0,5477.6,,6597.7,5378.0,6158.0,5645.6,,6018.6,5327.7,5044.1,-452.4,-764.4,-1294.0,-1001.4,,118.7,-1101.0,-321.0,-833.4,,-460.4,-1151.3,-1434.9,False,False,False,,True,False,True,False,,False,False,False
South Dakota,1696,2255.1,2134.1,1378.0,1997.4,,1948.2,2470.0,2383.4,1646.2,,1537.1,2393.8,1524.8,559.1,438.1,-318.0,301.4,,252.2,774.0,687.4,-49.8,,-158.9,697.8,-171.2,True,True,True,,True,False,False,True,,True,False,True
Tennessee,8819,7610.4,7453.7,7567.0,8651.3,,8454.7,7733.0,8898.3,7944.0,,7795.7,7074.6,5753.3,-1208.6,-1365.3,-1252.0,-167.7,,-364.3,-1086.0,79.3,-875.0,,-1023.3,-1744.4,-3065.7,False,False,True,,True,True,True,True,,True,False,False
Texas,34725,32010.1,31920.1,26867.0,32934.5,,33976.4,32308.0,37358.9,37752.4,,31060.0,29525.6,26011.9,-2418.9,-2508.9,-7562.0,-1494.5,,-452.6,-2121.0,2929.9,3323.4,,-3369.0,-4903.4,-8417.1,False,False,True,,True,True,False,False,,False,False,False
Utah,1582,1425.9,1471.0,1152.0,2010.7,,1969.7,1596.0,1973.8,1339.8,,1394.4,1557.4,829.8,-156.1,-111.0,-430.0,428.7,,387.7,14.0,391.8,-242.2,,-187.6,-24.6,-752.2,True,False,False,,False,True,False,False,,False,True,False
Vermont,170,161.3,163.0,125.0,136.2,,97.8,81.5,212.8,180.1,,167.8,300.6,83.7,-8.7,-7.0,-45.0,-33.8,,-72.2,-88.5,42.8,10.1,,-2.2,130.6,-86.3,True,False,False,,False,False,False,False,,True,False,False
Virginia,6079,5173.7,5198.8,5866.0,5750.9,,8265.4,5363.0,6253.0,5989.9,,5122.0,5139.2,4637.8,-905.3,-880.2,-213.0,-328.1,,2186.4,-716.0,174.0,-89.1,,-957.0,-939.8,-1441.2,True,True,True,,False,True,True,True,,False,False,False
Washington,4114,4447.3,4478.8,4053.0,4277.7,,4101.3,4205.0,4831.7,4477.7,,5041.4,,3238.2,291.3,322.8,-103.0,121.7,,-54.7,49.0,675.7,321.7,,885.4,,-917.8,False,True,True,,True,True,False,False,,False,,False
West Virginia,1872,1585.4,1605.6,1013.0,2052.6,,1958.1,1496.0,2107.1,1835.7,,1957.2,1310.1,1049.9,-286.6,-266.4,-859.0,180.6,,86.1,-376.0,235.1,-36.3,,85.2,-561.9,-822.1,True,False,True,,True,False,True,True,,True,False,False
Wisconsin,6184,7140.6,7224.1,4529.0,5660.2,,6820.7,6922.0,6687.5,4855.4,,7026.6,6152.8,4950.9,956.6,1040.1,-1655.0,-523.8,,636.7,738.0,503.5,-1328.6,,842.6,-31.2,-1233.1,False,False,True,,True,True,True,False,,True,True,False
Wyoming,571,615.7,623.0,326.0,637.5,,681.8,601.5,534.2,440.8,,407.9,590.9,344.7,44.7,52.0,-245.0,66.5,,110.8,30.5,-36.8,-130.2,,-163.1,19.9,-226.3,False,False,False,,False,True,True,False,,False,True,False
US,417476,388077.3,387173.1,388850.0,413706.7,403671.0,412939.9,384078.0,434109.9,399768.6,404646.0,390555.7,,312279.9,-29094.7,-29998.9,-28322.0,-3465.3,-13501.0,-4232.1,-33094.0,16937.9,-17403.4,-12526.0,-26616.3,,-104892.1,False,True,True,True,True,False,True,True,True,True,,False
