,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,13246,13014.3,13036.4,12356.5,13111.7,13132.0,13125.0,13011.0,12431.0,12837.3,12904.0,11907.3,12991.0,12883.8,13043.5,13314.1,12951.9,,12245.2,13270.0,13146.0,12564.6,12904.6,13083.0,13085.3,12981.0,12672.1,13056.8,12984.6,13184.2,12368.0,,12973.3,13123.9,,13236.0,14321.0,12836.0,13060.2,,13408.9,13073.5,13084.3,12894.0,12774.0,13186.0,,12124.9,12274.0,-231.7,-209.6,-889.5,-134.3,-114.0,-121.0,-235.0,-815.0,-408.7,-342.0,-1338.7,-255.0,-362.2,-202.5,68.1,-294.1,,-1000.8,24.0,-100.0,-681.4,-341.4,-163.0,-160.7,-265.0,-573.9,-189.2,-261.4,-61.8,-878.0,,-272.7,-122.1,,-10.0,1075.0,-410.0,-185.8,,162.9,-172.5,-161.7,-352.0,-472.0,-60.0,,-1121.1,-972.0,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,,False,True,True,False,False,True,True,False,False,True,False,True,False,,False,True,,True,False,False,True,,True,True,True,False,False,True,,False,False
Hawaii,335,332.1,332.6,320.8,332.1,333.0,331.0,333.0,328.0,333.0,333.0,312.9,344.0,334.8,,336.8,342.5,,331.8,,335.0,361.1,331.0,328.0,330.4,343.0,323.1,333.8,333.3,333.2,326.0,,,333.9,,334.0,342.0,333.0,330.4,,344.7,341.6,333.1,332.0,331.0,335.0,,325.3,337.0,-2.9,-2.4,-14.2,-2.9,-2.0,-4.0,-2.0,-7.0,-2.0,-2.0,-22.1,9.0,-0.2,,1.8,7.5,,-3.2,,0.0,26.1,-4.0,-7.0,-4.6,8.0,-11.9,-1.2,-1.7,-1.8,-9.0,,,-1.1,,-1.0,7.0,-2.0,-4.6,,9.7,6.6,-1.9,-3.0,-4.0,0.0,,-9.7,2.0,True,False,False,True,False,True,False,True,True,False,False,True,,True,False,,False,,True,False,False,False,False,False,False,True,True,True,False,,,True,,True,False,True,False,,False,False,True,False,False,True,,False,True
Idaho,1668,1669.6,1675.6,1631.2,1682.9,1688.0,1682.0,1679.0,1637.0,1680.3,1669.0,1631.1,1717.0,1729.2,1674.3,1691.7,1692.7,,1712.5,1707.0,1689.0,1707.5,1676.3,1674.0,1672.6,1700.0,,1689.6,1683.3,1677.8,1672.0,,,1656.8,,1680.0,1576.3,1656.0,1666.7,,1734.0,1700.3,1688.9,1659.0,1696.5,1672.0,,1660.8,1678.0,1.6,7.6,-36.8,14.9,20.0,14.0,11.0,-31.0,12.3,1.0,-36.9,49.0,61.2,6.3,23.7,24.7,,44.5,39.0,21.0,39.5,8.3,6.0,4.6,32.0,,21.6,15.3,9.8,4.0,,,-11.2,,12.0,-91.7,-12.0,-1.3,,66.0,32.3,20.9,-9.0,28.5,4.0,,-7.2,10.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,False,,False,False
Illinois,20645,20698.9,21088.1,20267.5,20807.3,20782.0,20830.0,20817.0,20675.0,20673.8,20908.0,20185.5,21294.0,21021.6,20667.9,20713.2,20814.5,,21350.4,20824.0,20869.0,20697.8,20724.6,20745.5,20789.5,20911.0,20660.1,20835.0,20830.9,20820.0,20769.0,,21006.5,20640.3,,20929.0,20158.7,20674.0,20596.3,,21333.4,20836.5,20737.0,20688.0,21037.3,20833.0,,20565.5,20568.0,53.9,443.1,-377.5,162.3,137.0,185.0,172.0,30.0,28.8,263.0,-459.5,649.0,376.6,22.9,68.2,169.5,,705.4,179.0,224.0,52.8,79.6,100.5,144.5,266.0,15.1,190.0,185.9,175.0,124.0,,361.5,-4.7,,284.0,-486.3,29.0,-48.7,,688.4,191.5,92.0,43.0,392.3,188.0,,-79.5,-77.0,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,,False,False,False,True,False,False,False,False,True,False,False,False,False,,False,True,,False,False,True,True,,False,False,False,True,False,False,,False,False
Indiana,10950,9588.6,9817.9,9524.8,9600.6,9647.0,9608.0,9689.0,9614.0,9658.7,9744.0,9629.1,10094.0,9791.8,9599.3,9435.3,9747.6,,10313.2,9687.0,9739.0,9381.0,9714.3,9670.0,9640.9,9827.0,9615.0,9778.9,9742.0,9586.2,9707.0,,9863.3,9501.7,,9696.0,9787.5,9541.0,9548.5,,10138.6,9778.3,9667.4,9644.0,9686.0,9682.0,,9214.3,9691.0,-69.4,159.9,-133.2,-57.4,-11.0,-50.0,31.0,-44.0,0.7,86.0,-28.9,436.0,133.8,-58.7,-222.7,89.6,,655.2,29.0,81.0,-277.0,56.3,12.0,-17.1,169.0,-43.0,120.9,84.0,-71.8,49.0,,205.3,-156.3,,38.0,129.5,-117.0,-109.5,,480.6,120.3,9.4,-14.0,28.0,24.0,,-443.7,33.0,False,False,True,True,True,True,True,True,False,True,False,False,True,False,False,,False,True,False,False,True,True,True,False,True,False,False,False,True,,False,False,,True,False,False,False,,False,False,True,True,True,True,,False,True
Iowa,4486,4481.6,4488.7,4349.0,4507.1,4461.0,4515.0,4508.0,4381.0,4482.0,4535.0,4462.0,4946.0,4530.4,4495.8,4351.1,4452.2,,4516.5,4558.0,4523.0,4512.8,4489.4,4418.0,4475.8,4501.0,4507.0,4518.0,4495.1,4509.8,4457.0,,4509.0,4396.1,,4531.0,4158.0,4443.0,4517.2,,4573.1,4526.7,4492.1,4448.0,4543.0,4520.0,,4465.9,4529.0,-4.4,2.7,-137.0,21.1,-25.0,29.0,22.0,-105.0,-4.0,49.0,-24.0,460.0,44.4,9.8,-134.9,-33.8,,30.5,72.0,37.0,26.8,3.4,-68.0,-10.2,15.0,21.0,32.0,9.1,23.8,-29.0,,23.0,-89.9,,45.0,-328.0,-43.0,31.2,,87.1,40.7,6.1,-38.0,57.0,34.0,,-20.1,43.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Kansas,3587,3787.3,3853.6,3638.0,3826.4,3831.0,3837.0,3796.0,3807.0,3666.1,3834.0,3530.5,4027.0,3917.6,3766.7,3914.4,3795.2,,3978.2,3738.0,3802.0,3713.2,3728.8,3667.0,3721.3,3783.0,3837.2,3830.3,3818.2,3820.1,3816.0,,3906.3,3723.6,,3810.0,3598.9,3660.0,3687.4,,3883.9,3844.4,3838.2,3727.0,3797.9,3847.0,,3666.6,3680.0,200.3,266.6,51.0,239.4,244.0,250.0,209.0,220.0,79.1,247.0,-56.5,440.0,330.6,179.7,327.4,208.2,,391.2,151.0,215.0,126.2,141.8,80.0,134.3,196.0,250.2,243.3,231.2,233.1,229.0,,319.3,136.6,,223.0,11.9,73.0,100.4,,296.9,257.4,251.2,140.0,210.9,260.0,,79.6,93.0,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,,False,True,False,True,True,True,True,True,False,False,False,False,False,,False,True,,False,True,True,True,,False,False,False,True,False,False,,True,True
Kentucky,3386,3320.7,3278.4,3175.7,3305.3,3309.0,3310.0,3309.0,3206.0,3335.8,3342.0,3133.2,3391.0,3321.0,3271.8,3369.6,3323.9,,3269.6,3349.0,3311.0,3431.3,3278.1,3303.0,3320.0,3391.0,3306.0,3297.9,3328.6,3334.7,3283.0,,,3301.5,,3315.0,3430.2,3297.0,3333.6,,3605.7,3308.6,3379.0,3316.0,3302.8,3331.0,,3225.5,3323.0,-65.3,-107.6,-210.3,-80.7,-77.0,-76.0,-77.0,-180.0,-50.2,-44.0,-252.8,5.0,-65.0,-114.2,-16.4,-62.1,,-116.4,-37.0,-75.0,45.3,-107.9,-83.0,-66.0,5.0,-80.0,-88.1,-57.4,-51.3,-103.0,,,-84.5,,-71.0,44.2,-89.0,-52.4,,219.7,-77.4,-7.0,-70.0,-83.2,-55.0,,-160.5,-63.0,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,,False,True,False,True,False,False,False,True,False,False,True,True,False,,,False,,False,True,False,True,,False,False,True,False,False,True,,False,True
Louisiana,8483,8485.9,8364.0,8261.9,8333.6,8331.0,8327.0,8412.0,8412.0,8360.5,8463.0,8251.5,8665.0,8595.8,8400.2,8351.9,8530.5,,8485.7,8599.0,8416.0,8348.9,8417.9,8467.0,8465.3,8450.0,8386.9,8367.2,8447.4,8434.1,8333.0,,8390.1,8383.5,,8425.0,8797.4,8623.0,8474.4,,8635.8,8369.6,8375.4,8486.0,8341.5,8377.0,,8316.2,8426.0,2.9,-119.0,-221.1,-149.4,-152.0,-156.0,-71.0,-71.0,-122.5,-20.0,-231.5,182.0,112.8,-82.8,-131.1,47.5,,2.7,116.0,-67.0,-134.1,-65.1,-16.0,-17.7,-33.0,-96.1,-115.8,-35.6,-48.9,-150.0,,-92.9,-99.5,,-58.0,314.4,140.0,-8.6,,152.8,-113.4,-107.6,3.0,-141.5,-106.0,,-166.8,-57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Maine,544,578.7,571.6,522.5,578.1,561.0,582.0,581.0,541.0,560.4,575.0,474.9,608.0,567.4,571.5,562.2,597.5,,517.6,561.0,580.0,628.6,583.5,586.0,570.7,589.0,,593.1,576.4,581.5,583.0,,,589.1,,577.0,525.8,579.0,574.3,,581.5,605.0,578.1,561.0,575.5,558.0,,535.8,615.0,34.7,27.6,-21.5,34.1,17.0,38.0,37.0,-3.0,16.4,31.0,-69.1,64.0,23.4,27.5,18.2,53.5,,-26.4,17.0,36.0,84.6,39.5,42.0,26.7,45.0,,49.1,32.4,37.5,39.0,,,45.1,,33.0,-18.2,35.0,30.3,,37.5,61.0,34.1,17.0,31.5,14.0,,-8.2,71.0,True,True,True,True,False,False,True,True,True,False,False,True,True,True,False,,True,True,False,False,False,False,True,False,,False,True,False,False,,,False,,True,True,False,True,,False,False,True,True,True,True,,True,False
Maryland,6837,6819.9,6804.5,6635.4,6829.5,6824.0,6836.0,6851.0,6878.0,6802.2,6858.0,6678.1,7362.0,6928.3,6861.7,6869.2,6854.3,,6859.7,6850.0,6837.0,6750.9,6859.6,6837.0,6832.3,6868.0,6761.0,6853.9,6854.3,6842.2,6771.0,,6900.9,6788.0,,6865.0,6687.3,6781.0,6812.6,,6970.0,6863.8,6804.2,6806.0,6845.2,6852.0,,6593.3,6908.0,-17.1,-32.5,-201.6,-7.5,-13.0,-1.0,14.0,41.0,-34.8,21.0,-158.9,525.0,91.3,24.7,32.2,17.3,,22.7,13.0,0.0,-86.1,22.6,0.0,-4.7,31.0,-76.0,16.9,17.3,5.2,-66.0,,63.9,-49.0,,28.0,-149.7,-56.0,-24.4,,133.0,26.8,-32.8,-31.0,8.2,15.0,,-243.7,71.0,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,True,True,False,False,True,False,True,False,,False,False,,False,False,False,False,,False,False,False,False,True,True,,False,False
Massachusetts,14064,14081.4,14092.8,13868.1,14087.0,14115.0,14092.0,14118.0,14143.0,14019.2,14165.0,13811.9,14608.0,14168.7,14139.0,14050.4,14139.1,,14318.4,14113.0,14142.0,14065.4,14136.6,14068.0,14093.3,14193.0,14153.8,14151.5,14192.7,14112.9,14107.0,,14183.9,14024.8,,14154.0,14575.3,14060.0,14038.3,,14638.7,14160.6,14080.4,14043.0,14151.7,14138.0,,13837.4,14033.0,17.4,28.8,-195.9,23.0,51.0,28.0,54.0,79.0,-44.8,101.0,-252.1,544.0,104.7,75.0,-13.6,75.1,,254.4,49.0,78.0,1.4,72.6,4.0,29.3,129.0,89.8,87.5,128.7,48.9,43.0,,119.9,-39.2,,90.0,511.3,-4.0,-25.7,,574.7,96.6,16.4,-21.0,87.7,74.0,,-226.6,-31.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,True,False,False,False,False,False,False,False,,False,False,,False,False,True,False,,False,False,True,False,False,False,,False,False
Michigan,15181,15118.1,15237.4,14881.2,15247.5,15288.0,15193.0,15198.0,15089.0,15130.1,15324.0,14732.4,15592.0,15375.6,15149.9,15126.2,15202.5,,15679.3,15487.0,15382.0,14944.7,15100.1,15170.0,15156.3,15307.0,15133.2,15279.6,15253.2,15132.2,15198.0,,15492.4,15139.9,,15194.0,14580.9,14967.0,15077.0,,15463.6,15285.6,15081.4,15082.0,15379.5,15422.0,,14843.9,15181.0,-62.9,56.4,-299.8,66.5,107.0,12.0,17.0,-92.0,-50.9,143.0,-448.6,411.0,194.6,-31.1,-54.8,21.5,,498.3,306.0,201.0,-236.3,-80.9,-11.0,-24.7,126.0,-47.8,98.6,72.2,-48.8,17.0,,311.4,-41.1,,13.0,-600.1,-214.0,-104.0,,282.6,104.6,-99.6,-99.0,198.5,241.0,,-337.1,0.0,True,False,False,False,True,True,False,True,False,False,False,False,True,True,True,,False,False,False,False,False,True,True,False,True,False,False,True,True,,False,True,,True,False,False,False,,False,False,False,False,False,False,,False,True
Minnesota,6131,6183.6,6146.5,6017.0,6178.2,6185.0,6179.0,6179.0,6098.0,6142.4,6145.0,6055.4,6257.0,6233.1,6153.3,6113.2,6151.2,,6267.8,6253.0,6212.0,6091.9,6129.0,6165.0,6185.4,6202.0,6110.2,6197.9,6202.0,6167.7,6207.0,,6246.3,6159.9,,6200.0,5375.5,6270.0,6171.8,,6317.2,6205.1,6133.3,6163.0,6262.1,6205.0,,6101.7,6185.0,52.6,15.5,-114.0,47.2,54.0,48.0,48.0,-33.0,11.4,14.0,-75.6,126.0,102.1,22.3,-17.8,20.2,,136.8,122.0,81.0,-39.1,-2.0,34.0,54.4,71.0,-20.8,66.9,71.0,36.7,76.0,,115.3,28.9,,69.0,-755.5,139.0,40.8,,186.2,74.1,2.3,32.0,131.1,74.0,,-29.3,54.0,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,,False,False,False,True,True,True,False,False,True,False,False,True,False,,False,True,,False,False,False,True,,False,False,True,True,False,False,,True,False
Mississippi,5752,5824.4,5846.3,5607.2,5815.3,5791.0,5816.0,5794.0,5617.0,5749.4,5777.0,5514.4,5921.0,5970.2,5756.8,5856.8,5791.4,,5805.8,5776.0,5783.0,5684.9,5816.2,5863.0,5808.4,5828.0,5810.6,5808.0,5829.8,5826.1,5771.0,,5764.7,5800.1,,5794.0,5875.7,5792.0,5824.6,,5862.5,5820.1,5752.0,5748.0,5770.2,5820.0,,5648.6,5838.0,72.4,94.3,-144.8,63.3,39.0,64.0,42.0,-135.0,-2.6,25.0,-237.6,169.0,218.2,4.8,104.8,39.4,,53.8,24.0,31.0,-67.1,64.2,111.0,56.4,76.0,58.6,56.0,77.8,74.1,19.0,,12.7,48.1,,42.0,123.7,40.0,72.6,,110.5,68.1,0.0,-4.0,18.2,68.0,,-103.4,86.0,False,False,True,True,True,True,False,True,True,False,False,False,True,False,True,,True,True,True,True,True,False,True,False,True,True,False,False,True,,True,True,,True,False,True,False,,False,True,True,True,True,True,,False,False
Missouri,6841,6755.1,6825.7,6611.9,6793.8,6818.0,6805.0,6805.0,6697.0,6736.8,6819.0,6634.4,6841.0,6952.5,6763.2,6750.6,6821.1,,7263.6,6981.0,6816.0,6430.8,6747.8,6740.0,6743.8,6805.0,6712.6,6831.7,6803.2,6766.8,6787.0,,6887.9,6602.8,,6812.0,6595.7,6632.0,6577.5,,7047.9,6850.5,6759.2,6698.0,6891.6,6811.0,,6284.9,5605.0,-27.9,42.7,-171.1,10.8,35.0,22.0,22.0,-86.0,-46.2,36.0,-148.6,58.0,169.5,-19.8,-32.4,38.1,,480.6,198.0,33.0,-352.2,-35.2,-43.0,-39.2,22.0,-70.4,48.7,20.2,-16.2,4.0,,104.9,-180.2,,29.0,-187.3,-151.0,-205.5,,264.9,67.5,-23.8,-85.0,108.6,28.0,,-498.1,-1178.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,True,False,False,True,True,True,,False,False,,False,False,False,False,,False,False,True,False,False,False,,False,False
Montana,1141,1122.9,1127.7,1111.9,1126.1,1132.0,1122.0,1130.0,1119.0,1131.8,1148.0,1097.6,1130.0,1145.8,1132.8,1105.6,1134.9,,1178.4,1153.0,1147.0,1153.1,1126.6,1128.0,1132.1,1167.0,1139.1,1127.2,1141.3,1131.5,1130.0,,,1123.6,,1134.0,1024.0,1128.0,1123.2,,1184.3,1138.1,1139.8,1129.0,1146.9,1115.0,,1126.7,1134.0,-18.1,-13.3,-29.1,-14.9,-9.0,-19.0,-11.0,-22.0,-9.2,7.0,-43.4,-11.0,4.8,-8.2,-35.4,-6.1,,37.4,12.0,6.0,12.1,-14.4,-13.0,-8.9,26.0,-1.9,-13.8,0.3,-9.5,-11.0,,,-17.4,,-7.0,-117.0,-13.0,-17.8,,43.3,-2.9,-1.2,-12.0,5.9,-26.0,,-14.3,-7.0,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,,False,True,True,True,True,True,True,False,True,True,True,True,True,,,True,,True,False,True,True,,False,True,True,True,True,False,,True,True
Nebraska,1879,1903.0,1901.3,1860.1,1945.6,1947.0,1937.0,1922.0,1998.0,1912.9,1907.0,1861.0,1923.0,1967.9,1902.7,2001.3,1918.3,,1930.9,1937.0,1928.0,1933.1,1902.0,1907.0,1923.2,1964.0,,1932.2,1941.0,1904.1,1902.0,,,1880.9,,1903.0,1719.2,1891.0,1896.5,,1953.5,1942.9,1915.4,1894.0,1982.2,1924.0,,1890.2,2039.0,24.0,22.3,-18.9,66.6,68.0,58.0,43.0,119.0,33.9,28.0,-18.0,44.0,88.9,23.7,122.3,39.3,,51.9,58.0,49.0,54.1,23.0,28.0,44.2,85.0,,53.2,62.0,25.1,23.0,,,1.9,,24.0,-159.8,12.0,17.5,,74.5,63.9,36.4,15.0,103.2,45.0,,11.2,160.0,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,,False,False,False,False,True,False,False,False,,False,False,False,True,,,True,,False,False,True,True,,False,False,False,True,False,False,,True,False
Nevada,4011,4046.4,4030.6,3873.4,4064.7,4064.0,4072.0,4058.0,3940.0,3974.2,4011.0,3745.7,4163.0,4211.1,4020.7,4085.9,4043.0,,4047.8,4060.0,4046.0,3941.8,3985.6,4076.0,4039.0,4089.0,4123.5,4053.6,4054.7,4074.6,4083.0,,4067.4,4058.1,,4064.0,3923.2,3970.0,4040.2,,4190.1,4063.9,4020.6,3976.0,4105.7,4102.0,,3896.5,4116.0,35.4,19.6,-137.6,53.7,53.0,61.0,47.0,-71.0,-36.8,0.0,-265.3,152.0,200.1,9.7,74.9,32.0,,36.8,49.0,35.0,-69.2,-25.4,65.0,28.0,78.0,112.5,42.6,43.7,63.6,72.0,,56.4,47.1,,53.0,-87.8,-41.0,29.2,,179.1,52.9,9.6,-35.0,94.7,91.0,,-114.5,105.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,,False,False,True,False,True,False,True,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,True,True,False,False,,False,False
New Hampshire,981,987.9,993.7,964.1,994.3,992.0,992.0,997.0,972.0,997.5,1005.0,973.6,1065.0,1001.5,987.5,993.0,993.4,,1033.0,1007.0,1010.0,1028.8,995.2,987.0,990.2,1025.0,,981.5,1006.6,991.5,1038.5,,,989.7,,1000.0,997.2,999.0,976.9,,1053.6,992.7,982.7,986.0,1005.5,999.0,,953.9,1014.0,6.9,12.7,-16.9,13.3,11.0,11.0,16.0,-9.0,16.5,24.0,-7.4,84.0,20.5,6.5,12.0,12.4,,52.0,26.0,29.0,47.8,14.2,6.0,9.2,44.0,,0.5,25.6,10.5,57.5,,,8.7,,19.0,16.2,18.0,-4.1,,72.6,11.7,1.7,5.0,24.5,18.0,,-27.1,33.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,True,False,False,,True,False,False,False,,,False,,False,False,False,True,,False,False,True,True,False,False,,False,False
New Jersey,20934,20940.4,21120.9,20652.6,20971.3,20987.0,20974.0,21016.0,21061.0,20993.6,21081.0,20586.9,21481.0,20995.3,20998.5,21001.1,21049.8,,21207.7,21000.0,21033.0,20929.3,20985.8,21344.0,21025.5,21094.0,21030.2,21007.6,21040.2,21064.9,20894.0,,21016.6,20890.4,,21087.0,20120.1,20949.0,20910.0,,21449.9,21016.2,20966.3,20954.0,20745.9,21044.0,,20613.1,21229.0,6.4,186.9,-281.4,37.3,53.0,40.0,82.0,127.0,59.6,147.0,-347.1,547.0,61.3,64.5,67.1,115.8,,273.7,66.0,99.0,-4.7,51.8,410.0,91.5,160.0,96.2,73.6,106.2,130.9,-40.0,,82.6,-43.6,,153.0,-813.9,15.0,-24.0,,515.9,82.2,32.3,20.0,-188.1,110.0,,-320.9,295.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
New Mexico,3115,3088.9,3075.3,2972.9,3098.7,3077.0,3088.0,3093.0,3033.0,3053.8,3086.0,2957.1,3192.0,3118.3,3091.6,3102.3,3097.5,,3161.0,3096.0,3098.0,3033.1,3062.2,3093.0,3090.3,3113.0,,3091.5,3100.0,3094.7,3074.0,,,3058.3,,3094.0,3071.7,3108.0,3073.1,,3057.8,3102.0,3079.4,3078.0,3109.8,3096.0,,3040.3,3100.0,-26.1,-39.7,-142.1,-16.3,-38.0,-27.0,-22.0,-82.0,-61.2,-29.0,-157.9,77.0,3.3,-23.4,-12.7,-17.5,,46.0,-19.0,-17.0,-81.9,-52.8,-22.0,-24.7,-2.0,,-23.5,-15.0,-20.3,-41.0,,,-56.7,,-21.0,-43.3,-7.0,-41.9,,-57.2,-13.0,-35.6,-37.0,-5.2,-19.0,,-74.7,-15.0,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True,,False,True,True,False,False,True,True,True,,True,True,True,False,,,False,,True,False,True,False,,False,True,False,False,True,True,,False,True
New York,42134,42159.6,42155.4,41424.0,42162.4,42194.0,42141.0,42152.0,42356.0,41976.1,42379.0,41401.8,43634.0,42036.8,42000.2,42289.0,42282.4,,41980.1,42110.0,42104.0,42092.7,42244.9,42253.0,42267.6,42321.0,42027.0,42229.4,42290.1,42259.1,41523.5,,42018.4,42078.8,,42249.0,41317.7,42015.0,42167.5,,42086.9,42244.4,42141.5,42121.0,42208.2,42234.0,,41006.0,42208.0,25.6,21.4,-710.0,28.4,60.0,7.0,18.0,222.0,-157.9,245.0,-732.2,1500.0,-97.2,-133.8,155.0,148.4,,-153.9,-24.0,-30.0,-41.3,110.9,119.0,133.6,187.0,-107.0,95.4,156.1,125.1,-610.5,,-115.6,-55.2,,115.0,-816.3,-119.0,33.5,,-47.1,110.4,7.5,-13.0,74.2,100.0,,-1128.0,74.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,True,True,False,False,,False,False
