,mean_rank
UChicagoCHATTOPADHYAY-UnIT,11.0
LNQ-ens1,13.5
COVIDhub-ensemble,13.8
GT-DeepCOVID,14.2
UMass-MechBayes,14.6
OliverWyman-Navigator,14.9
SteveMcConnell-CovidComplete,16.1
UCLA-SuEIR,16.7
Google_Harvard-CPF,16.9
CMU-TimeSeries,17.0
JHU_CSSE-DECOM,17.1
Caltech-CS156,17.2
COVIDhub-baseline,17.2
CEID-Walk,17.3
MOBS-GLEAM_COVID,17.9
Karlen-pypm,17.9
USC-SI_kJalpha,17.9
Microsoft-DeepSTIA,17.9
LANL-GrowthRate,18.0
RobertWalraven-ESG,18.5
AIpert-pwllnod,18.7
Columbia_UNC-SurvCon,19.0
UA-EpiCovDA,20.1
UCSD_NEU-DeepGLEAM,20.2
MIT_CritData-GBCF,20.3
Geneva-DetGrowth,21.0
PSI-DRAFT,21.5
epiforecasts-ensemble1,21.6
IowaStateLW-STEM,22.3
JHU_IDD-CovidSP,22.4
UMich-RidgeTfReg,22.5
CU-select,23.8
DDS-NBDS,25.9
WalmartLabsML-LogForecasting,28.5
IHME-CurveFit,29.3
BPagano-RtDriven,29.8
CovidAnalytics-DELPHI,30.8
UCSB-ACTS,31.7
TTU-squider,32.3
Covid19Sim-Simulator,32.5
