,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
Alabama,6657,5308.1,4835.2,5866.0,5694.0,,4754.9,-1348.9,-1821.8,-791.0,-963.0,,-1902.1,False,True,True,,False
Alaska,259,147.3,432.0,223.8,,,251.7,-111.7,173.0,-35.2,,,-7.3,False,True,,,True
Arizona,12170,7898.9,10651.6,11067.7,7990.0,,7498.0,-4271.1,-1518.4,-1102.3,-4180.0,,-4672.0,True,True,True,,False
Arkansas,4563,3898.1,4206.8,3259.9,4017.0,,4690.1,-664.9,-356.2,-1303.1,-546.0,,127.1,True,False,True,,True
California,36846,22835.7,25493.8,26446.5,22756.0,,22874.3,-14009.3,-11351.2,-10398.5,-14089.0,,-13970.7,True,True,False,,True
Colorado,5482,5108.9,6552.1,6276.1,5233.0,,5363.1,-373.1,1070.1,794.1,-249.0,,-118.9,False,False,True,,True
Connecticut,6819,5634.0,7147.7,6759.4,6038.0,,5898.2,-1185.0,328.7,-59.6,-781.0,,-920.8,True,True,True,,True
Delaware,1254,854.3,1150.5,1059.9,933.0,,847.4,-357.7,-61.5,-152.1,-279.0,,-364.6,True,True,True,,False
District of Columbia,870,758.6,805.3,867.6,708.0,,765.2,-111.4,-64.7,-2.4,-162.0,,-104.8,True,True,False,,True
Florida,25164,22180.4,22504.7,22985.3,22360.0,,22157.5,-2983.6,-2659.3,-2178.7,-2804.0,,-3006.5,True,True,True,,False
Georgia,13246,11332.6,19630.4,14652.2,11670.0,,10701.2,-1913.4,6384.4,1406.2,-1576.0,,-2544.8,False,True,True,,False
Hawaii,335,330.4,318.2,255.8,,,275.3,-4.6,-16.8,-79.2,,,-59.7,False,False,,,False
Idaho,1668,1646.1,1924.5,1847.1,1699.0,,1526.2,-21.9,256.5,179.1,31.0,,-141.8,False,False,False,,False
Illinois,20645,19915.1,24637.3,20563.8,19556.0,,22253.9,-728.9,3993.3,-80.2,-1088.0,,1609.9,False,True,False,,False
Indiana,10950,8803.6,12258.9,8807.2,9300.0,,9793.2,-1677.4,1777.9,-1673.8,-1181.0,,-687.8,False,True,True,,True
Iowa,4486,4088.6,5899.9,4377.0,4164.0,,4349.3,-397.4,1413.9,-109.0,-322.0,,-136.7,False,True,True,,True
Kansas,3587,2583.7,3109.2,2488.1,2803.0,,3057.6,-919.3,-393.8,-1014.9,-700.0,,-445.4,True,False,True,,True
Kentucky,3386,2903.0,3350.0,3730.1,3025.5,,3342.1,-483.0,-36.0,344.1,-360.5,,-43.9,True,True,True,,True
Louisiana,8483,7491.1,8432.7,10446.6,8401.0,,7513.9,-991.9,-50.3,1963.6,-82.0,,-969.1,True,False,True,,True
Maine,544,273.4,593.3,350.9,313.0,,222.1,-270.6,49.3,-193.1,-231.0,,-321.9,True,True,True,,False
Maryland,6837,5603.1,6402.8,7117.3,5795.0,,5336.0,-1233.9,-434.2,280.3,-1042.0,,-1501.0,True,True,True,,False
Massachusetts,14064,12132.9,14387.0,13302.4,12650.0,,12295.0,-1931.1,323.0,-761.6,-1414.0,,-1769.0,True,True,True,,True
Michigan,15181,13294.7,20409.6,15685.3,15092.0,,11377.8,-1886.3,5228.6,504.3,-89.0,,-3803.2,False,True,True,,False
Minnesota,6131,6273.0,10443.1,6924.1,7511.0,,6621.3,142.0,4312.1,793.1,1380.0,,490.3,False,False,False,,False
Mississippi,5752,4854.0,4713.7,5146.0,4863.0,,4907.2,-898.0,-1038.3,-606.0,-889.0,,-844.8,False,True,True,,True
Missouri,6841,5269.7,8201.4,6544.3,5898.0,,4952.6,-1548.3,1383.4,-273.7,-920.0,,-1865.4,True,True,True,,False
Montana,1141,1338.1,1693.3,875.4,1568.0,,1282.2,197.1,552.3,-265.6,427.0,,141.2,False,False,False,,True
Nebraska,1879,2060.4,2500.7,1978.0,2007.0,,1768.8,181.4,621.7,99.0,128.0,,-110.2,False,True,True,,True
Nevada,4011,2973.6,3247.8,3468.6,2544.0,,3017.2,-1037.4,-763.2,-542.4,-1467.0,,-993.8,True,True,False,,True
New Hampshire,981,627.1,765.8,633.3,729.0,,586.3,-353.9,-215.2,-347.7,-252.0,,-394.7,True,True,True,,False
