,mean_rank
OliverWyman-Navigator,13.1
Microsoft-DeepSTIA,13.3
Google_Harvard-CPF,13.5
MOBS-GLEAM_COVID,13.7
Karlen-pypm,14.7
UCSD_NEU-DeepGLEAM,14.9
IowaStateLW-STEM,15.4
COVIDhub-ensemble,15.9
Caltech-CS156,16.2
SteveMcConnell-CovidComplete,16.5
epiforecasts-ensemble1,17.0
UMass-MechBayes,17.1
BPagano-RtDriven,17.5
GT-DeepCOVID,17.6
Wadhwani_AI-BayesOpt,18.0
AIpert-pwllnod,18.9
CMU-TimeSeries,19.1
Covid19Sim-Simulator,19.2
PSI-DRAFT,19.2
MIT_CritData-GBCF,19.2
CEID-Walk,19.3
JHU_IDD-CovidSP,19.5
COVIDhub-baseline,19.5
UMich-RidgeTfReg,21.3
UCLA-SuEIR,21.6
LNQ-ens1,21.8
UA-EpiCovDA,21.9
DDS-NBDS,22.4
TTU-squider,22.5
CovidAnalytics-DELPHI,22.5
LANL-GrowthRate,22.7
UCSB-ACTS,23.1
USC-SI_kJalpha,23.3
JHUAPL-Bucky,23.7
MITCovAlliance-SIR,25.3
RobertWalraven-ESG,26.6
Columbia_UNC-SurvCon,27.0
CU-select,31.9
WalmartLabsML-LogForecasting,34.0
