,2020-04-20_2020-05-09,2020-04-27_2020-05-16,2020-05-04_2020-05-23,2020-05-11_2020-05-30,2020-05-18_2020-06-06,2020-05-25_2020-06-13,2020-06-01_2020-06-20
num_countries,30,30,30,48,48,51,54
num_countries_beat_baseline-YYG,21,22,21,27,29,27,38
num_countries_beat_baseline-IHME,12,9,19,27,21,20,21
perc_beat_baseline-YYG,0.7,0.7333333333,0.7,0.5625,0.6041666667,0.5294117647,0.7037037037
perc_beat_baseline-IHME,0.4,0.3,0.6333333333,0.5625,0.4375,0.3921568627,0.3888888889
mean_abs_error-Baseline,22432,18219,23503,25153,23165,15184,17577
mean_abs_error-YYG,12412,12446,5685,15172,15917,10978,9338
mean_abs_error-IHME,14917,18167,7963,19063,24349,31270,39733
