,2020-06-01_2020-08-22,2020-06-08_2020-08-22,2020-06-15_2020-08-22,2020-06-22_2020-08-22,2020-06-29_2020-08-22,2020-07-06_2020-08-22,2020-07-13_2020-08-22,2020-07-20_2020-08-22,2020-07-27_2020-08-22,2020-08-03_2020-08-22,2020-08-10_2020-08-22,2020-08-17_2020-08-22
num_countries,54,54,54,54,65,65,64,64,66,68,68,68
num_countries_beat_baseline-YYG,37,33,33,28,28,33,35,32,37,39,38,37
num_countries_beat_baseline-IHME,26,,,,23,21,20,33,24,25,24,14
perc_beat_baseline-YYG,0.6851851852,0.6111111111,0.6111111111,0.5185185185,0.4307692308,0.5076923077,0.546875,0.5,0.5606060606,0.5735294118,0.5588235294,0.5441176471
perc_beat_baseline-IHME,0.4814814815,,,,0.3538461538,0.3230769231,0.3125,0.515625,0.3636363636,0.3676470588,0.3529411765,0.2058823529
mean_abs_error-Baseline,2653.637037,1636.412963,1487.772222,1277.001852,839.3584615,700.0015385,504.5859375,540.7046875,453.3166667,258.2294118,210.5764706,161.5838235
mean_abs_error-YYG,1676.314815,1380.62963,957.3888889,1046.62963,938.4153846,737.7230769,574.984375,507.859375,360.6469697,273.4941176,207.1279412,118.5014706
mean_abs_error-IHME,2577.533333,,,,1980.638462,1980.638462,1028.18125,684.3375,543.5424242,646.2191176,636.4985294,636.4985294
