,2020-06-29_2020-09-05,2020-07-06_2020-09-05,2020-07-13_2020-09-05,2020-07-20_2020-09-05,2020-07-27_2020-09-05,2020-08-03_2020-09-05,2020-08-10_2020-09-05,2020-08-17_2020-09-05,2020-08-24_2020-09-05,2020-08-31_2020-09-05
num_countries,65,65,64,64,66,68,68,68,68,68
num_countries_beat_baseline-YYG,35,37,39,32,44,43,42,39,28,32
num_countries_beat_baseline-IHME,24,21,19,27,25,25,24,21,17,12
perc_beat_baseline-YYG,0.5384615385,0.5692307692,0.609375,0.5,0.6666666667,0.6323529412,0.6176470588,0.5735294118,0.4117647059,0.4705882353
perc_beat_baseline-IHME,0.3692307692,0.3230769231,0.296875,0.421875,0.3787878788,0.3676470588,0.3529411765,0.3088235294,0.25,0.1764705882
mean_abs_error-Baseline,1098.521538,936.3523077,748.6640625,764.1421875,793.7651515,419.5264706,373.0235294,399.9955882,86.51176471,25.89852941
mean_abs_error-YYG,1202.661538,954.9230769,751.390625,696.53125,560.3257576,343.1985294,346.6852941,236.5279412,83.63088235,29.85735294
mean_abs_error-IHME,2925.312308,2925.312308,1415.6,1018.053125,866.2954545,976.1970588,978.5176471,978.5176471,751.6705882,631.1397059
