,2020-04-20_2020-05-30,2020-04-27_2020-05-30,2020-05-04_2020-05-30,2020-05-11_2020-05-30,2020-05-18_2020-05-30,2020-05-25_2020-05-30
num_countries,30,21,30,48,48,51
num_countries_beat_baseline-YYG,25,17,23,28,28,22
num_countries_beat_baseline-IHME,22,12,22,27,14,15
perc_beat_baseline-YYG,0.8333333333,0.8095238095,0.7666666667,0.5833333333,0.5833333333,0.431372549
perc_beat_baseline-IHME,0.7333333333,0.5714285714,0.7333333333,0.5625,0.2916666667,0.2941176471
mean_abs_error-Baseline,2477.016667,1795.27619,1284.36,524.4854167,284.8125,95.1745098
mean_abs_error-YYG,785.2,852.2857143,325.5333333,316.0833333,208.5833333,96.37254902
mean_abs_error-IHME,1085.583333,1438.738095,262.16,397.1520833,397.1520833,311.1901961
