,2020-04-20_2020-05-16,2020-04-27_2020-05-23,2020-05-04_2020-05-30,2020-05-11_2020-06-06,2020-05-18_2020-06-13,2020-05-25_2020-06-20,2020-06-01_2020-06-27,2020-06-08_2020-07-04,2020-06-15_2020-07-11,2020-06-22_2020-07-18,2020-06-29_2020-07-25,2020-07-06_2020-08-01,2020-07-13_2020-08-08,2020-07-20_2020-08-15,2020-07-27_2020-08-22,2020-08-03_2020-08-29,2020-08-10_2020-09-05,2020-08-17_2020-09-12,2020-08-24_2020-09-19,2020-08-31_2020-09-26,2020-09-07_2020-10-03,2020-09-14_2020-10-10,2020-09-21_2020-10-17,2020-09-28_2020-10-24,2020-10-05_2020-10-31
num_countries,30,21,20,30,48,50,54,54,54,54,65,65,64,64,66,68,68,68,68,68,70,70,70,70,70
num_countries_beat_baseline-YYG,20,17,14,19,33,27,40,32,29,27,29,30,29,37,37,42,42,43,36,45,41,42,42,46,43
num_countries_beat_baseline-IHME,15,12,9,17,26,24,25,18,15,15,20,20,18,32,24,28,24,19,20,29,36,31,25,31,30
perc_beat_baseline-YYG,0.6666666667,0.8095238095,0.7,0.6333333333,0.6875,0.54,0.7407407407,0.5925925926,0.537037037,0.5,0.4461538462,0.4615384615,0.453125,0.578125,0.5606060606,0.6176470588,0.6176470588,0.6323529412,0.5294117647,0.6617647059,0.5857142857,0.6,0.6,0.6571428571,0.6142857143
perc_beat_baseline-IHME,0.5,0.5714285714,0.45,0.5666666667,0.5416666667,0.48,0.462962963,0.3529411765,0.2777777778,0.2777777778,0.3076923077,0.3076923077,0.28125,0.5,0.3636363636,0.4117647059,0.3529411765,0.2794117647,0.2941176471,0.4264705882,0.5142857143,0.4428571429,0.3571428571,0.4428571429,0.4285714286
mean_abs_error-Baseline,1304.796667,1265.938095,1953.73,859.09,872.8666667,579.814,655.462963,428.7944444,439.0018519,364.0166667,349.8046154,345.7061538,319.4703125,459.3046875,453.3166667,329.8470588,373.0235294,643.4308824,358.6058824,363.4220588,470.4685714,656.4157143,394.4485714,418.6057143,697.4471429
mean_abs_error-YYG,514.3,559.5238095,506.6,345.4333333,473.9791667,367.62,280.5555556,303.8888889,347.3888889,287.6481481,398.4153846,374.7384615,355.84375,417.65625,360.6469697,301.8647059,346.6852941,400.875,305.2838235,286.2558824,427.3914286,346.8657143,395.0857143,450.8628571,556.5014286
mean_abs_error-IHME,888.4966667,933.5333333,1770.615,343.44,673.2,837.224,1014.825926,590.2,816.1481481,1068.431481,851.4338462,1101.326154,753.1515625,582.534375,543.5424242,805.1838235,978.5176471,1071.748529,1003.197059,862.1867647,815.2028571,1008.1,1132.005714,1141.127143,1098.642857
