,2020-04-20_2020-07-25,2020-04-27_2020-07-25,2020-05-04_2020-07-25,2020-05-11_2020-07-25,2020-05-18_2020-07-25,2020-05-25_2020-07-25,2020-06-01_2020-07-25,2020-06-08_2020-07-25,2020-06-15_2020-07-25,2020-06-22_2020-07-25,2020-06-29_2020-07-25,2020-07-06_2020-07-25,2020-07-13_2020-07-25,2020-07-20_2020-07-25
num_countries,30,30,30,48,48,51,54,54,54,54,65,64,64,64
num_countries_beat_baseline-YYG,26,27,23,32,32,34,40,29,28,29,30,29,32,33
num_countries_beat_baseline-IHME,26,17,25,30,31,27,28,19,18,17,21,21,20,11
perc_beat_baseline-YYG,0.8666666667,0.9,0.7666666667,0.6666666667,0.6666666667,0.6666666667,0.7407407407,0.537037037,0.5185185185,0.537037037,0.4615384615,0.453125,0.5,0.515625
perc_beat_baseline-IHME,0.8666666667,0.5666666667,0.8333333333,0.625,0.6458333333,0.5294117647,0.5185185185,0.3518518519,0.3333333333,0.3148148148,0.3230769231,0.328125,0.3125,0.171875
mean_abs_error-Baseline,8798,6690,4322,3771,2836,1731,1291,709,570,495,265,191,143,112
mean_abs_error-YYG,1560,1483,1410,2020,1828,1341,615,529,494,482,345,227,166,113
mean_abs_error-IHME,1590,1669,742,1812,1812,1938,1874,1276,1295,1295,778,405,329,329
