,2020-04-20_2020-05-02,2020-04-27_2020-05-09,2020-05-04_2020-05-16,2020-05-11_2020-05-23,2020-05-18_2020-05-30,2020-05-25_2020-06-06,2020-06-01_2020-06-13,2020-06-08_2020-06-20,2020-06-15_2020-06-27,2020-06-22_2020-07-04,2020-06-29_2020-07-11,2020-07-06_2020-07-18,2020-07-13_2020-07-25
num_countries,30,30,30,48,48,51,54,54,54,54,65,64,64
num_countries_beat_baseline-YYG,22,22,22,25,28,26,39,32,28,28,30,30,32
num_countries_beat_baseline-IHME,10,8,17,23,14,13,18,13,10,11,13,17,20
perc_beat_baseline-YYG,0.7333333333,0.7333333333,0.7333333333,0.5208333333,0.5833333333,0.5098039216,0.7222222222,0.5925925926,0.5185185185,0.5185185185,0.4615384615,0.46875,0.5
perc_beat_baseline-IHME,0.3333333333,0.2666666667,0.5666666667,0.4791666667,0.2916666667,0.2549019608,0.3333333333,0.2407407407,0.1851851852,0.2037037037,0.2,0.265625,0.3125
mean_abs_error-Baseline,447,384,409,237,272,158,185,100,144,112,81,85,143
mean_abs_error-YYG,308,300,117,166,208,171,130,99,157,109,103,94,166
mean_abs_error-IHME,286,362,188,273,397,445,584,252,473,617,474,360,329
