,2020-04-20_2020-07-04,2020-04-27_2020-07-04,2020-05-04_2020-07-04,2020-05-11_2020-07-04,2020-05-18_2020-07-04,2020-05-25_2020-07-04,2020-06-01_2020-07-04,2020-06-08_2020-07-04,2020-06-15_2020-07-04,2020-06-22_2020-07-04,2020-06-29_2020-07-04
num_countries,30,21,20,30,48,50,54,54,54,54,65
num_countries_beat_baseline-YYG,24,19,16,25,36,28,40,32,31,29,27
num_countries_beat_baseline-IHME,24,16,15,20,31,25,26,18,15,13,11
perc_beat_baseline-YYG,0.8,0.9047619048,0.8,0.8333333333,0.75,0.56,0.7407407407,0.5925925926,0.5740740741,0.537037037,0.4153846154
perc_beat_baseline-IHME,0.8,0.7619047619,0.75,0.6666666667,0.6458333333,0.5,0.4814814815,0.3529411765,0.2777777778,0.2407407407,0.1692307692
mean_abs_error-Baseline,6378.09,5692.595238,5710.6,2235.523333,1897.079167,1037.418,854.1074074,428.7944444,327.6759259,181.8685185,98.71230769
mean_abs_error-YYG,1151.333333,1228.333333,1511.15,804.1666667,1028.229167,657.72,348.7222222,303.8888889,269.1111111,159.7222222,104.1076923
mean_abs_error-IHME,1213.586667,1785.771429,2469.395,501.4233333,1140.172917,1298.176,1225.853704,590.2,635.2425926,635.2425926,402.8061538
