,2020-04-20_2020-07-11,2020-04-27_2020-07-11,2020-05-04_2020-07-11,2020-05-11_2020-07-11,2020-05-18_2020-07-11,2020-05-25_2020-07-11,2020-06-01_2020-07-11,2020-06-08_2020-07-11,2020-06-15_2020-07-11,2020-06-22_2020-07-11,2020-06-29_2020-07-11,2020-07-06_2020-07-11
num_countries,30,30,30,48,48,51,54,54,54,54,65,64
num_countries_beat_baseline-YYG,25,27,22,32,33,36,39,32,28,27,30,30
num_countries_beat_baseline-IHME,26,17,24,33,31,26,26,18,12,11,13,14
perc_beat_baseline-YYG,0.8333333333,0.9,0.7333333333,0.6666666667,0.6875,0.7058823529,0.7222222222,0.5925925926,0.5185185185,0.5,0.4615384615,0.46875
perc_beat_baseline-IHME,0.8666666667,0.5666666667,0.8,0.6875,0.6458333333,0.5098039216,0.4814814815,0.3333333333,0.2222222222,0.2037037037,0.2,0.21875
mean_abs_error-Baseline,7207,5376,3380,2807,2045,1126,855,390,299,199,81,41
mean_abs_error-YYG,1359,1269,1115,1516,1063,662,389,242,289,193,103,44
mean_abs_error-IHME,1529,1607,674,1300,1300,1474,1421,720,801,801,474,302
