,2020-04-20_2020-05-30,2020-04-27_2020-05-30,2020-05-04_2020-05-30,2020-05-11_2020-05-30,2020-05-18_2020-05-30,2020-05-25_2020-05-30
num_countries,30,30,30,48,48,51
num_countries_beat_baseline-YYG,25,26,23,27,28,20
num_countries_beat_baseline-IHME,22,12,22,27,14,14
perc_beat_baseline-YYG,0.8333333333,0.8666666667,0.7666666667,0.5625,0.5833333333,0.3921568627
perc_beat_baseline-IHME,0.7333333333,0.4,0.7333333333,0.5625,0.2916666667,0.2745098039
mean_abs_error-Baseline,74310,45906,38531,25153,13081,3312
mean_abs_error-YYG,23556,20924,9766,15172,10012,4915
mean_abs_error-IHME,32567,30213,7864,19063,19063,15870
