,2020-06-29_2020-09-19,2020-07-06_2020-09-19,2020-07-13_2020-09-19,2020-07-20_2020-09-19,2020-07-27_2020-09-19,2020-08-03_2020-09-19,2020-08-10_2020-09-19,2020-08-17_2020-09-19,2020-08-24_2020-09-19,2020-08-31_2020-09-19,2020-09-07_2020-09-19,2020-09-14_2020-09-19
num_countries,65,65,64,64,66,68,68,68,68,68,70,70
num_countries_beat_baseline-YYG,33,35,38,33,42,43,42,44,36,40,40,37
num_countries_beat_baseline-IHME,20,20,19,24,23,24,27,21,20,25,20,21
perc_beat_baseline-YYG,0.5076923077,0.5384615385,0.59375,0.515625,0.6363636364,0.6323529412,0.6176470588,0.6470588235,0.5294117647,0.5882352941,0.5714285714,0.5285714286
perc_beat_baseline-IHME,0.3076923077,0.3076923077,0.296875,0.375,0.3484848485,0.3529411765,0.3970588235,0.3088235294,0.2941176471,0.3676470588,0.2857142857,0.3
mean_abs_error-Baseline,1506.490769,1231.223077,1097.767188,1109.964062,1263.531818,757.8558824,702.8294118,828.9838235,358.6058824,239.2220588,202.5,148.7842857
mean_abs_error-YYG,1588.461538,1234.338462,1008.640625,953.75,865.5621212,576.9882353,638.6926471,501.7588235,305.2838235,202.9970588,200.2528571,70.70428571
mean_abs_error-IHME,3812.923077,3812.923077,1774.509375,1466.373437,1166.359091,1267.205882,1216.829412,1216.829412,1003.197059,760.025,683.03,576.97
