,2020-04-20_2020-05-09,2020-04-27_2020-05-16,2020-05-04_2020-05-23,2020-05-11_2020-05-30,2020-05-18_2020-06-06,2020-05-25_2020-06-13,2020-06-01_2020-06-20,2020-06-08_2020-06-27,2020-06-15_2020-07-04,2020-06-22_2020-07-11,2020-06-29_2020-07-18,2020-07-06_2020-07-25,2020-07-13_2020-08-01,2020-07-20_2020-08-08,2020-07-27_2020-08-15,2020-08-03_2020-08-22,2020-08-10_2020-08-29,2020-08-17_2020-09-05,2020-08-24_2020-09-12,2020-08-31_2020-09-19,2020-09-07_2020-09-26,2020-09-14_2020-10-03
num_countries,30,21,30,48,48,51,54,54,54,54,65,64,64,64,66,68,68,68,68,68,70,70
num_countries_beat_baseline-YYG,21,16,21,28,29,28,39,26,27,27,25,28,33,32,35,36,45,37,35,41,43,41
num_countries_beat_baseline-IHME,12,9,19,27,21,20,21,17,14,11,19,21,24,23,26,25,23,18,23,25,28,24
perc_beat_baseline-YYG,0.7,0.7619047619,0.7,0.5833333333,0.6041666667,0.5490196078,0.7222222222,0.4814814815,0.5,0.5,0.3846153846,0.4375,0.515625,0.5,0.5303030303,0.5294117647,0.6617647059,0.5441176471,0.5147058824,0.6029411765,0.6142857143,0.5857142857
perc_beat_baseline-IHME,0.4,0.4285714286,0.6333333333,0.5625,0.4375,0.3921568627,0.3888888889,0.3333333333,0.2592592593,0.2037037037,0.2923076923,0.328125,0.375,0.359375,0.3939393939,0.3676470588,0.3382352941,0.2647058824,0.3382352941,0.3676470588,0.4,0.3428571429
mean_abs_error-Baseline,747.7566667,692.1809524,783.4266667,524.4854167,499.4083333,336.0764706,325.4962963,192.462963,211.8037037,199.2944444,130.0507692,185.390625,176.1828125,241.49375,215.5833333,282.3294118,294.5161765,279.5411765,230.7691176,230.0676471,376.1628571,265.0442857
mean_abs_error-YYG,413.7333333,522.3333333,189.5,316.0833333,331.6041667,215.254902,172.9259259,162.5,217.6481481,193.7037037,181.6923077,227.65625,212.59375,233.125,150.1363636,302.9294118,248.7382353,129.7867647,205.7985294,191.1088235,164.69,253.8242857
mean_abs_error-IHME,497.25,865.1095238,265.4566667,397.1520833,507.2979167,613.1411765,735.8055556,423.0235294,617.3277778,801.5037037,634.0830769,405.34375,391.134375,472.5265625,404.3287879,652.1897059,827.1117647,982.4882353,861.2264706,760.025,714.9714286,854.6728571
