,2020-04-20_2020-05-16,2020-04-27_2020-05-23,2020-05-04_2020-05-30,2020-05-11_2020-06-06,2020-05-18_2020-06-13,2020-05-25_2020-06-20
num_countries,30,30,30,48,48,51
num_countries_beat_baseline-YYG,21,23,23,32,31,33
num_countries_beat_baseline-IHME,15,11,22,30,25,26
perc_beat_baseline-YYG,0.7,0.7666666667,0.7666666667,0.6666666667,0.6458333333,0.6470588235
perc_beat_baseline-IHME,0.5,0.3666666667,0.7333333333,0.625,0.5208333333,0.5098039216
mean_abs_error-Baseline,35749,29323,38531,39640,35432,25878
mean_abs_error-YYG,16022,15732,9766,23663,20471,14100
mean_abs_error-IHME,22584,25804,7864,24349,30267,39330
