,2020-07-13_2020-10-10,2020-07-20_2020-10-10,2020-07-27_2020-10-10,2020-08-03_2020-10-10,2020-08-10_2020-10-10,2020-08-17_2020-10-10,2020-08-24_2020-10-10,2020-08-31_2020-10-10,2020-09-07_2020-10-10,2020-09-14_2020-10-10,2020-09-21_2020-10-10,2020-09-28_2020-10-10,2020-10-05_2020-10-10
num_countries,64,64,66,68,68,68,68,68,70,70,70,70,70
num_countries_beat_baseline-YYG,42,34,45,47,46,46,37,42,39,42,38,40,40
num_countries_beat_baseline-IHME,17,24,28,26,27,28,21,32,34,31,24,22,12
perc_beat_baseline-YYG,0.65625,0.53125,0.6818181818,0.6911764706,0.6764705882,0.6764705882,0.5441176471,0.6176470588,0.5571428571,0.6,0.5428571429,0.5714285714,0.5714285714
perc_beat_baseline-IHME,0.265625,0.375,0.4242424242,0.3823529412,0.3970588235,0.4117647059,0.3088235294,0.4705882353,0.4857142857,0.4428571429,0.3428571429,0.3142857143,0.1714285714
mean_abs_error-Baseline,1609.979687,1622.885938,1967.171212,1381.929412,1244.241176,1520.216176,850.3529412,687.7044118,578.9571429,656.4157143,282.3314286,178.0428571,116.3728571
mean_abs_error-YYG,1505.8125,1452.015625,1312.115152,997.0455882,1073.023529,898.6411765,710.2,562.4323529,518.9557143,346.8657143,260.02,173.5957143,80.53857143
mean_abs_error-IHME,2817.7875,2368.19375,1757.865152,1668.561765,1821.386765,1821.386765,1605.558824,1105.573529,958.7014286,1008.1,886.4714286,747.2771429,643.0514286
