,2020-06-29_2020-08-29,2020-07-06_2020-08-29,2020-07-13_2020-08-29,2020-07-20_2020-08-29,2020-07-27_2020-08-29,2020-08-03_2020-08-29,2020-08-10_2020-08-29,2020-08-17_2020-08-29,2020-08-24_2020-08-29
num_countries,65,64,64,64,66,68,68,68,68
num_countries_beat_baseline-YYG,31,38,37,34,40,36,45,36,31
num_countries_beat_baseline-IHME,23,23,27,24,26,25,23,16,8
perc_beat_baseline-YYG,0.4769230769,0.59375,0.578125,0.53125,0.6060606061,0.5294117647,0.6617647059,0.5294117647,0.4558823529
perc_beat_baseline-IHME,0.3538461538,0.359375,0.421875,0.375,0.3939393939,0.3676470588,0.3382352941,0.2352941176,0.1176470588
mean_abs_error-Baseline,939.4292308,728.871875,605.8359375,645.790625,590.2257576,322.9705882,294.5161765,156.8970588,32.96617647
mean_abs_error-YYG,1081.307692,776.53125,641.328125,627.671875,358.6333333,327.0970588,248.7382353,76.94117647,40.56323529
mean_abs_error-IHME,2427.772308,1220.185938,822.703125,822.703125,691.5545455,805.1838235,827.1117647,827.1117647,645.9794118
