,2020-04-20_2020-06-20,2020-04-27_2020-06-20,2020-05-04_2020-06-20,2020-05-11_2020-06-20,2020-05-18_2020-06-20,2020-05-25_2020-06-20,2020-06-01_2020-06-20,2020-06-08_2020-06-20,2020-06-15_2020-06-20
num_countries,30,30,30,48,48,51,54,54,54
num_countries_beat_baseline-YYG,26,26,24,31,34,33,38,31,18
num_countries_beat_baseline-IHME,24,15,24,31,30,26,21,13,5
perc_beat_baseline-YYG,0.8666666667,0.8666666667,0.8,0.6458333333,0.7083333333,0.6470588235,0.7037037037,0.5740740741,0.3333333333
perc_beat_baseline-IHME,0.8,0.5,0.8,0.6458333333,0.625,0.5098039216,0.3888888889,0.2407407407,0.09259259259
mean_abs_error-Baseline,146239,103910,60806,73952,49981,25878,17577,5425,3970
mean_abs_error-YYG,32456,29721,19282,40985,24170,14100,9338,5346,4644
mean_abs_error-IHME,42161,43426,14823,36409,36409,39330,39733,13626,17541
