,2020-04-20_2020-05-30,2020-04-27_2020-06-06,2020-05-04_2020-06-13,2020-05-11_2020-06-20,2020-05-18_2020-06-27,2020-05-25_2020-07-04,2020-06-01_2020-07-11,2020-06-08_2020-07-18,2020-06-15_2020-07-25,2020-06-22_2020-08-01,2020-06-29_2020-08-08,2020-07-06_2020-08-15,2020-07-13_2020-08-22,2020-07-20_2020-08-29,2020-07-27_2020-09-05,2020-08-03_2020-09-12,2020-08-10_2020-09-19,2020-08-17_2020-09-26,2020-08-24_2020-10-03
num_countries,30,21,30,48,48,51,54,54,54,54,65,64,64,64,66,68,68,68,68
num_countries_beat_baseline-YYG,25,18,25,31,35,37,40,29,28,28,26,31,34,34,41,37,44,43,35
num_countries_beat_baseline-IHME,22,12,23,31,30,27,27,19,18,20,24,26,28,24,21,22,25,26,16
perc_beat_baseline-YYG,0.8333333333,0.8571428571,0.8333333333,0.6458333333,0.7291666667,0.7254901961,0.7407407407,0.537037037,0.5185185185,0.5185185185,0.4,0.484375,0.53125,0.53125,0.6212121212,0.5441176471,0.6470588235,0.6323529412,0.5147058824
perc_beat_baseline-IHME,0.7333333333,0.5714285714,0.7666666667,0.6458333333,0.625,0.5294117647,0.5,0.3725490196,0.3333333333,0.3703703704,0.3692307692,0.40625,0.4375,0.375,0.3181818182,0.3235294118,0.3676470588,0.3823529412,0.2352941176
mean_abs_error-Baseline,2477.016667,2414.27619,2263.326667,1540.677083,1388.025,934.6960784,858.0222222,494.1518519,564.3185185,612.0166667,456.2138462,474.68125,487.9109375,645.790625,762.0318182,571.0852941,735.2897059,898.4235294,642.9779412
mean_abs_error-YYG,785.2,1026.857143,540.9333333,853.8541667,701.8958333,488.9215686,389.9259259,351.2407407,494.2592593,615.8888889,558.2,503.9375,556.375,627.671875,444.8984848,485.7588235,606.8823529,504.5838235,509.9941176
mean_abs_error-IHME,1085.583333,1709.738095,401.4166667,758.5270833,954.85,1230.686275,1421.309259,1028.690196,1295.190741,1796.653704,1287.724615,776.2796875,677.99375,822.703125,870.3863636,1106.258824,1216.829412,1386.716176,1405.526471
