,2020-04-20_2020-06-20,2020-04-27_2020-06-20,2020-05-04_2020-06-20,2020-05-11_2020-06-20,2020-05-18_2020-06-20,2020-05-25_2020-06-20,2020-06-01_2020-06-20,2020-06-08_2020-06-20,2020-06-15_2020-06-20
num_countries,30,21,20,30,48,50,54,54,54
num_countries_beat_baseline-YYG,24,19,16,21,35,27,38,30,28
num_countries_beat_baseline-IHME,23,15,12,21,29,24,23,15,9
perc_beat_baseline-YYG,0.8,0.9047619048,0.8,0.7,0.7291666667,0.54,0.7037037037,0.5555555556,0.5185185185
perc_beat_baseline-IHME,0.7666666667,0.7142857143,0.6,0.7,0.6041666667,0.48,0.4259259259,0.2941176471,0.1666666667
mean_abs_error-Baseline,4818.99,4107.928571,4100.9,1495.15,1179.225,579.814,439.237037,195.9796296,134.987037
mean_abs_error-YYG,996.1,1021.761905,1023,538.8666667,593.25,367.62,183.1666667,158.2962963,122.6851852
mean_abs_error-IHME,1151.146667,1653.147619,2348.635,435.2766667,804.6395833,837.224,784.8388889,289.1843137,345.6351852
