,2020-07-13_2020-10-03,2020-07-20_2020-10-03,2020-07-27_2020-10-03,2020-08-03_2020-10-03,2020-08-10_2020-10-03,2020-08-17_2020-10-03,2020-08-24_2020-10-03,2020-08-31_2020-10-03,2020-09-07_2020-10-03,2020-09-14_2020-10-03,2020-09-21_2020-10-03,2020-09-28_2020-10-03
num_countries,64,64,66,68,68,68,68,68,70,70,70,70
num_countries_beat_baseline-YYG,39,32,43,44,43,45,39,44,41,43,37,41
num_countries_beat_baseline-IHME,17,23,25,25,27,28,19,29,36,30,12,14
perc_beat_baseline-YYG,0.609375,0.5,0.6515151515,0.6470588235,0.6323529412,0.6617647059,0.5735294118,0.6470588235,0.5857142857,0.6142857143,0.5285714286,0.5857142857
perc_beat_baseline-IHME,0.265625,0.359375,0.3787878788,0.3676470588,0.3970588235,0.4117647059,0.2794117647,0.4264705882,0.5142857143,0.4285714286,0.1714285714,0.2
mean_abs_error-Baseline,1462.792187,1472.507812,1748.383333,1185.502941,1061.25,1305.948529,687.8676471,549.1044118,470.4685714,502.09,165.7142857,92.95428571
mean_abs_error-YYG,1287,1259.40625,1182.392424,833.9411765,948.0411765,790.0014706,565.0558824,420.5352941,427.3914286,231.8857143,129.3542857,80.07142857
mean_abs_error-IHME,2404.989062,2073.41875,1548.101515,1513.547059,1621.292647,1621.292647,1405.526471,1011.620588,815.2028571,841.2442857,753.62,610.8028571
