,2020-06-29_2020-09-26,2020-07-06_2020-09-26,2020-07-13_2020-09-26,2020-07-20_2020-09-26,2020-07-27_2020-09-26,2020-08-03_2020-09-26,2020-08-10_2020-09-26,2020-08-17_2020-09-26,2020-08-24_2020-09-26,2020-08-31_2020-09-26,2020-09-07_2020-09-26,2020-09-14_2020-09-26,2020-09-21_2020-09-26
num_countries,65,65,64,64,66,68,68,68,68,68,70,70,70
num_countries_beat_baseline-YYG,31,36,39,32,43,46,43,45,40,45,40,42,37
num_countries_beat_baseline-IHME,21,20,20,22,26,24,27,26,22,29,32,22,11
perc_beat_baseline-YYG,0.4769230769,0.5538461538,0.609375,0.5,0.6515151515,0.6764705882,0.6323529412,0.6617647059,0.5882352941,0.6617647059,0.5714285714,0.6,0.5285714286
perc_beat_baseline-IHME,0.3230769231,0.3076923077,0.3125,0.34375,0.3939393939,0.3529411765,0.3970588235,0.3823529412,0.3235294118,0.4264705882,0.4571428571,0.3142857143,0.1571428571
mean_abs_error-Baseline,1690.656923,1401.186154,1257.745312,1265.220312,1477.640909,946.2323529,860.1970588,1040.460294,490.9558824,363.4220588,309.6057143,302.9871429,67.45142857
mean_abs_error-YYG,1761.092308,1377.415385,1116.140625,1081.4375,994.8833333,683.6529412,764.6205882,618.8470588,409.7764706,286.2558824,292.9428571,131.1485714,51.20285714
mean_abs_error-IHME,4293.258462,4293.258462,2041.00625,1733.195312,1340.995455,1393.438235,1386.716176,1386.716176,1170.351471,862.1867647,731.0285714,657.71,601.4942857
