,2020-07-13_2020-10-17,2020-07-20_2020-10-17,2020-07-27_2020-10-17,2020-08-03_2020-10-17,2020-08-10_2020-10-17,2020-08-17_2020-10-17,2020-08-24_2020-10-17,2020-08-31_2020-10-17,2020-09-07_2020-10-17,2020-09-14_2020-10-17,2020-09-21_2020-10-17,2020-09-28_2020-10-17,2020-10-05_2020-10-17
num_countries,64,64,66,68,68,68,68,68,70,70,70,70,70
num_countries_beat_baseline-YYG,41,32,44,49,47,49,43,46,39,43,42,44,42
num_countries_beat_baseline-IHME,18,26,31,25,29,31,23,37,34,36,25,25,22
perc_beat_baseline-YYG,0.640625,0.5,0.6666666667,0.7205882353,0.6911764706,0.7205882353,0.6323529412,0.6764705882,0.5571428571,0.6142857143,0.6,0.6285714286,0.6
perc_beat_baseline-IHME,0.28125,0.40625,0.4696969697,0.3676470588,0.4264705882,0.4558823529,0.3382352941,0.5441176471,0.4857142857,0.5142857143,0.3571428571,0.3571428571,0.3142857143
mean_abs_error-Baseline,1798.657812,1813.826563,2228.156061,1632.891176,1482.511765,1777.366176,1079.658824,905.5485294,744.1342857,878.5842857,394.4485714,257.5342857,218.3014286
mean_abs_error-YYG,1707.5625,1622.109375,1506.478788,1158.719118,1234.125,1045.680882,858.7323529,707.9191176,636.0114286,507.6514286,395.0857143,283.6671429,161.2171429
mean_abs_error-IHME,3314.971875,2744.290625,1940.027273,1898.408824,2095.341176,2095.341176,1931.761765,1296.017647,1223.634286,1303.524286,1132.005714,910.99,737.1385714
