,2020-06-01_2020-08-08,2020-06-08_2020-08-08,2020-06-15_2020-08-08,2020-06-22_2020-08-08,2020-06-29_2020-08-08,2020-07-06_2020-08-08,2020-07-13_2020-08-08,2020-07-20_2020-08-08,2020-07-27_2020-08-08,2020-08-03_2020-08-08
num_countries,54,54,54,54,65,65,64,64,66,68
num_countries_beat_baseline-YYG,39,31,31,30,29,32,29,31,38,43
num_countries_beat_baseline-IHME,27,,,,23,22,18,28,17,12
perc_beat_baseline-YYG,0.7222222222,0.5740740741,0.5740740741,0.5555555556,0.4461538462,0.4923076923,0.453125,0.484375,0.5757575758,0.6323529412
perc_beat_baseline-IHME,0.5,,,,0.3538461538,0.3384615385,0.28125,0.4375,0.2575757576,0.1764705882
mean_abs_error-Baseline,2091.825926,1241.398148,1083.438889,864.212963,550.1769231,440.0261538,319.4703125,311.5390625,246.0590909,131.6764706
mean_abs_error-YYG,1238.166667,976.8703704,652.1666667,706.8333333,624.7692308,470.8615385,355.84375,283.84375,157.9181818,129.3558824
mean_abs_error-IHME,2369.948148,,,,1351.570769,1351.570769,753.1515625,545.8078125,486.5772727,459.7970588
