,2020-04-20_2020-06-06,2020-04-27_2020-06-06,2020-05-04_2020-06-06,2020-05-11_2020-06-06,2020-05-18_2020-06-06,2020-05-25_2020-06-06,2020-06-01_2020-06-06
num_countries,30,30,30,48,48,51,54
num_countries_beat_baseline-YYG,25,27,24,32,29,25,30
num_countries_beat_baseline-IHME,23,12,22,30,21,13,8
perc_beat_baseline-YYG,0.8333333333,0.9,0.8,0.6666666667,0.6041666667,0.4901960784,0.5555555556
perc_beat_baseline-IHME,0.7666666667,0.4,0.7333333333,0.625,0.4375,0.2549019608,0.1481481481
mean_abs_error-Baseline,94472,61353,52407,39640,23165,8093,4387
mean_abs_error-YYG,27755,25300,13151,23663,15917,8737,4605
mean_abs_error-IHME,36600,35904,8812,24349,24349,22743,22917
