,2020-06-01_2020-08-15,2020-06-08_2020-08-15,2020-06-15_2020-08-15,2020-06-22_2020-08-15,2020-06-29_2020-08-15,2020-07-06_2020-08-15,2020-07-13_2020-08-15,2020-07-20_2020-08-15,2020-07-27_2020-08-15,2020-08-03_2020-08-15,2020-08-10_2020-08-15
num_countries,54,54,54,54,65,65,64,64,66,68,68
num_countries_beat_baseline-YYG,37,31,34,31,25,31,29,37,35,41,34
num_countries_beat_baseline-IHME,27,,,,23,25,19,32,24,23,11
perc_beat_baseline-YYG,0.6851851852,0.5740740741,0.6296296296,0.5740740741,0.3846153846,0.4769230769,0.453125,0.578125,0.5303030303,0.6029411765,0.5
perc_beat_baseline-IHME,0.5,,,,0.3538461538,0.3846153846,0.296875,0.5,0.3636363636,0.3382352941,0.1617647059
mean_abs_error-Baseline,2409.877778,1476.787037,1323.753704,1098.409259,710.5584615,598.0476923,432.4578125,459.3046875,313.4984848,214.6735294,168.4147059
mean_abs_error-YYG,1497.259259,1215.148148,821.2777778,901.6111111,797.2,623.5846154,482.9375,417.65625,281.3909091,226.6764706,167.5676471
mean_abs_error-IHME,2505.144444,,,,1589.761538,1589.761538,859.4671875,582.534375,482.719697,503.6647059,512.9691176
