,2020-04-20_2020-05-02,2020-04-27_2020-05-02
num_countries,30,30
num_countries_beat_baseline-YYG,22,23
num_countries_beat_baseline-IHME,10,10
perc_beat_baseline-YYG,0.7333333333,0.7666666667
perc_beat_baseline-IHME,0.3333333333,0.3333333333
mean_abs_error-Baseline,13435,6383
mean_abs_error-YYG,9250,6182
mean_abs_error-IHME,8604,6710
