,2020-04-20_2020-04-25,2020-04-27_2020-05-02,2020-05-04_2020-05-09,2020-05-11_2020-05-16,2020-05-18_2020-05-23,2020-05-25_2020-05-30,2020-06-01_2020-06-06,2020-06-08_2020-06-13,2020-06-15_2020-06-20,2020-06-22_2020-06-27,2020-06-29_2020-07-04,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03
num_countries,30,30,30,48,48,51,54,54,54,54,65,64,64,64,66,68,68,68,68,68,70,70,70,70
num_countries_beat_baseline-YYG,20,23,14,27,21,22,31,24,20,25,30,30,29,34,30,29,37,38,31,33,35,32,32,35
num_countries_beat_baseline-IHME,8,10,11,17,10,15,8,10,5,7,10,14,23,11,6,13,13,15,8,11,16,15,11,13
perc_beat_baseline-YYG,0.6666666667,0.7666666667,0.4666666667,0.5625,0.4375,0.431372549,0.5740740741,0.4444444444,0.3703703704,0.462962963,0.4615384615,0.46875,0.453125,0.53125,0.4545454545,0.4264705882,0.5441176471,0.5588235294,0.4558823529,0.4852941176,0.5,0.4571428571,0.4571428571,0.5
perc_beat_baseline-IHME,0.2666666667,0.3333333333,0.3666666667,0.3541666667,0.2083333333,0.2941176471,0.1481481481,0.1960784314,0.09259259259,0.1296296296,0.1538461538,0.21875,0.359375,0.171875,0.09090909091,0.1911764706,0.1911764706,0.2205882353,0.1176470588,0.1617647059,0.2285714286,0.2142857143,0.1571428571,0.1857142857
mean_abs_error-Baseline,101.8166667,212.7766667,130.3533333,66.83541667,97.60416667,95.1745098,81.23333333,24.07777778,73.53703704,48.20925926,37.03538462,41.196875,42.5390625,114.046875,75.79545455,59.69117647,84.25147059,83.55882353,32.96617647,36.13529412,90.92,61.01857143,52.17714286,89.58142857
mean_abs_error-YYG,90.9,206.0666667,56.83333333,63.27083333,98.22916667,96.37254902,85.27777778,47.81481481,86,50.46296296,46.2,44.484375,51.578125,113,46.1030303,69.40294118,89.72794118,49.74705882,40.56323529,41.62647059,45.73571429,55.53857143,53.08857143,96.07285714
mean_abs_error-IHME,186.59,223.6766667,133.1233333,172.2645833,273.5916667,311.1901961,424.3944444,195.7588235,324.8537037,473.8981481,353.6369231,302.5046875,329.0671875,329.5484375,364.230303,382.3411765,434.675,642.4691176,645.9794118,634.6102941,607.7614286,569.0785714,617.5514286,624.2314286
