,2020-04-20_2020-05-23,2020-04-27_2020-05-30,2020-05-04_2020-06-06,2020-05-11_2020-06-13,2020-05-18_2020-06-20
num_countries,30,30,30,48,48
num_countries_beat_baseline-YYG,22,26,24,33,34
num_countries_beat_baseline-IHME,19,12,22,29,30
perc_beat_baseline-YYG,0.7333333333,0.8666666667,0.8,0.6875,0.7083333333
perc_beat_baseline-IHME,0.6333333333,0.4,0.7333333333,0.6041666667,0.625
mean_abs_error-Baseline,53075,45906,52407,56266,49981
mean_abs_error-YYG,19795,20924,13151,31993,24170
mean_abs_error-IHME,29600,30213,8812,30267,36409
