,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9930,10723.7,10259.1,11039.2,8584.0,7231.9,7234.0,,7192.7,11591.0,8130.2,11350.0,8615.0,,9798.6,7182.4,793.7,329.1,1109.2,-1346.0,-2698.1,-2696.0,,-2737.3,1661.0,-1799.8,1420.0,-1315.0,,-131.4,-2747.6,True,False,False,False,False,,False,False,False,False,False,,True,False
Alaska,290,258.3,247.2,261.0,258.0,282.3,437.0,,312.1,,348.9,260.0,295.0,,319.6,262.5,-31.7,-42.8,-29.0,-32.0,-7.7,147.0,,22.1,,58.9,-30.0,5.0,,29.6,-27.5,False,True,False,True,False,,True,,False,True,True,,True,True
Arizona,15967,17855.3,23679.8,18520.7,20575.0,16999.2,17171.0,,17065.2,18056.0,15896.3,21990.5,16990.0,,15162.1,12763.3,1888.3,7712.8,2553.7,4608.0,1032.2,1204.0,,1098.2,2089.0,-70.7,6023.5,1023.0,,-804.9,-3203.7,False,False,False,True,True,,True,False,True,False,True,,True,False
Arkansas,5417,5880.7,6410.2,5990.8,7016.0,6412.2,5799.0,,5782.4,6299.0,5742.5,5518.0,5397.0,,5889.3,5024.0,463.7,993.2,573.8,1599.0,995.2,382.0,,365.4,882.0,325.5,101.0,-20.0,,472.3,-393.0,False,False,False,False,True,,True,False,True,True,True,,False,True
California,51953,54765.1,88293.4,55617.3,50013.0,48701.8,47279.0,,56733.6,55632.0,51622.9,64933.5,60564.5,,47441.2,38475.5,2812.1,36340.4,3664.3,-1940.0,-3251.2,-4674.0,,4780.6,3679.0,-330.1,12980.5,8611.5,,-4511.8,-13477.5,False,False,True,False,False,,False,False,True,False,False,,False,False
Colorado,5945,6380.6,6511.5,6400.7,6615.0,6656.5,6287.0,,7260.2,6989.0,6701.4,6258.0,5704.0,,6354.8,6243.4,435.6,566.5,455.7,670.0,711.5,342.0,,1315.2,1044.0,756.4,313.0,-241.0,,409.8,298.4,False,False,False,False,True,,False,False,False,True,True,,True,True
Connecticut,7622,8175.4,7998.9,8215.2,8961.0,8116.8,9635.0,,8123.1,8155.0,8270.2,8046.5,7551.0,,7566.2,6943.0,553.4,376.9,593.2,1339.0,494.8,2013.0,,501.1,533.0,648.2,424.5,-71.0,,-55.8,-679.0,True,False,False,True,False,,True,True,False,True,True,,True,False
Delaware,1418,1273.7,1429.6,1298.2,1223.0,1263.5,1262.0,,1201.0,1456.0,1411.8,1183.0,1312.0,,1196.3,1116.3,39.7,195.6,64.2,-11.0,29.5,28.0,,-33.0,222.0,177.8,-51.0,78.0,,-37.7,-117.7,False,False,True,True,True,,True,False,False,False,False,,True,False
District of Columbia,1010,1043.3,1007.1,1050.8,1046.0,1033.0,1301.0,,926.8,1089.0,1031.9,1047.0,1020.0,,994.3,909.4,33.3,-2.9,40.8,36.0,23.0,291.0,,-83.2,79.0,21.9,37.0,10.0,,-15.7,-100.6,True,False,False,True,False,,False,False,True,False,True,,True,False
Florida,30734,31312.0,32531.5,31206.4,36039.0,29331.9,44973.0,,30386.3,30794.0,35933.7,31704.0,28723.5,,30224.3,26478.0,578.0,1797.5,472.4,5305.0,-1402.1,14239.0,,-347.7,60.0,5199.7,970.0,-2010.5,,-509.7,-4256.0,False,True,False,False,False,,True,True,False,False,False,,True,False
Georgia,17294,17204.3,20000.2,17294.6,17724.0,14475.2,14737.0,,14651.8,17764.0,15855.5,19229.5,14876.5,,17029.9,13098.6,-89.7,2706.2,0.6,430.0,-2818.8,-2557.0,,-2642.2,470.0,-1438.5,1935.5,-2417.5,,-264.1,-4195.4,False,True,False,False,False,,False,False,False,False,False,,False,False
Hawaii,438,397.1,410.3,391.2,453.0,364.7,495.0,,402.5,,696.2,377.0,373.0,,366.5,352.3,-40.9,-27.7,-46.8,15.0,-73.3,57.0,,-35.5,,258.2,-61.0,-65.0,,-71.5,-85.7,True,False,True,False,False,,True,,False,False,False,,False,False
Idaho,1860,2034.6,1947.0,2066.9,1878.0,1923.1,1879.0,,2109.0,2095.0,2149.3,1994.0,1917.0,,2005.4,1849.6,174.6,87.0,206.9,18.0,63.1,19.0,,249.0,235.0,289.3,134.0,57.0,,145.4,-10.4,True,False,True,True,True,,False,False,False,True,True,,True,True
Illinois,22710,24483.9,26719.0,24880.9,26647.0,23599.0,23354.0,,24868.0,24398.0,23655.8,24163.5,23352.0,,22075.5,22791.7,1773.9,4009.0,2170.9,3937.0,889.0,644.0,,2158.0,1688.0,945.8,1453.5,642.0,,-634.5,81.7,False,False,False,True,True,,False,True,True,True,True,,True,True
Indiana,12556,11213.6,12510.0,11213.9,11876.0,11786.5,11790.0,,12410.5,11418.0,11326.2,11240.0,11375.5,,10296.2,10278.5,-50.4,1246.0,-50.1,612.0,522.5,526.0,,1146.5,154.0,62.2,-24.0,111.5,,-967.8,-985.5,False,True,False,False,False,,False,False,False,True,False,,False,False
Iowa,5470,5406.6,5231.2,5485.4,7141.0,5499.7,8991.0,,5210.1,5726.0,5348.6,4821.0,4835.0,,5665.3,4995.1,-63.4,-238.8,15.4,1671.0,29.7,3521.0,,-259.9,256.0,-121.4,-649.0,-635.0,,195.3,-474.9,False,True,False,True,False,,False,False,False,False,False,,False,False
Kansas,4692,5527.3,6434.6,5576.8,6278.0,4928.9,5791.0,,5397.7,5081.0,4686.5,4239.0,5291.0,,4988.4,4327.8,835.3,1742.6,884.8,1586.0,236.9,1099.0,,705.7,389.0,-5.5,-453.0,599.0,,296.4,-364.2,False,False,False,True,False,,True,True,True,True,True,,True,True
Kentucky,4625,4450.7,4395.9,4395.0,5238.0,4250.1,3998.0,,4171.9,4422.0,5141.8,4212.0,4249.5,,4685.6,3619.5,-174.3,-229.1,-230.0,613.0,-374.9,-627.0,,-453.1,-203.0,516.8,-413.0,-375.5,,60.6,-1005.5,False,False,False,False,False,,False,False,False,False,False,,True,False
Louisiana,9587,10135.9,9807.9,9563.2,11507.0,10147.8,9705.0,,9763.9,10644.0,9720.8,9952.0,9525.5,,9874.0,8863.8,548.9,220.9,-23.8,1920.0,560.8,118.0,,176.9,1057.0,133.8,365.0,-61.5,,287.0,-723.2,True,True,False,False,True,,True,False,True,True,True,,True,False
