,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9930,10592.1,11184.2,10768.9,10735.6,10467.0,10700.0,10444.0,11356.0,10219.0,10764.0,10380.8,10168.0,,10354.1,,10382.5,,10075.6,11047.0,9356.7,10626.0,9720.8,10116.6,10444.0,10234.2,10720.0,10260.5,10772.4,10517.9,10349.5,10606.0,,10759.5,10420.7,9930.0,7496.8,10176.0,,10820.4,10164.0,10979.8,10409.0,,9945.1,10903.0,662.1,1254.2,838.9,805.6,537.0,770.0,514.0,1426.0,289.0,834.0,450.8,238.0,,424.1,,452.5,,145.6,1117.0,-573.3,696.0,-209.2,186.6,514.0,304.2,790.0,330.5,842.4,587.9,419.5,676.0,,829.5,490.7,0.0,-2433.2,246.0,,890.4,234.0,1049.8,479.0,,15.1,973.0,False,False,False,True,False,True,False,True,False,True,True,,True,,True,,True,False,True,False,True,True,True,True,False,True,False,True,True,False,,False,True,True,False,True,,False,True,False,True,,True,False
Alaska,290,287.6,287.2,289.4,306.1,291.0,288.0,296.0,394.0,296.0,295.0,303.5,292.0,,294.6,,305.5,,302.3,,349.1,303.0,307.8,296.0,305.0,289.5,322.0,296.3,300.9,297.1,288.7,294.0,,,290.5,293.0,347.7,297.0,,305.6,287.0,296.5,288.0,,296.6,296.0,-2.4,-2.8,-0.6,16.1,1.0,-2.0,6.0,104.0,6.0,5.0,13.5,2.0,,4.6,,15.5,,12.3,,59.1,13.0,17.8,6.0,15.0,-0.5,32.0,6.3,10.9,7.1,-1.3,4.0,,,0.5,3.0,57.7,7.0,,15.6,-3.0,6.5,-2.0,,6.6,6.0,False,True,False,True,True,False,False,False,False,False,True,,False,,False,,False,,False,False,False,False,False,True,False,False,False,False,True,False,,,True,False,False,False,,False,False,False,True,,False,False
Arizona,15967,16705.1,16679.1,16405.1,16751.2,16526.0,16822.2,16289.0,17031.0,15937.0,16319.0,15571.7,16578.0,,16250.4,,16272.1,,15991.5,16872.0,14630.5,16450.0,15988.8,16017.0,16016.0,16239.7,16449.0,16497.4,16564.7,16415.6,16446.3,16272.0,,16721.3,16313.0,16126.0,16113.8,16151.0,,16564.3,15994.0,16338.8,16026.0,,15833.6,16289.0,738.1,712.1,438.1,784.2,559.0,855.2,322.0,1064.0,-30.0,352.0,-395.3,611.0,,283.4,,305.1,,24.5,905.0,-1336.5,483.0,21.8,50.0,49.0,272.7,482.0,530.4,597.7,448.6,479.3,305.0,,754.3,346.0,159.0,146.8,184.0,,597.3,27.0,371.8,59.0,,-133.4,322.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,,True,True,True,True,,True,True
Arkansas,5417,5616.0,5551.8,5554.7,5628.9,5609.0,5634.0,5585.0,5874.0,5556.0,5563.0,5470.6,5638.0,,5501.9,,5560.5,,5536.3,5663.0,6132.8,5628.0,5614.7,5555.8,5476.0,5529.0,5712.0,5529.1,5585.1,5643.9,5514.7,5520.0,,5686.9,5537.1,5649.0,6136.1,5548.0,,5607.2,5500.0,5620.7,5580.0,,5551.1,5631.0,199.0,134.8,137.7,211.9,192.0,217.0,168.0,457.0,139.0,146.0,53.6,221.0,,84.9,,143.5,,119.3,246.0,715.8,211.0,197.7,138.8,59.0,112.0,295.0,112.1,168.1,226.9,97.7,103.0,,269.9,120.1,232.0,719.1,131.0,,190.2,83.0,203.7,163.0,,134.1,214.0,True,True,False,True,False,True,False,True,True,True,False,,True,,True,,True,False,False,False,True,True,True,True,False,True,True,False,True,True,,False,True,False,False,True,,True,True,False,True,,True,False
California,51953,52446.4,52780.5,51846.6,52710.9,51966.0,52639.8,51385.0,53965.0,50859.0,51373.0,50110.9,51745.0,,50677.4,,50493.5,,51180.9,52052.0,46679.3,51525.0,50692.6,51223.4,50706.0,51345.5,52284.0,51389.2,52327.4,52159.1,51961.4,52115.5,,52669.5,51078.9,50075.0,54711.8,50614.0,,52326.7,50844.0,51183.5,51425.0,,50200.3,51698.0,493.4,827.5,-106.4,757.9,13.0,686.8,-568.0,2012.0,-1094.0,-580.0,-1842.1,-208.0,,-1275.6,,-1459.5,,-772.1,99.0,-5273.7,-428.0,-1260.4,-729.6,-1247.0,-607.5,331.0,-563.8,374.4,206.1,8.4,162.5,,716.5,-874.1,-1878.0,2758.8,-1339.0,,373.7,-1109.0,-769.5,-528.0,,-1752.7,-255.0,False,True,False,True,False,False,False,False,False,False,True,,False,,False,,False,True,False,True,False,False,False,False,True,False,True,True,True,True,,False,False,False,False,False,,True,False,False,False,,False,True
Colorado,5945,5996.7,5978.2,5954.6,5998.2,5999.0,5998.0,5996.0,6420.0,6007.0,5955.0,5926.1,6057.0,,5959.1,,6155.8,,5944.1,5908.0,8529.1,5998.0,6153.2,5956.0,5958.0,5993.8,6084.0,5847.7,6010.1,6028.7,5984.8,5928.0,,5996.9,5996.2,6090.0,6064.5,5991.0,,6032.7,5989.0,6023.4,5996.0,,6059.5,5964.0,51.7,33.2,9.6,53.2,54.0,53.0,51.0,475.0,62.0,10.0,-18.9,112.0,,14.1,,210.8,,-0.9,-37.0,2584.1,53.0,208.2,11.0,13.0,48.8,139.0,-97.3,65.1,83.7,39.8,-17.0,,51.9,51.2,145.0,119.5,46.0,,87.7,44.0,78.4,51.0,,114.5,19.0,True,True,False,False,False,True,False,False,True,True,False,,True,,False,,True,True,False,False,False,True,True,True,False,False,False,False,True,True,,False,True,False,False,True,,False,True,False,True,,False,True
Connecticut,7622,7691.1,7741.2,7619.5,7711.4,7686.0,7715.0,7660.0,8062.0,7628.0,7654.0,7587.2,7671.0,,7771.3,,7682.2,,7612.4,7833.0,8291.0,7729.0,7747.7,7566.7,7603.0,7613.9,7703.0,7622.9,7690.8,7703.6,7629.2,7649.0,,7648.7,7624.6,7822.0,7509.2,7517.0,,7706.1,7616.0,7709.1,7607.0,,7549.4,7623.0,69.1,119.2,-2.5,89.4,64.0,93.0,38.0,440.0,6.0,32.0,-34.8,49.0,,149.3,,60.2,,-9.6,211.0,669.0,107.0,125.7,-55.3,-19.0,-8.1,81.0,0.9,68.8,81.6,7.2,27.0,,26.7,2.6,200.0,-112.8,-105.0,,84.1,-6.0,87.1,-15.0,,-72.6,1.0,False,True,False,True,False,True,False,True,True,True,True,,False,,True,,True,False,False,False,False,True,True,True,False,True,True,False,True,True,,True,True,False,False,False,,False,True,False,True,,False,True
Delaware,1418,1359.1,1355.7,1326.4,1360.7,1361.0,1370.0,1347.0,1536.0,1350.0,1331.0,1328.1,1325.0,,1377.5,,1328.2,,1344.9,1362.0,1333.3,1350.0,1386.7,1328.4,1313.0,1330.1,1380.0,1319.6,1336.5,1349.1,1354.9,1330.0,,,1333.5,1354.0,1264.1,1489.0,,1361.7,1341.0,1345.0,1336.0,,1323.8,1395.0,19.1,15.7,-13.6,20.7,21.0,30.0,7.0,196.0,10.0,-9.0,-11.9,-15.0,,37.5,,-11.8,,4.9,22.0,-6.7,10.0,46.7,-11.6,-27.0,-9.9,40.0,-20.4,-3.5,9.1,14.9,-10.0,,,-6.5,14.0,-75.9,149.0,,21.7,1.0,5.0,-4.0,,-16.2,55.0,True,True,False,False,False,True,False,True,True,True,True,,False,,True,,True,False,True,True,False,True,False,True,False,False,True,True,True,True,,,True,True,False,False,,False,True,True,True,,True,False
District of Columbia,1010,1029.1,1051.6,1046.7,1040.0,1036.0,1043.0,1039.0,1092.0,1026.0,1043.0,1063.3,1031.0,,1045.6,,1030.8,,1054.7,1040.0,1013.9,1042.0,1020.5,1018.4,1018.0,1014.3,1035.0,,,,1024.7,1044.0,,,1031.6,1043.0,964.0,1084.0,,,1020.0,,1043.0,,1012.8,1043.0,19.1,41.6,36.7,30.0,26.0,33.0,29.0,82.0,16.0,33.0,53.3,21.0,,35.6,,20.8,,44.7,30.0,3.9,32.0,10.5,8.4,8.0,4.3,25.0,,,,14.7,34.0,,,21.6,33.0,-46.0,74.0,,,10.0,,33.0,,2.8,33.0,False,False,False,False,False,False,False,True,False,False,False,,False,,False,,False,False,True,False,True,True,True,True,False,,,,True,False,,,False,False,False,False,,,True,,False,,True,False
Florida,30734,30790.3,30940.4,30644.6,30864.4,30676.0,30851.3,30604.0,31399.0,30228.0,30562.0,30137.3,30637.0,,30218.2,,30397.8,,30472.7,31115.0,29538.7,30861.0,31506.6,30311.9,30502.0,30603.9,31018.0,30720.8,30457.9,30866.2,30768.5,31372.5,,31319.5,30374.2,30540.0,32410.5,30346.0,,30474.6,30552.0,30654.6,30583.0,,29967.0,30729.0,56.3,206.4,-89.4,130.4,-58.0,117.3,-130.0,665.0,-506.0,-172.0,-596.7,-97.0,,-515.8,,-336.2,,-261.3,381.0,-1195.3,127.0,772.6,-422.1,-232.0,-130.1,284.0,-13.2,-276.1,132.2,34.5,638.5,,585.5,-359.8,-194.0,1676.5,-388.0,,-259.4,-182.0,-79.4,-151.0,,-767.0,-5.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,False,False,,False,False,False,False,,False,True
