,mean_rank
COVIDhub-trained_ensemble,11.3
UMass-MechBayes,11.4
RobertWalraven-ESG,12.6
USC-SI_kJalpha,13.4
Karlen-pypm,13.8
LNQ-ens1,14.3
OliverWyman-Navigator,14.3
COVIDhub-ensemble,14.9
SteveMcConnell-CovidComplete,15.4
Google_Harvard-CPF,16.0
GT-DeepCOVID,17.4
LANL-GrowthRate,17.5
UA-EpiCovDA,17.8
Covid19Sim-Simulator,18.3
DDS-NBDS,18.7
MOBS-GLEAM_COVID,18.8
CU-select,19.7
IHME-CurveFit,19.8
Caltech-CS156,20.3
SigSci-TS,20.5
CovidAnalytics-DELPHI,20.7
MIT_ISOLAT-Mixtures,21.1
UCLA-SuEIR,21.2
WalmartLabsML-LogForecasting,21.4
epiforecasts-ensemble1,21.5
BPagano-RtDriven,22.1
UCSD_NEU-DeepGLEAM,23.4
Microsoft-DeepSTIA,23.8
CMU-TimeSeries,23.9
JHU_IDD-CovidSP,23.9
AIpert-pwllnod,24.0
UMich-RidgeTfReg,25.6
COVIDhub-baseline,25.8
CEID-Walk,25.8
PSI-DRAFT,26.2
MIT_CritData-GBCF,26.3
JHU_CSSE-DECOM,27.1
TTU-squider,29.0
JHUAPL-Bucky,29.7
IowaStateLW-STEM,31.3
