,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9930,5119.9,7105.5,6036.0,4594.5,-4810.1,-2824.5,-3894.0,-5335.5,True,True,False
Alaska,290,352.4,612.0,,525.2,62.4,322.0,,235.2,False,,False
Arizona,15967,8819.7,14381.9,8866.0,8193.1,-7147.3,-1585.1,-7101.0,-7773.9,True,True,False
Arkansas,5417,3922.9,5331.1,4696.0,4770.9,-1494.1,-85.9,-721.0,-646.1,True,True,True
California,51953,24615.3,33901.1,25021.0,25586.0,-27336.7,-18050.9,-26931.0,-26366.0,True,True,True
Colorado,5945,5535.9,9556.1,6023.0,5065.7,-409.1,3611.1,78.0,-879.3,False,True,False
Connecticut,7622,6671.0,8057.1,6446.0,5531.0,-951.0,435.1,-1176.0,-2091.0,True,False,False
Delaware,1418,1052.9,1305.2,1012.0,1050.5,-318.1,-65.8,-359.0,-320.5,True,False,False
District of Columbia,1010,808.6,916.2,830.0,706.4,-201.4,-93.8,-180.0,-303.6,True,True,False
Florida,30734,25044.3,25661.2,23166.0,25484.5,-5689.7,-5072.8,-7568.0,-5249.5,True,False,True
Georgia,17294,12579.1,15023.0,12648.0,12688.3,-4714.9,-2271.0,-4646.0,-4605.7,True,True,True
Hawaii,438,385.4,350.2,,302.5,-52.6,-87.8,,-135.5,False,,False
Idaho,1860,1832.9,2619.3,2009.0,1482.0,-27.1,759.3,149.0,-378.0,False,False,False
Illinois,22710,23579.1,27991.8,22804.0,25170.2,869.1,5281.8,94.0,2460.2,False,True,False
Indiana,12556,10570.7,14939.5,11202.0,10924.0,-1319.3,3049.5,-688.0,-966.0,False,True,True
Iowa,5470,4931.9,5879.2,5136.0,4871.9,-538.1,409.2,-334.0,-598.1,True,True,False
