,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9930,9282.9,10344.7,9347.4,8590.0,8359.5,7612.0,,,7773.8,9816.0,7570.9,8175.7,8086.9,9626.5,9143.5,,7822.3,,8889.0,7689.1,-647.1,414.7,-582.6,-1340.0,-1570.5,-2318.0,,,-2156.2,-114.0,-2359.1,-1754.3,-1843.1,-303.5,-786.5,,-2107.7,,-1041.0,-2240.9,True,True,False,False,False,,,False,True,False,False,False,True,False,,False,,False,False
Alaska,290,404.7,285.0,409.0,288.0,273.2,333.0,,,250.2,,297.4,347.9,290.1,281.0,309.0,,379.8,,294.0,297.8,114.7,-5.0,119.0,-2.0,-16.8,43.0,,,-39.8,,7.4,57.9,0.1,-9.0,19.0,,89.8,,4.0,7.8,True,False,True,True,True,,,True,,True,True,True,True,True,,True,,True,True
Arizona,15967,16959.1,21313.0,16778.8,17633.0,18593.7,17320.0,,,16734.0,17589.0,15205.0,15825.5,15829.0,16061.0,17822.5,,14279.6,,16988.0,13722.8,992.1,5346.0,811.8,1666.0,2626.7,1353.0,,,767.0,1622.0,-762.0,-141.5,-138.0,94.0,1855.5,,-1687.4,,1021.0,-2244.2,False,True,False,False,False,,,True,False,True,True,True,True,False,,False,,False,False
Arkansas,5417,6038.9,6330.1,5912.9,5823.0,6132.5,5709.0,,,5592.9,6014.0,5341.8,5675.3,5760.6,5533.0,5717.0,,5933.5,,5543.0,5251.1,621.9,913.1,495.9,406.0,715.5,292.0,,,175.9,597.0,-75.2,258.3,343.6,116.0,300.0,,516.5,,126.0,-165.9,False,True,True,False,True,,,True,True,True,True,True,True,True,,True,,True,True
California,51953,54150.1,64912.5,54034.7,48941.0,51990.6,50369.0,,,56472.9,55116.0,47962.7,50158.2,49167.1,52000.5,66985.0,,47204.0,,49514.0,42118.4,2197.1,12959.5,2081.7,-3012.0,37.6,-1584.0,,,4519.9,3163.0,-3990.3,-1794.8,-2785.9,47.5,15032.0,,-4749.0,,-2439.0,-9834.6,False,True,False,True,True,,,False,False,False,True,False,True,False,,False,,False,False
Colorado,5945,6117.0,6108.2,6078.0,6205.0,6361.0,6380.0,,,6493.1,6537.0,5945.6,6464.9,6121.8,5758.0,6061.0,,6369.2,,5951.0,6216.9,172.0,163.2,133.0,260.0,416.0,435.0,,,548.1,592.0,0.6,519.9,176.8,-187.0,116.0,,424.2,,6.0,271.9,True,True,False,False,False,,,False,False,True,False,False,False,True,,False,,True,False
Connecticut,7622,7911.9,8025.7,7944.6,8296.0,8430.2,9004.0,,,8075.6,7997.0,7612.2,8081.4,8025.8,7911.0,8155.0,,7346.3,,7949.0,7131.9,289.9,403.7,322.6,674.0,808.2,1382.0,,,453.6,375.0,-9.8,459.4,403.8,289.0,533.0,,-275.7,,327.0,-490.1,False,False,False,False,False,,,False,False,True,False,False,True,False,,True,,False,False
Delaware,1418,1162.4,1229.0,1138.0,1184.0,1278.3,1196.0,,,1184.2,1206.5,1167.1,1362.7,1213.3,1143.0,1282.0,,1155.5,,1184.0,1129.5,-29.6,37.0,-54.0,-8.0,86.3,4.0,,,-7.8,14.5,-24.9,170.7,21.3,-49.0,90.0,,-36.5,,-8.0,-62.5,False,False,True,False,True,,,True,True,True,False,True,False,False,,False,,True,False
District of Columbia,1010,978.9,964.1,985.0,1033.0,1048.2,1151.0,,,1046.0,983.0,1024.4,1004.0,1011.7,941.0,1065.5,,920.5,,979.0,922.5,-31.1,-45.9,-25.0,23.0,38.2,141.0,,,36.0,-27.0,14.4,-6.0,1.7,-69.0,55.5,,-89.5,,-31.0,-87.5,False,True,True,False,False,,,False,True,True,True,True,False,False,,False,,True,False
Florida,30734,30907.9,32533.8,30966.8,31177.0,30335.9,41844.0,,,30442.4,29900.0,28757.7,34085.9,29816.2,30235.0,31453.0,,29400.5,,30635.0,27497.3,173.9,1799.8,232.8,443.0,-398.1,11110.0,,,-291.6,-834.0,-1976.3,3351.9,-917.8,-499.0,719.0,,-1333.5,,-99.0,-3236.7,False,False,False,False,False,,,False,False,False,False,False,False,False,,False,,True,False
Georgia,17294,17883.7,21349.7,18024.5,17720.0,15798.8,15181.0,,,17027.5,17446.0,15964.1,15863.3,16418.0,22219.0,16226.0,,16990.2,,17859.0,14020.3,589.7,4055.7,730.5,426.0,-1495.2,-2113.0,,,-266.5,152.0,-1329.9,-1430.7,-876.0,4925.0,-1068.0,,-303.8,,565.0,-3273.7,False,False,True,False,False,,,True,True,False,False,False,False,False,,True,,True,False
Hawaii,438,438.1,413.5,415.0,394.0,376.9,437.0,,,431.5,,366.9,600.9,405.3,456.0,393.0,,403.5,,393.0,370.2,0.1,-24.5,-23.0,-44.0,-61.1,-1.0,,,-6.5,,-71.1,162.9,-32.7,18.0,-45.0,,-34.5,,-45.0,-67.8,False,False,False,False,False,,,False,,False,False,False,False,False,,False,,False,False
Idaho,1860,1970.1,1929.2,1983.0,1877.0,1923.9,1839.0,,,1999.8,1992.0,1838.9,2045.8,1896.3,1768.5,1898.0,,2067.1,,1929.0,1874.2,110.1,69.2,123.0,17.0,63.9,-21.0,,,139.8,132.0,-21.1,185.8,36.3,-91.5,38.0,,207.1,,69.0,14.2,True,False,True,True,True,,,False,False,True,False,True,True,True,,False,,True,True
Illinois,22710,23740.0,23400.2,23770.9,24677.0,23943.3,22814.0,,,23433.9,23733.0,22840.0,23450.6,23218.9,22164.0,22936.5,,22143.1,,23443.0,23006.2,1030.0,690.2,1060.9,1967.0,1233.3,104.0,,,723.9,1023.0,130.0,740.6,508.9,-546.0,226.5,,-566.9,,733.0,296.2,True,False,False,False,True,,,True,True,True,True,True,True,True,,True,,True,True
Indiana,12556,11688.0,11626.9,11721.9,11186.0,11673.5,11305.0,,,11157.9,11545.0,10662.1,11083.9,11316.9,10612.0,12243.0,,11772.5,,11172.0,10499.1,412.0,350.9,445.9,-90.0,397.5,29.0,,,-118.1,269.0,-613.9,-192.1,40.9,-664.0,967.0,,496.5,,-104.0,-776.9,True,False,True,True,True,,,True,True,False,True,True,False,False,,False,,True,False
Iowa,5470,5283.6,5245.5,5311.3,5907.0,5099.1,6659.0,,,5140.9,5444.0,5001.6,5234.2,5164.3,4727.5,4853.0,,5279.0,,5143.0,5033.3,-186.4,-224.5,-158.7,437.0,-370.9,1189.0,,,-329.1,-26.0,-468.4,-235.8,-305.7,-742.5,-617.0,,-191.0,,-327.0,-436.7,False,True,False,False,False,,,False,True,False,False,False,False,False,,False,,False,False
Kansas,4692,4063.0,6048.2,4078.3,5078.0,5107.9,4859.0,,,4631.0,5012.0,4453.0,4440.2,4513.7,4223.0,4862.5,,4452.5,,4281.0,4221.5,-629.0,1356.2,-613.7,386.0,415.9,167.0,,,-61.0,320.0,-239.0,-251.8,-178.3,-469.0,170.5,,-239.5,,-411.0,-470.5,False,True,True,True,True,,,True,True,True,True,True,True,True,,True,,True,True
Kentucky,4625,4849.0,4523.6,4851.5,4941.0,4636.2,4090.0,,,4480.9,4664.0,3940.6,4976.4,4385.3,5025.0,6568.0,,4970.2,,4793.0,3913.9,224.0,-101.4,226.5,316.0,11.2,-535.0,,,-144.1,39.0,-684.4,351.4,-239.7,400.0,1943.0,,345.2,,168.0,-711.1,True,False,False,True,False,,,True,True,False,False,False,False,False,,False,,True,False
Louisiana,9587,10323.3,10446.1,10499.2,10414.0,10275.7,9736.0,,,10119.9,10283.0,9804.1,9780.3,9684.5,9561.0,10082.0,,10579.8,,9396.0,9198.4,736.3,859.1,912.2,827.0,688.7,149.0,,,532.9,696.0,217.1,193.3,97.5,-26.0,495.0,,992.8,,-191.0,-388.6,False,False,False,True,True,,,True,True,True,True,True,True,True,,False,,True,True
Maine,702,704.3,912.8,729.0,923.0,888.9,859.0,,,928.1,878.0,948.3,1116.1,889.1,729.0,1062.0,,640.1,,760.0,653.1,2.3,210.8,27.0,221.0,186.9,157.0,,,226.1,176.0,246.3,414.1,187.1,27.0,360.0,,-61.9,,58.0,-48.9,False,False,False,False,False,,,False,False,False,False,False,False,False,,False,,False,False
Maryland,7856,8312.4,8176.9,8316.6,8388.0,8291.6,14657.0,,,8232.4,8142.0,7916.8,8270.6,8350.9,7806.0,8075.5,,8064.0,,8174.0,7312.8,456.4,320.9,460.6,532.0,435.6,6801.0,,,376.4,286.0,60.8,414.6,494.9,-50.0,219.5,,208.0,,318.0,-543.2,True,False,False,True,False,,,True,True,True,True,False,True,True,,True,,True,False
Massachusetts,16067,16469.3,16352.9,16468.6,,17161.3,16818.0,,,16744.9,16431.0,15630.3,15951.0,16290.9,15428.0,15808.0,,15641.6,,16181.0,14853.0,402.3,285.9,401.6,,1094.3,751.0,,,677.9,364.0,-436.7,-116.0,223.9,-639.0,-259.0,,-425.4,,114.0,-1214.0,True,True,,False,False,,,False,True,False,True,True,False,True,,False,,True,False
