,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9930,8495.1,9418.9,8287.2,,7090.8,,7830.0,6832.5,6812.8,8220.1,6217.0,-1434.9,-511.1,-1642.8,,-2839.2,,-2100.0,-3097.5,-3117.2,-1709.9,-3713.0,True,False,,False,,False,False,False,False,False
Alaska,290,285.7,286.6,287.9,,294.4,,,303.8,293.7,342.7,267.1,-4.3,-3.4,-2.1,,4.4,,,13.8,3.7,52.7,-22.9,True,True,,False,,,False,True,False,False
Arizona,15967,17546.7,22537.8,16858.8,,14968.8,,15928.0,14130.3,13185.0,15043.0,11548.1,1579.7,6570.8,891.8,,-998.2,,-39.0,-1836.7,-2782.0,-924.0,-4418.9,False,True,,True,,True,False,False,True,False
Arkansas,5417,6059.0,6424.4,5977.9,,6488.6,,6176.0,6557.0,5144.0,5980.1,4799.2,642.0,1007.4,560.9,,1071.6,,759.0,1140.0,-273.0,563.1,-617.8,False,True,,False,,False,False,True,True,True
California,51953,53085.1,85543.6,51861.9,,50053.5,,48894.0,36780.6,36862.0,45939.6,34429.1,1132.1,33590.6,-91.1,,-1899.5,,-3059.0,-15172.4,-15091.0,-6013.4,-17523.9,False,True,,False,,False,False,False,False,False
Colorado,5945,7086.9,6871.2,7135.0,,6619.5,,7055.0,6767.4,7856.6,6957.0,6172.5,1141.9,926.2,1190.0,,674.5,,1110.0,822.4,1911.6,1012.0,227.5,True,False,,True,,True,True,False,True,True
Connecticut,7622,7866.9,7631.2,7899.9,,7521.4,,8122.0,7840.7,7639.2,6841.9,6684.3,244.9,9.2,277.9,,-100.6,,500.0,218.7,17.2,-780.1,-937.7,True,False,,True,,False,True,True,False,False
Delaware,1418,1260.0,1450.6,1242.4,,1230.1,,1278.5,1100.8,1087.5,1157.1,1074.2,7.0,197.6,-10.6,,-22.9,,25.5,-152.2,-165.5,-95.9,-178.8,False,False,,False,,False,False,False,False,False
District of Columbia,1010,974.7,941.5,960.2,,1020.7,,923.0,988.5,1006.9,864.2,865.1,-35.3,-68.5,-49.8,,10.7,,-87.0,-21.5,-3.1,-145.8,-144.9,False,False,,True,,False,True,True,False,False
Florida,30734,29254.9,29203.4,29201.8,,29260.4,,27514.0,28750.2,28063.2,28266.2,25308.9,-1479.1,-1530.6,-1532.2,,-1473.6,,-3220.0,-1983.8,-2670.8,-2467.8,-5425.1,False,False,,True,,False,False,False,False,False
Georgia,17294,14845.4,13944.9,14934.2,,14580.2,,14314.0,15014.1,13378.0,15409.7,12264.0,-2448.6,-3349.1,-2359.8,,-2713.8,,-2980.0,-2279.9,-3916.0,-1884.3,-5030.0,False,True,,False,,False,True,False,True,False
Hawaii,438,438.3,357.4,432.7,,375.3,,,389.2,352.4,357.2,341.9,0.3,-80.6,-5.3,,-62.7,,,-48.8,-85.6,-80.8,-96.1,False,False,,False,,,False,False,False,False
Idaho,1860,2123.7,1943.3,2087.8,,1931.7,,2175.0,1823.8,1964.5,2013.9,1805.2,263.7,83.3,227.8,,71.7,,315.0,-36.2,104.5,153.9,-54.8,True,True,,True,,False,True,True,True,True
Illinois,22710,25951.3,27933.2,26181.6,,23188.0,,24556.0,22710.5,23290.3,23093.8,22265.8,3241.3,5223.2,3471.6,,478.0,,1846.0,0.5,580.3,383.8,-444.2,False,False,,True,,True,True,True,True,True
Indiana,12556,12482.1,13421.5,12856.4,,11550.7,,12765.0,11478.4,11597.4,11812.2,10196.6,1088.1,2027.5,1462.4,,156.7,,1371.0,84.4,203.4,418.2,-1197.4,False,False,,True,,False,True,True,True,False
Iowa,5470,5454.6,5049.6,5393.4,,5912.1,,5804.0,5453.6,5015.6,5686.5,4948.9,-15.4,-420.4,-76.6,,442.1,,334.0,-16.4,-454.4,216.5,-521.1,False,False,,False,,False,False,False,False,False
Kansas,4692,4985.6,6508.6,5023.6,,4669.7,,4999.0,5513.2,4186.0,4745.7,3724.3,293.6,1816.6,331.6,,-22.3,,307.0,821.2,-506.0,53.7,-967.7,False,False,,True,,False,False,False,True,False
Kentucky,4625,4121.6,4298.2,4122.0,,3792.5,,4454.0,5002.0,3863.3,4439.1,3404.8,-503.4,-326.8,-503.0,,-832.5,,-171.0,377.0,-761.7,-185.9,-1220.2,True,True,,False,,True,True,False,True,False
Louisiana,9587,10177.0,9227.6,10247.7,,9948.9,,9662.0,10213.7,9022.0,10470.4,8598.2,590.0,-359.4,660.7,,361.9,,75.0,626.7,-565.0,883.4,-988.8,True,False,,True,,True,False,True,False,False
Maine,702,932.6,665.7,950.0,,722.1,,708.0,655.5,853.2,539.5,539.1,230.6,-36.3,248.0,,20.1,,6.0,-46.5,151.2,-162.5,-162.9,True,False,,True,,True,True,True,True,True
Maryland,7856,8178.3,7937.5,8198.4,,8244.4,,7751.0,8031.9,8745.0,7804.9,6792.5,322.3,81.5,342.4,,388.4,,-105.0,175.9,889.0,-51.1,-1063.5,True,False,,False,,True,True,False,True,False
Massachusetts,16067,16860.7,18616.4,17079.1,,15980.0,,16798.0,15430.3,18568.0,15886.9,13990.3,793.7,2549.4,1012.1,,-87.0,,731.0,-636.7,2501.0,-180.1,-2076.7,False,False,,True,,True,True,False,True,False
Michigan,16508,19898.1,19406.2,20019.7,,16139.9,,19094.0,16666.2,18282.6,16905.2,15752.6,3390.1,2898.2,3511.7,,-368.1,,2586.0,158.2,1774.6,397.2,-755.4,True,False,,True,,True,True,True,True,True
Minnesota,6543,7736.1,7662.0,7794.9,,7075.2,,8274.0,6815.5,6907.8,8272.3,6783.6,1193.1,1119.0,1251.9,,532.2,,1731.0,272.5,364.8,1729.3,240.6,True,False,,True,,False,True,True,False,True
Mississippi,6669,7196.7,8820.1,7289.0,,6753.5,,6677.0,6564.9,6402.3,6981.4,5840.2,527.7,2151.1,620.0,,84.5,,8.0,-104.1,-266.7,312.4,-828.8,False,False,,True,,True,True,True,True,False
Missouri,8282,8855.3,8467.3,9012.0,,8399.9,,8824.0,7730.8,7137.0,7007.8,6827.8,620.3,232.3,777.0,,164.9,,589.0,-504.2,-1098.0,-1227.2,-1407.2,True,False,,True,,True,True,False,False,False
Montana,1356,1632.0,1334.3,1635.4,,1192.8,,1681.0,1243.8,1297.8,1705.2,1233.0,276.0,-21.7,279.4,,-163.2,,325.0,-112.2,-58.2,349.2,-123.0,True,False,,True,,False,True,True,False,True
Nebraska,2082,2363.4,2416.5,2213.7,,2204.2,,2811.5,2250.9,2145.4,2007.2,2089.9,281.4,334.5,131.7,,122.2,,729.5,168.9,63.4,-74.8,7.9,False,True,,True,,False,True,True,True,True
Nevada,4957,5435.0,4880.2,5564.0,,4601.6,,4917.0,3967.1,4808.8,5534.1,4069.5,478.0,-76.8,607.0,,-355.4,,-40.0,-989.9,-148.2,577.1,-887.5,True,False,,True,,True,False,True,False,False
New Hampshire,1170,1479.3,3161.4,1513.1,,1282.0,,1472.0,1274.1,1120.6,1265.6,979.6,309.3,1991.4,343.1,,112.0,,302.0,104.1,-49.4,95.6,-190.4,False,False,,True,,True,True,True,True,True
New Jersey,23238,24283.7,26159.1,24522.0,,23450.5,,23282.0,21734.4,29197.4,23568.5,20694.5,1045.7,2921.1,1284.0,,212.5,,44.0,-1503.6,5959.4,330.5,-2543.5,False,False,,True,,True,False,False,True,False
