,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9930,9892.0,9925.2,9974.1,9987.3,9995.0,9938.0,9960.0,9906.0,10062.0,9913.3,9933.0,9836.8,10007.0,10265.6,,9888.7,,9988.2,9969.8,,9968.2,9967.2,10139.0,9518.3,10024.0,9770.2,9951.4,9763.0,9834.6,10106.0,9967.7,9973.2,9957.8,,9859.3,9960.0,,10101.9,9955.8,9930.0,10091.0,8140.6,9858.0,9736.4,,9963.0,9794.8,9895.0,10047.7,9944.0,,9944.8,9930.0,-38.0,-4.8,44.1,57.3,65.0,8.0,30.0,-24.0,132.0,-16.7,3.0,-93.2,77.0,335.6,,-41.3,,58.2,39.8,,38.2,37.2,209.0,-411.7,94.0,-159.8,21.4,-167.0,-95.4,176.0,37.7,43.2,27.8,,-70.7,30.0,,171.9,25.8,0.0,161.0,-1789.4,-72.0,-193.6,,33.0,-135.2,-35.0,117.7,14.0,,14.8,0.0,True,False,False,False,True,True,True,False,True,True,False,False,False,,False,,False,False,,False,True,False,False,False,False,True,False,False,False,True,False,True,,False,True,,False,True,True,False,False,False,False,,True,False,True,False,True,,True,True
Alaska,290,295.0,293.0,292.5,299.5,296.0,296.0,295.0,294.0,296.0,293.5,294.0,292.7,294.0,294.2,,295.0,,311.8,295.2,,279.1,295.9,,348.9,297.0,301.6,295.3,292.0,292.1,310.0,299.3,297.8,293.4,,294.9,296.0,,,297.0,295.0,294.0,335.1,309.0,310.7,,295.1,298.2,292.0,,295.0,,296.0,293.0,5.0,3.0,2.5,9.5,6.0,6.0,5.0,4.0,6.0,3.5,4.0,2.7,4.0,4.2,,5.0,,21.8,5.2,,-10.9,5.9,,58.9,7.0,11.6,5.3,2.0,2.1,20.0,9.3,7.8,3.4,,4.9,6.0,,,7.0,5.0,4.0,45.1,19.0,20.7,,5.1,8.2,2.0,,5.0,,6.0,3.0,True,True,False,False,False,False,True,False,True,True,True,True,True,,False,,False,False,,False,False,,False,False,False,False,True,True,False,False,False,True,,True,False,,,False,False,True,False,False,False,,False,False,True,,False,,False,True
Arizona,15967,15956.7,16283.4,16076.0,16031.2,16049.0,16012.0,15960.0,15956.0,15929.0,15950.1,15834.0,15557.6,16042.0,16277.5,,15817.8,,16067.9,16006.2,,16037.2,16083.8,16075.0,15387.2,16037.0,15870.9,15919.4,16105.0,15892.9,15964.0,15974.3,16047.0,15954.9,,15922.6,16336.0,,16200.7,15951.4,15963.0,15954.0,16110.6,15840.0,15911.9,,16045.4,15804.6,15893.0,15999.6,15926.0,,15956.3,15882.0,-10.3,316.4,109.0,64.2,82.0,45.0,-7.0,-11.0,-38.0,-16.9,-133.0,-409.4,75.0,310.5,,-149.2,,100.9,39.2,,70.2,116.8,108.0,-579.8,70.0,-96.1,-47.6,138.0,-74.1,-3.0,7.3,80.0,-12.1,,-44.4,369.0,,233.7,-15.6,-4.0,-13.0,143.6,-127.0,-55.1,,78.4,-162.4,-74.0,32.6,-41.0,,-10.7,-85.0,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,,False,False,True,False,False,False,False,,False,False,False,False,False,,False,False
Arkansas,5417,5435.9,5459.5,5453.0,5442.3,5470.0,5444.0,5454.0,5438.0,5476.0,5469.8,5454.0,5406.7,5442.0,5493.5,,,,5401.5,5457.6,,5458.2,5465.7,5466.0,5517.4,5510.0,5490.6,5471.6,5412.0,5422.2,5513.0,5465.4,5449.6,5451.7,,5413.0,5468.0,,5498.2,5432.5,5544.0,5474.0,6133.4,5422.0,5456.9,,5446.2,5417.5,5425.0,5449.9,5453.0,,5485.4,5435.0,18.9,42.5,36.0,25.3,53.0,27.0,37.0,21.0,59.0,52.8,37.0,-10.3,25.0,76.5,,,,-15.5,40.6,,41.2,48.7,49.0,100.4,93.0,73.6,54.6,-5.0,5.2,96.0,48.4,32.6,34.7,,-4.0,51.0,,81.2,15.5,127.0,57.0,716.4,5.0,39.9,,29.2,0.5,8.0,32.9,36.0,,68.4,18.0,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,True,False,,False,False,False,False,False,False,False,True,True,False,False,False,False,,True,False,,False,True,False,False,False,True,False,,False,True,True,False,False,,False,True
California,51953,51306.1,51150.8,51193.1,51421.0,51472.0,51366.0,51065.0,51033.0,51079.0,50718.7,50551.0,49386.0,51430.0,52077.5,,,,50531.8,50891.9,,50610.3,51790.9,51639.0,48158.2,51107.0,50687.0,50985.4,51129.0,51140.1,51198.0,51026.8,51231.2,50917.9,,51111.7,51384.0,,51065.0,50775.7,50469.0,50798.0,50011.2,51043.0,51005.6,,51228.2,50850.4,50899.0,50886.1,51341.0,,50961.6,50734.0,-646.9,-802.2,-759.9,-532.0,-481.0,-587.0,-888.0,-920.0,-874.0,-1234.3,-1402.0,-2567.0,-523.0,124.5,,,,-1421.2,-1061.1,,-1342.7,-162.1,-314.0,-3794.8,-846.0,-1266.0,-967.6,-824.0,-812.9,-755.0,-926.2,-721.8,-1035.1,,-841.3,-569.0,,-888.0,-1177.3,-1484.0,-1155.0,-1941.8,-910.0,-947.4,,-724.8,-1102.6,-1054.0,-1066.9,-612.0,,-991.4,-1219.0,False,False,True,True,True,False,False,False,False,False,False,True,True,,,,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,False,False,False,,False,False,False,False,True,,False,False
Colorado,5945,5950.3,5960.9,5950.2,5961.2,5975.0,5960.0,5958.0,5954.0,5995.0,5967.0,5958.0,5919.6,5990.0,5965.0,,5959.3,,5929.8,6003.7,,5949.3,5991.6,5946.0,6608.1,5971.0,6029.6,5951.8,5932.0,5956.9,5989.0,5899.9,5969.0,5946.3,,5950.6,5935.0,,5958.5,5949.4,6020.0,5958.0,6064.5,5975.0,5973.5,,5969.0,5972.5,5956.0,5976.5,5965.0,,6000.5,5952.0,5.3,15.9,5.2,16.2,30.0,15.0,13.0,9.0,50.0,22.0,13.0,-25.4,45.0,20.0,,14.3,,-15.2,58.7,,4.3,46.6,1.0,663.1,26.0,84.6,6.8,-13.0,11.9,44.0,-45.1,24.0,1.3,,5.6,-10.0,,13.5,4.4,75.0,13.0,119.5,30.0,28.5,,24.0,27.5,11.0,31.5,20.0,,55.5,7.0,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,True,False,True,False,False,False,False,False,False,False,False,False,True,,False,False,,False,True,False,False,False,False,False,,False,False,False,False,False,,False,False
Connecticut,7622,7644.7,7685.2,7606.8,7669.3,7663.0,7665.0,7639.0,7625.0,7612.0,7627.1,7605.0,7600.0,7637.0,7682.4,,7660.0,,7650.4,7653.1,,7656.6,7637.8,7694.0,7792.1,7690.0,7662.5,7616.4,7636.0,7617.4,7651.0,,7656.3,7645.8,,7631.0,7609.5,,7641.9,7614.0,7724.0,7626.0,7509.2,7599.0,7642.6,,7654.0,7626.5,7620.0,7652.3,7628.0,,7612.0,7628.0,22.7,63.2,-15.2,47.3,41.0,43.0,17.0,3.0,-10.0,5.1,-17.0,-22.0,15.0,60.4,,38.0,,28.4,31.1,,34.6,15.8,72.0,170.1,68.0,40.5,-5.6,14.0,-4.6,29.0,,34.3,23.8,,9.0,-12.5,,19.9,-8.0,102.0,4.0,-112.8,-23.0,20.6,,32.0,4.5,-2.0,30.3,6.0,,-10.0,6.0,False,True,False,False,False,True,True,True,True,True,True,True,False,,False,,False,False,,False,True,False,False,False,False,True,True,True,False,,False,False,,True,True,,True,True,False,True,False,False,True,,False,True,True,False,True,,True,True
Delaware,1418,1372.1,1391.0,1377.4,1376.6,1436.0,1376.0,1387.0,1380.0,1404.0,1413.8,1396.0,1419.3,1386.0,1385.5,,1426.3,,1474.4,1383.3,,1391.5,1380.8,1392.0,1405.9,1386.0,1407.4,1386.7,1373.0,1374.5,1392.0,1378.6,1405.0,1376.0,,1372.2,1390.0,,,1374.7,1399.0,1380.0,1373.7,1447.0,1381.5,,1406.8,1397.8,1378.0,1377.8,1377.0,,1388.3,1379.0,-45.9,-27.0,-40.6,-41.4,18.0,-42.0,-31.0,-38.0,-14.0,-4.2,-22.0,1.3,-32.0,-32.5,,8.3,,56.4,-34.7,,-26.5,-37.2,-26.0,-12.1,-32.0,-10.6,-31.3,-45.0,-43.5,-26.0,-39.4,-13.0,-42.0,,-45.8,-28.0,,,-43.3,-19.0,-38.0,-44.3,29.0,-36.5,,-11.2,-20.2,-40.0,-40.2,-41.0,,-29.7,-39.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,,True,True
District of Columbia,1010,1008.7,1004.8,1014.3,1008.2,1010.0,1009.0,1013.0,1009.0,1018.0,1014.9,1018.0,1049.4,1018.0,1013.3,,1018.0,,999.1,1015.8,,1001.0,,1016.0,1011.6,1012.0,1010.6,1011.1,1004.0,1004.6,1020.0,,,1012.4,,1007.2,1009.0,,,1008.1,1022.0,1011.0,964.0,1027.0,1000.8,,,1007.3,1010.0,,1015.0,,1011.3,1013.0,-1.3,-5.2,4.3,-1.8,0.0,-1.0,3.0,-1.0,8.0,4.9,8.0,39.4,8.0,3.3,,8.0,,-10.9,5.8,,-9.0,,6.0,1.6,2.0,0.6,1.1,-6.0,-5.4,10.0,,,2.4,,-2.8,-1.0,,,-1.9,12.0,1.0,-46.0,17.0,-9.2,,,-2.7,0.0,,5.0,,1.3,3.0,False,False,False,True,True,False,True,False,False,False,False,False,False,,False,,False,False,,False,,False,False,False,True,True,False,False,False,,,False,,False,True,,,False,False,True,False,False,False,,,False,True,,False,,True,False
Florida,30734,30872.0,30900.9,30788.4,30955.2,30928.0,30943.0,30754.0,30782.0,30636.0,30635.1,30675.0,29950.0,30793.0,31135.1,,30800.6,,30886.8,30717.5,,30741.3,30923.0,31008.0,30351.2,30773.0,30990.8,30681.2,30836.0,30768.5,30699.0,30790.9,30715.1,30754.0,,30913.8,30784.0,,30893.8,30657.9,30664.0,30814.0,32410.5,30682.0,30884.0,,30726.3,30698.7,30700.0,30823.9,30827.0,,30525.7,30647.0,138.0,166.9,54.4,221.2,194.0,209.0,20.0,48.0,-98.0,-98.9,-59.0,-784.0,59.0,401.1,,66.6,,152.8,-16.5,,7.3,189.0,274.0,-382.8,39.0,256.8,-52.8,102.0,34.5,-35.0,56.9,-18.9,20.0,,179.8,50.0,,159.8,-76.1,-70.0,80.0,1676.5,-52.0,150.0,,-7.7,-35.3,-34.0,89.9,93.0,,-208.3,-87.0,False,True,False,False,False,True,True,True,True,True,False,True,False,,True,,False,True,,True,False,False,False,True,False,True,True,True,True,True,True,True,,False,True,,False,True,True,True,False,True,False,,True,True,True,True,True,,False,True
