,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9930,7365.9,8408.5,7070.9,9121.0,6084.9,-2564.1,-1521.5,-2859.1,-809.0,-3845.1,True,False,True,False
Alaska,290,341.7,389.8,439.1,,403.9,51.7,99.8,149.1,,113.9,False,False,,False
Arizona,15967,12465.9,15190.6,14501.2,14184.0,10182.6,-3501.1,-776.4,-1465.8,-1783.0,-5784.4,True,True,True,False
Arkansas,5417,5652.0,6480.3,5683.9,6554.0,5529.4,235.0,1063.3,266.9,1137.0,112.4,False,False,False,True
California,51953,38515.4,60034.9,58830.9,41000.0,34078.4,-13430.6,8088.9,6884.9,-10946.0,-17867.6,True,True,True,False
Colorado,5945,6753.4,7749.6,8031.3,8086.0,6033.2,808.4,1804.6,2086.3,2141.0,88.2,False,False,False,True
Connecticut,7622,7651.0,8652.7,7690.3,7911.0,6624.9,29.0,1030.7,68.3,289.0,-997.1,False,False,False,False
Delaware,1418,1207.0,1322.7,1289.2,1415.0,1073.5,-76.0,39.7,6.2,132.0,-209.5,True,True,False,False
District of Columbia,1010,1042.6,992.2,1016.0,942.0,969.1,32.6,-17.8,6.0,-68.0,-40.9,True,True,False,False
Florida,30734,26916.0,30746.0,30609.2,27512.0,26002.8,-3818.0,12.0,-124.8,-3222.0,-4731.2,True,True,True,False
Georgia,17294,13399.3,14718.8,15709.9,14448.0,13471.7,-3894.7,-2575.2,-1584.1,-2846.0,-3822.3,True,True,True,True
Hawaii,438,311.6,442.8,491.0,,338.2,-126.4,4.8,53.0,,-99.8,True,True,,True
Idaho,1860,2009.4,2491.0,2414.5,2147.0,1876.4,149.4,631.0,554.5,287.0,16.4,False,False,False,True
Illinois,22710,25564.3,24374.8,25495.0,24610.0,21271.7,2854.3,1664.8,2785.0,1900.0,-1438.3,True,True,True,True
Indiana,12556,11731.3,12881.5,11532.6,12741.0,10009.2,328.3,1478.5,129.6,1338.0,-1393.8,False,True,False,False
Iowa,5470,5125.7,6086.5,4117.2,6302.0,5236.4,-344.3,616.5,-1352.8,832.0,-233.6,False,False,False,True
Kansas,4692,3937.9,4760.3,4900.7,4915.0,4368.6,-754.1,68.3,208.7,223.0,-323.4,True,True,True,True
Kentucky,4625,3954.4,3957.2,4029.6,4189.5,4044.4,-670.6,-667.8,-595.4,-435.5,-580.6,True,True,True,True
Louisiana,9587,9496.4,9897.7,9561.0,10610.0,9688.9,-90.6,310.7,-26.0,1023.0,101.9,False,True,False,False
Maine,702,597.6,1227.8,793.6,777.0,423.7,-104.4,525.8,91.6,75.0,-278.3,False,True,True,False
Maryland,7856,8050.3,8951.3,9205.0,8573.0,7025.1,194.3,1095.3,1349.0,717.0,-830.9,False,False,False,False
Massachusetts,16067,15590.9,17861.5,15978.9,16495.0,13606.5,-476.1,1794.5,-88.1,428.0,-2460.5,False,True,True,False
Michigan,16508,18146.0,17190.6,18052.7,19917.0,15440.2,1638.0,682.6,1544.7,3409.0,-1067.8,True,True,False,True
Minnesota,6543,7836.6,7168.0,7671.5,9108.0,6593.1,1293.6,625.0,1128.5,2565.0,50.1,True,True,False,True
Mississippi,6669,6350.9,7645.5,6786.5,7134.0,6208.9,-318.1,976.5,117.5,465.0,-460.1,False,True,False,False
Missouri,8282,8969.6,8573.0,8582.3,9653.0,6605.5,717.6,321.0,330.3,1401.0,-1646.5,True,True,False,False
Montana,1356,1446.6,1187.7,1310.5,1644.0,1611.7,90.6,-168.3,-45.5,288.0,255.7,False,True,False,False
Nebraska,2082,2205.6,2586.3,2714.8,2784.5,1881.2,123.6,504.3,632.8,702.5,-200.8,False,False,False,False
Nevada,4957,4464.6,5115.2,5193.3,5154.0,4342.9,-492.4,158.2,236.3,197.0,-614.1,True,True,True,False
New Hampshire,1170,1168.6,1561.5,1676.8,1421.5,950.8,-1.4,391.5,506.8,251.5,-219.2,False,False,False,False
