,mean_rank
RobertWalraven-ESG,12.0
UMass-MechBayes,12.1
COVIDhub-trained_ensemble,12.5
Karlen-pypm,13.7
USC-SI_kJalpha,13.8
LNQ-ens1,13.9
OliverWyman-Navigator,14.1
SteveMcConnell-CovidComplete,15.0
COVIDhub-ensemble,16.1
CU-select,16.4
UA-EpiCovDA,17.0
IHME-CurveFit,17.5
LANL-GrowthRate,17.7
Google_Harvard-CPF,18.2
GT-DeepCOVID,18.2
MOBS-GLEAM_COVID,18.4
CovidAnalytics-DELPHI,18.5
CMU-TimeSeries,19.3
Covid19Sim-Simulator,19.3
Caltech-CS156,19.4
BPagano-RtDriven,19.7
WalmartLabsML-LogForecasting,19.7
Columbia_UNC-SurvCon,19.8
UCLA-SuEIR,19.9
UMich-RidgeTfReg,20.1
JHU_CSSE-DECOM,24.2
JHU_IDD-CovidSP,24.3
MIT_ISOLAT-Mixtures,24.4
UCSD_NEU-DeepGLEAM,24.6
AIpert-pwllnod,24.8
PSI-DRAFT,24.9
epiforecasts-ensemble1,25.3
COVIDhub-baseline,26.8
Microsoft-DeepSTIA,27.2
MIT_CritData-GBCF,27.4
DDS-NBDS,28.0
CEID-Walk,28.3
IowaStateLW-STEM,28.3
JHUAPL-Bucky,29.1
TTU-squider,30.1
