,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9930,7588.4,7781.0,8125.5,7628.0,6957.0,-2341.6,-2149.0,-1804.5,-2302.0,-2973.0,True,True,True,False
Alaska,290,403.9,588.9,265.8,,476.8,113.9,298.9,-24.2,,186.8,False,True,,False
Arizona,15967,10696.9,13629.7,11570.4,9520.0,9987.5,-5270.1,-2337.3,-4396.6,-6447.0,-5979.5,True,True,False,False
Arkansas,5417,4912.9,4834.1,4336.5,4867.0,5848.0,-504.1,-582.9,-1080.5,-550.0,431.0,False,False,False,True
California,51953,29141.0,42131.4,46367.7,27864.0,28849.5,-22801.0,-9810.6,-5574.3,-24078.0,-23092.5,True,True,False,False
Colorado,5945,7541.6,8832.9,9687.2,7310.0,7701.6,1596.6,2887.9,3742.2,1365.0,1756.6,False,False,True,False
Connecticut,7622,7339.6,7725.8,7700.1,6994.0,6564.6,-282.4,103.8,78.1,-628.0,-1057.4,True,True,False,False
Delaware,1418,1065.7,1291.4,1121.0,1041.0,1044.4,-296.3,-70.6,-241.0,-321.0,-317.6,True,True,False,False
District of Columbia,1010,898.6,986.5,1101.6,851.0,848.6,-111.4,-23.5,91.6,-159.0,-161.4,True,True,False,False
Florida,30734,27204.3,27661.6,30213.8,23976.0,26648.9,-3529.7,-3072.4,-520.2,-6758.0,-4085.1,True,True,False,False
Georgia,17294,14122.0,12355.2,14570.5,12769.0,14288.0,-3172.0,-4938.8,-2723.5,-4525.0,-3006.0,False,True,False,True
Hawaii,438,475.4,303.8,603.9,,313.1,37.4,-134.2,165.9,,-124.9,False,False,,False
Idaho,1860,2398.6,2340.5,2326.7,2335.0,2351.1,538.6,480.5,466.7,475.0,491.1,True,True,True,True
Illinois,22710,28747.7,24686.7,25636.8,23238.0,26777.3,6037.7,1976.7,2926.8,528.0,4067.3,True,True,True,True
Indiana,12556,12846.4,13683.1,10014.3,12041.0,13981.7,1035.4,1872.1,-1796.7,230.0,2170.7,False,False,True,False
Iowa,5470,6487.6,4440.7,4701.3,6648.0,6338.4,1017.6,-1029.3,-768.7,1178.0,868.4,False,True,False,True
Kansas,4692,4833.3,4150.3,4210.6,4561.0,4311.1,141.3,-541.7,-481.4,-131.0,-380.9,False,False,True,False
Kentucky,4625,4158.9,4487.4,4531.9,3804.0,5407.6,-466.1,-137.6,-93.1,-821.0,782.6,True,True,False,False
Louisiana,9587,8682.7,11346.2,9451.3,8616.0,8751.8,-904.3,1759.2,-135.7,-971.0,-835.2,False,True,False,True
Maine,702,653.9,620.5,642.0,760.0,319.7,-48.1,-81.5,-60.0,58.0,-382.3,False,False,False,False
Maryland,7856,7466.4,9120.3,9788.7,7147.0,6922.3,-389.6,1264.3,1932.7,-709.0,-933.7,False,False,False,False
Massachusetts,16067,14347.7,16358.7,14707.7,14393.0,13630.3,-1719.3,291.7,-1359.3,-1674.0,-2436.7,True,True,True,False
Michigan,16508,20447.0,21604.5,16339.1,18850.0,18533.0,3939.0,5096.5,-168.9,2342.0,2025.0,False,True,True,True
Minnesota,6543,8857.0,10176.5,7466.2,10404.0,10430.0,2314.0,3633.5,923.2,3861.0,3887.0,False,True,False,False
Mississippi,6669,5798.9,6532.6,5595.9,5687.0,6019.3,-870.1,-136.4,-1073.1,-982.0,-649.7,True,False,False,True
Missouri,8282,9430.0,7430.3,7630.5,7597.0,8053.1,1177.0,-822.7,-622.5,-656.0,-199.9,True,True,True,True
Montana,1356,1506.7,1667.1,2105.6,1814.0,1562.9,150.7,311.1,749.6,458.0,206.9,False,False,False,False
