,mean_rank
COVIDhub-ensemble,15.1
Google_Harvard-CPF,15.2
CovidAnalytics-DELPHI,17.0
UMass-MechBayes,17.1
Microsoft-DeepSTIA,17.9
COVIDhub-trained_ensemble,18.1
epiforecasts-ensemble1,18.2
Caltech-CS156,19.2
Karlen-pypm,19.5
SteveMcConnell-CovidComplete,19.6
MIT_CritData-GBCF,19.8
GT-DeepCOVID,20.1
USC-SI_kJalpha,20.5
UCSD_NEU-DeepGLEAM,20.6
RobertWalraven-ESG,20.7
LNQ-ens1,20.7
MOBS-GLEAM_COVID,20.7
BPagano-RtDriven,20.8
OliverWyman-Navigator,21.1
IUPUI-HkPrMobiDyR,21.4
UChicagoCHATTOPADHYAY-UnIT,21.6
Columbia_UNC-SurvCon,21.7
JHU_CSSE-DECOM,21.8
CU-select,22.0
CMU-TimeSeries,22.1
AIpert-pwllnod,22.6
LANL-GrowthRate,22.7
COVIDhub-baseline,22.7
UA-EpiCovDA,23.3
DDS-NBDS,23.6
IowaStateLW-STEM,23.7
WalmartLabsML-LogForecasting,23.8
CEID-Walk,24.1
PSI-DRAFT,24.1
UMich-RidgeTfReg,24.2
MIT_ISOLAT-Mixtures,24.7
SigSci-TS,25.9
UCLA-SuEIR,26.2
IHME-CurveFit,26.5
Geneva-DetGrowth,26.9
JHU_IDD-CovidSP,27.7
Covid19Sim-Simulator,30.4
JHUAPL-Bucky,34.1
TTU-squider,40.4
