,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9930,6353.1,5594.9,7069.8,6759.0,5231.7,-3576.9,-4335.1,-2860.2,-3171.0,-4698.3,False,True,True,False
Alaska,290,172.3,658.1,291.9,,346.7,-117.7,368.1,1.9,,56.7,False,True,,True
Arizona,15967,8708.9,13138.7,14366.8,8719.0,8010.6,-7258.1,-2828.3,-1600.2,-7248.0,-7956.4,True,True,True,False
Arkansas,5417,4768.1,5190.0,3854.0,4974.0,6460.4,-648.9,-227.0,-1563.0,-443.0,1043.4,True,False,True,False
California,51953,25155.7,32195.4,36454.6,24558.0,25119.9,-26796.3,-19756.6,-15497.4,-27394.0,-26832.1,True,True,False,False
Colorado,5945,6408.9,8295.0,8359.0,6496.0,7152.4,463.9,2350.0,2414.0,551.0,1207.4,False,False,False,False
Connecticut,7622,6089.0,8774.1,7802.6,6661.0,6602.3,-1533.0,1152.1,180.6,-961.0,-1019.7,True,True,True,True
Delaware,1418,914.3,1410.5,1266.8,1026.0,933.4,-461.7,34.5,-109.2,-350.0,-442.6,True,True,True,True
District of Columbia,1010,808.6,913.5,1074.1,730.0,804.0,-201.4,-96.5,64.1,-280.0,-206.0,True,True,False,False
Florida,30734,24545.4,25353.5,25748.6,24253.0,24103.6,-6188.6,-5380.5,-4985.4,-6481.0,-6630.4,True,True,False,False
Georgia,17294,12537.6,23385.9,16411.0,12765.0,11351.0,-4756.4,6091.9,-883.0,-4529.0,-5943.0,False,True,True,False
Hawaii,438,385.4,363.7,287.6,,290.9,-52.6,-74.3,-150.4,,-147.1,False,False,,False
Idaho,1860,2096.1,2428.1,2343.6,2143.0,1881.5,236.1,568.1,483.6,283.0,21.5,False,False,False,True
Illinois,22710,24355.1,29209.7,23385.4,23521.0,30495.3,1646.1,6500.7,676.4,812.0,7786.3,False,True,True,False
