,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9930,10877.9,11692.8,11096.0,11361.2,10775.0,11354.2,10835.0,10338.0,9841.0,10068.4,10852.0,9806.7,9926.0,10571.5,,10825.1,,10707.5,,10806.6,11866.0,8666.0,10970.0,9303.4,9674.8,10882.0,10345.4,11163.0,10806.2,11314.0,10471.7,10862.5,11953.0,,10998.4,10269.3,,10608.0,7250.6,10255.0,10559.5,,11431.3,10008.0,10844.3,10932.0,,9450.6,12281.0,947.9,1762.8,1166.0,1431.2,845.0,1424.2,905.0,408.0,-89.0,138.4,922.0,-123.3,-4.0,641.5,,895.1,,777.5,,876.6,1936.0,-1264.0,1040.0,-626.6,-255.2,952.0,415.4,1233.0,876.2,1384.0,541.7,932.5,2023.0,,1068.4,339.3,,678.0,-2679.4,325.0,629.5,,1501.3,78.0,914.3,1002.0,,-479.4,2351.0,False,False,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,False,False,False,True,True,False,True,False,True,False,True,True,False,,False,True,,True,False,True,True,,False,True,True,False,,True,False
Alaska,290,327.6,305.4,310.1,350.2,294.0,330.0,309.0,299.0,279.0,299.4,333.0,280.5,294.0,304.5,,309.6,,312.9,,264.6,,269.3,321.0,323.4,296.3,315.0,297.9,321.0,312.1,311.5,305.4,302.7,307.0,,,301.0,298.0,309.0,347.7,286.0,345.3,,313.4,286.0,301.8,289.0,,302.6,320.0,37.6,15.4,20.1,60.2,4.0,40.0,19.0,9.0,-11.0,9.4,43.0,-9.5,4.0,14.5,,19.6,,22.9,,-25.4,,-20.7,31.0,33.4,6.3,25.0,7.9,31.0,22.1,21.5,15.4,12.7,17.0,,,11.0,8.0,19.0,57.7,-4.0,55.3,,23.4,-4.0,11.8,-1.0,,12.6,30.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,False,True,False,,True,True,True,True,,True,True
Arizona,15967,16699.4,16573.7,16507.9,16631.3,16175.0,16749.5,16101.0,15756.0,16304.0,16305.5,16165.0,16101.3,16774.0,17395.4,,15668.1,,16038.8,,15639.8,16968.0,15830.0,16237.0,15617.6,15468.5,15659.0,15842.1,16629.0,16457.0,16540.9,16688.7,16079.9,17073.5,,17167.5,16246.9,16029.0,15851.0,16223.5,15586.0,16030.7,,16523.0,15672.0,16375.0,15941.0,,15186.1,16038.0,732.4,606.7,540.9,664.3,208.0,782.5,134.0,-211.0,337.0,338.5,198.0,134.3,807.0,1428.4,,-298.9,,71.8,,-327.2,1001.0,-137.0,270.0,-349.4,-498.5,-308.0,-124.9,662.0,490.0,573.9,721.7,112.9,1106.5,,1200.5,279.9,62.0,-116.0,256.5,-381.0,63.7,,556.0,-295.0,408.0,-26.0,,-780.9,71.0,True,True,True,True,False,True,True,True,True,True,True,False,False,,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,False,True,True,True,True,True,True,,True,True,True,True,,False,True
Arkansas,5417,5670.3,5545.7,5650.1,5735.9,5587.0,5730.1,5651.0,5588.0,5464.0,5700.0,5629.0,5452.6,5685.0,5812.2,,5514.1,,5630.6,,5610.7,5843.0,5657.1,5757.0,5630.5,5584.5,5559.0,5634.0,5801.0,5998.5,5639.4,5810.9,5654.3,5777.0,,5915.3,5550.9,,5680.0,6235.3,5499.0,5723.0,,5669.1,5508.0,5758.2,5645.0,,5503.2,5635.0,253.3,128.7,233.1,318.9,170.0,313.1,234.0,171.0,47.0,283.0,212.0,35.6,268.0,395.2,,97.1,,213.6,,193.7,426.0,240.1,340.0,213.5,167.5,142.0,217.0,384.0,581.5,222.4,393.9,237.3,360.0,,498.3,133.9,,263.0,818.3,82.0,306.0,,252.1,91.0,341.2,228.0,,86.2,218.0,True,True,False,True,False,True,True,True,False,True,True,False,False,,True,,True,,True,False,True,False,True,True,True,True,False,False,True,False,True,False,,False,True,,False,False,True,False,,True,True,False,True,,True,True
California,51953,53375.0,54574.9,53809.0,54404.9,53296.0,53859.2,51617.0,50732.0,50854.0,51599.0,51462.0,50620.1,51786.0,56297.9,,50138.3,,50792.9,,51180.9,56523.0,43655.0,51914.0,49848.5,49675.9,50706.5,51476.5,53521.0,52392.2,52607.3,53460.2,51806.5,52110.0,,54608.7,51955.0,,51293.0,55195.1,49144.0,50578.2,,52623.8,50061.0,51320.7,50521.0,,48332.6,51757.0,1422.0,2621.9,1856.0,2451.9,1343.0,1906.2,-336.0,-1221.0,-1099.0,-354.0,-491.0,-1332.9,-167.0,4344.9,,-1814.7,,-1160.1,,-772.1,4570.0,-8298.0,-39.0,-2104.5,-2277.1,-1246.5,-476.5,1568.0,439.2,654.3,1507.2,-146.5,157.0,,2655.7,2.0,,-660.0,3242.1,-2809.0,-1374.8,,670.8,-1892.0,-632.3,-1432.0,,-3620.4,-196.0,False,False,False,True,False,True,True,True,True,True,True,True,False,,False,,True,,True,False,False,True,False,False,True,True,False,True,True,False,True,True,,False,True,,True,False,False,True,,True,False,True,False,,False,True
Colorado,5945,5991.0,5998.2,5862.1,6016.6,6083.0,6028.1,6033.0,6023.0,6033.0,6066.4,5930.0,5881.2,6135.0,6204.6,,6040.2,,6249.0,,5977.1,6274.0,8753.5,6210.0,6234.0,6027.4,5958.0,6014.5,6037.0,5786.2,6015.9,6131.7,5986.2,5996.0,,6059.8,5964.0,6159.0,6024.0,5955.5,5978.0,6142.5,,6051.4,6027.0,6036.5,6005.0,,6095.7,6026.0,46.0,53.2,-82.9,71.6,138.0,83.1,88.0,78.0,88.0,121.4,-15.0,-63.8,190.0,259.6,,95.2,,304.0,,32.1,329.0,2808.5,265.0,289.0,82.4,13.0,69.5,92.0,-158.8,70.9,186.7,41.2,51.0,,114.8,19.0,214.0,79.0,10.5,33.0,197.5,,106.4,82.0,91.5,60.0,,150.7,81.0,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,,False,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,,False,True,False,False,True,True,False,,False,False,False,False,,False,False
Connecticut,7622,7694.0,7898.2,7684.1,7751.5,7746.0,7718.2,7712.0,7720.0,7735.0,7667.1,7667.0,7672.9,7771.0,8043.9,,7912.4,,7773.6,,7719.7,7857.0,7678.2,7774.0,7767.4,7740.2,7544.0,7604.9,7731.0,7608.2,7683.2,7842.6,7575.7,7651.0,,7720.0,7624.8,7935.0,7694.0,7510.9,7359.0,7518.7,,7700.0,7595.0,7793.2,7584.0,,7452.4,7726.0,72.0,276.2,62.1,129.5,124.0,96.2,90.0,98.0,113.0,45.1,45.0,50.9,149.0,421.9,,290.4,,151.6,,97.7,235.0,56.2,152.0,145.4,118.2,-78.0,-17.1,109.0,-13.8,61.2,220.6,-46.3,29.0,,98.0,2.8,313.0,72.0,-111.1,-263.0,-103.3,,78.0,-27.0,171.2,-38.0,,-169.6,104.0,False,True,False,False,False,False,False,False,True,True,True,False,False,,False,,False,,False,False,True,False,False,False,False,True,False,True,True,False,True,True,,False,True,False,False,False,False,False,,False,True,False,True,,False,False
Delaware,1418,1545.1,1397.8,1370.5,1601.7,1321.0,1565.0,1349.0,1320.0,1278.0,1358.9,1368.0,1192.8,1306.0,1364.2,,1503.7,,1334.8,,1230.2,1313.0,1161.7,1358.0,1360.5,1266.3,1403.0,1389.0,1367.0,1478.0,1342.9,1400.6,1307.1,1393.0,,,1352.2,1321.0,1382.0,1246.2,1439.0,1274.3,,1383.1,1302.0,1322.1,1348.0,,1287.3,1553.0,254.1,106.8,79.5,310.7,30.0,274.0,58.0,29.0,-13.0,67.9,77.0,-98.2,15.0,73.2,,212.7,,43.8,,-60.8,22.0,-129.3,67.0,69.5,-24.7,112.0,98.0,76.0,187.0,51.9,109.6,16.1,102.0,,,61.2,30.0,91.0,-44.8,148.0,-16.7,,92.1,11.0,31.1,57.0,,-3.7,262.0,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,,True,False
District of Columbia,1010,1063.4,1046.5,1031.4,1055.1,1023.0,1061.0,1032.0,1020.0,1017.0,1038.0,1030.0,994.2,1030.0,1042.1,,1026.7,,1057.6,,1021.5,1040.0,984.1,1048.0,1008.6,1011.6,1032.0,1025.0,1025.0,,,,1034.9,1071.0,,,1046.9,1045.0,1021.0,955.7,1061.0,1024.7,,,1023.0,,1039.0,,998.1,1065.0,53.4,36.5,21.4,45.1,13.0,51.0,22.0,10.0,7.0,28.0,20.0,-15.8,20.0,32.1,,16.7,,47.6,,11.5,30.0,-25.9,38.0,-1.4,1.6,22.0,15.0,15.0,,,,24.9,61.0,,,36.9,35.0,11.0,-54.3,51.0,14.7,,,13.0,,29.0,,-11.9,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,,,,True,False,,,True,True,True,False,True,True,,,True,,True,,True,False
Florida,30734,31173.1,32114.0,30834.9,31317.4,30866.0,31315.0,30644.0,30335.0,30334.0,30700.5,30875.0,29677.1,30491.0,31214.2,,30151.2,,30421.3,,30472.7,31830.0,28850.6,31568.0,31996.9,30018.3,30141.0,30825.7,31099.0,31034.2,30338.6,31249.7,30758.3,31852.5,,32161.1,30477.6,,30804.0,33049.9,30138.0,30643.6,,30368.9,30621.0,30861.6,30254.0,,29337.6,30916.0,439.1,1380.0,100.9,583.4,132.0,581.0,-90.0,-399.0,-400.0,-33.5,141.0,-1056.9,-243.0,480.2,,-582.8,,-312.7,,-261.3,1096.0,-1883.4,834.0,1262.9,-715.7,-593.0,91.7,365.0,300.2,-395.4,515.7,24.3,1118.5,,1427.1,-256.4,,70.0,2315.9,-596.0,-90.4,,-365.1,-113.0,127.6,-480.0,,-1396.4,182.0,False,True,False,True,False,True,True,True,True,True,False,True,False,,False,,True,,True,False,False,False,False,False,False,True,True,True,True,False,True,False,,False,True,,True,False,False,True,,True,True,True,False,,False,True
