,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,9930,11653.1,11036.2,10358.7,11327.7,10761.0,11201.9,10337.0,9660.0,8786.0,9294.9,,8996.6,9644.0,10488.7,,10552.3,9629.8,,8518.7,11548.0,8074.6,10444.0,8727.2,8780.7,10381.0,10844.7,10431.0,9417.7,10122.0,10416.2,10389.7,12099.5,,9591.5,9831.0,8944.0,9630.0,7250.6,10377.0,10708.4,,10274.3,10337.0,11540.4,10525.0,,8739.0,9552.0,1723.1,1106.2,428.7,1397.7,831.0,1271.9,407.0,-270.0,-1144.0,-635.1,,-933.4,-286.0,558.7,,622.3,-300.2,,-1411.3,1618.0,-1855.4,514.0,-1202.8,-1149.3,451.0,914.7,501.0,-512.3,192.0,486.2,459.7,2169.5,,-338.5,-99.0,-986.0,-300.0,-2679.4,447.0,778.4,,344.3,407.0,1610.4,595.0,,-1191.0,-378.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,False,True,True,,True,True,True,True,,True,True
Alaska,290,273.6,276.0,317.8,303.6,314.0,276.0,296.0,288.0,264.0,286.3,,270.5,296.0,299.7,,289.5,339.9,,346.3,,427.6,353.0,332.5,285.8,274.0,288.8,359.0,298.9,275.1,302.9,287.9,309.0,,,285.2,288.0,294.0,347.7,280.0,355.6,,288.9,279.0,320.4,276.0,,290.2,306.0,-16.4,-14.0,27.8,13.6,24.0,-14.0,6.0,-2.0,-26.0,-3.7,,-19.5,6.0,9.7,,-0.5,49.9,,56.3,,137.6,63.0,42.5,-4.2,-16.0,-1.2,69.0,8.9,-14.9,12.9,-2.1,19.0,,,-4.8,-2.0,4.0,57.7,-10.0,65.6,,-1.1,-11.0,30.4,-14.0,,0.2,16.0,True,False,True,False,True,True,True,False,True,,False,True,True,,True,False,,False,,False,False,False,True,True,True,False,True,True,True,True,False,,,True,True,True,False,True,False,,True,True,False,True,,True,True
Arizona,15967,16522.0,16504.5,16759.0,17017.0,16670.0,16810.3,16422.0,15822.0,16621.0,16546.1,,17187.3,17080.0,17682.5,,15683.3,15942.0,,16534.1,17983.0,15305.3,16609.0,15515.4,15723.9,14965.0,15842.2,17245.0,16176.6,16438.5,16943.9,15886.9,17478.5,,17591.8,16420.6,16361.0,15942.0,16223.5,15144.0,15672.6,,16413.8,15641.0,16908.9,16212.0,,14482.7,16447.0,555.0,537.5,792.0,1050.0,703.0,843.3,455.0,-145.0,654.0,579.1,,1220.3,1113.0,1715.5,,-283.7,-25.0,,567.1,2016.0,-661.7,642.0,-451.6,-243.1,-1002.0,-124.8,1278.0,209.6,471.5,976.9,-80.1,1511.5,,1624.8,453.6,394.0,-25.0,256.5,-823.0,-294.4,,446.8,-326.0,941.9,245.0,,-1484.3,480.0,True,False,False,False,False,True,True,False,False,,False,False,False,,True,True,,False,False,False,False,True,True,False,True,False,True,True,False,True,False,,False,True,True,True,True,False,True,,True,True,False,True,,False,True
Arkansas,5417,5878.6,6257.0,5789.3,5946.0,5861.0,5938.1,5696.0,5590.0,5367.0,5811.9,,5608.6,5718.0,6010.0,,5491.2,5590.4,,5794.5,6133.0,5522.1,5859.0,5658.2,5621.1,5620.0,5676.7,5784.0,6221.4,5734.2,5865.8,5603.1,5696.0,,6080.5,5681.6,5841.0,5761.0,6232.2,5442.0,5966.7,,5768.4,5489.0,5951.8,5639.0,,5421.7,5643.0,461.6,840.0,372.3,529.0,444.0,521.1,279.0,173.0,-50.0,394.9,,191.6,301.0,593.0,,74.2,173.4,,377.5,716.0,105.1,442.0,241.2,204.1,203.0,259.7,367.0,804.4,317.2,448.8,186.1,279.0,,663.5,264.6,424.0,344.0,815.2,25.0,549.7,,351.4,72.0,534.8,222.0,,4.7,226.0,False,True,False,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,True,True,True,True,True,True,False,True,True,True,True,,False,True,True,True,False,True,False,,True,True,False,True,,True,True
California,51953,55612.1,55486.0,54782.3,56850.1,53742.0,56127.4,51950.0,51078.0,48432.0,51938.7,,51661.3,51370.0,59040.2,,50844.8,50484.9,,50723.8,58325.0,41618.4,52648.0,50109.5,49726.5,50865.5,52520.4,55391.0,54840.1,54129.4,54263.3,53401.1,64112.0,,54217.1,53115.6,50169.0,51439.0,55221.6,49481.0,52112.4,,54270.3,49278.0,57120.0,50479.0,,45715.5,51787.0,3659.1,3533.0,2829.3,4897.1,1789.0,4174.4,-3.0,-875.0,-3521.0,-14.3,,-291.7,-583.0,7087.2,,-1108.2,-1468.1,,-1229.2,6372.0,-10334.6,695.0,-1843.5,-2226.5,-1087.5,567.4,3438.0,2887.1,2176.4,2310.3,1448.1,12159.0,,2264.1,1162.6,-1784.0,-514.0,3268.6,-2472.0,159.4,,2317.3,-2675.0,5167.0,-1474.0,,-6237.5,-166.0,True,True,False,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,True,,True,True,False,True,,False,True
Colorado,5945,6160.7,6045.3,5875.5,6160.7,6165.0,6172.4,6077.0,6051.0,6134.0,6138.9,,5957.3,6249.0,5988.5,,6070.0,6287.2,,6029.2,6428.0,8612.6,6365.0,6396.6,6070.8,5945.0,6068.9,6181.0,5926.8,6064.0,6128.3,6050.9,6028.0,,6037.2,5979.9,6200.0,6019.0,5955.5,6073.0,6363.8,,6112.1,6058.0,6600.6,6000.0,,6138.9,6187.0,215.7,100.3,-69.5,215.7,220.0,227.4,132.0,106.0,189.0,193.9,,12.3,304.0,43.5,,125.0,342.2,,84.2,483.0,2667.6,420.0,451.6,125.8,0.0,123.9,236.0,-18.2,119.0,183.3,105.9,83.0,,92.2,34.9,255.0,74.0,10.5,128.0,418.8,,167.1,113.0,655.6,55.0,,193.9,242.0,True,True,True,False,False,True,True,True,True,,True,False,True,,True,False,,True,False,False,False,False,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,True,False,,True,True,False,True,,True,False
Connecticut,7622,7921.6,7966.2,7869.4,7890.5,7898.0,7953.6,7891.0,7817.0,7979.0,7876.3,,7928.1,8000.0,7679.6,,7778.6,8116.8,,8054.5,8003.0,8491.5,8063.0,7946.6,7868.1,7794.0,7730.4,7891.0,7681.0,8171.9,8041.6,7736.4,7509.0,,7720.9,7654.7,8168.0,7781.0,7432.9,7268.0,7681.3,,8194.5,7652.0,7984.8,7724.0,,7342.0,8149.0,299.6,344.2,247.4,268.5,276.0,331.6,269.0,195.0,357.0,254.3,,306.1,378.0,57.6,,156.6,494.8,,432.5,381.0,869.5,441.0,324.6,246.1,172.0,108.4,269.0,59.0,549.9,419.6,114.4,-113.0,,98.9,32.7,546.0,159.0,-189.1,-354.0,59.3,,572.5,30.0,362.8,102.0,,-280.0,527.0,False,True,True,True,False,True,True,False,True,,False,False,True,,True,False,,False,False,False,False,False,True,True,True,True,True,False,False,True,True,,True,True,False,True,True,False,True,,False,True,False,True,,True,False
Delaware,1418,1279.0,1307.9,1222.6,1243.2,1259.0,1261.0,1217.0,1196.0,1197.0,1242.1,,1211.5,1194.0,1195.7,,1215.8,1215.5,,1194.9,1235.0,1335.0,1248.0,1323.6,1181.1,1185.0,1211.7,1285.0,1088.6,1214.8,1257.9,1202.2,1238.0,,,1209.8,1227.0,1289.0,1246.2,1229.0,1278.7,,1268.0,1217.0,1199.3,1199.0,,1169.2,1217.0,76.0,104.9,19.6,40.2,56.0,58.0,14.0,-7.0,-6.0,39.1,,8.5,-9.0,-7.3,,12.8,12.5,,-8.1,32.0,132.0,45.0,120.6,-21.9,-18.0,8.7,82.0,-114.4,11.8,54.9,-0.8,35.0,,,6.8,24.0,86.0,43.2,26.0,75.7,,65.0,14.0,-3.7,-4.0,,-33.8,14.0,False,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,False,True,True,True,False,False,True,True,True,True,,,True,True,False,True,True,True,,True,True,True,True,,True,True
District of Columbia,1010,1071.1,1039.5,1031.7,1057.7,1031.0,1065.0,1026.0,1015.0,1044.0,1024.6,,1014.5,1050.0,1001.1,,1018.4,1046.6,,958.9,1049.0,1295.4,1037.0,999.2,1015.6,1049.0,1012.5,1011.0,,,,1009.3,1080.0,,,1033.0,1060.0,1016.0,956.7,1018.0,1043.4,,,1009.0,,1022.0,,948.6,1019.0,61.1,29.5,21.7,47.7,21.0,55.0,16.0,5.0,34.0,14.6,,4.5,40.0,-8.9,,8.4,36.6,,-51.1,39.0,285.4,27.0,-10.8,5.6,39.0,2.5,1.0,,,,-0.7,70.0,,,23.0,50.0,6.0,-53.3,8.0,33.4,,,-1.0,,12.0,,-61.4,9.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,True,True,True,True,True,,,,True,False,,,True,True,True,True,True,True,,,True,,True,,False,True
Florida,30734,31053.6,32413.9,31168.5,30955.6,31021.0,31143.6,30338.0,30097.0,30218.0,30577.2,,29731.8,29499.0,32235.0,,29921.3,30260.4,,30523.7,31695.0,28385.8,31772.0,33032.9,29782.2,30395.5,30961.3,31350.0,31637.1,30223.3,31332.5,30622.6,31099.5,,32840.6,30437.7,30662.0,30314.0,33052.8,29688.0,29976.3,,30262.8,30512.0,29652.4,30101.0,,28467.3,30338.0,319.6,1679.9,434.5,221.6,287.0,409.6,-396.0,-637.0,-516.0,-156.8,,-1002.2,-1235.0,1501.0,,-812.7,-473.6,,-210.3,961.0,-2348.2,1038.0,2298.9,-951.8,-338.5,227.3,616.0,903.1,-510.7,598.5,-111.4,365.5,,2106.6,-296.3,-72.0,-420.0,2318.8,-1046.0,-757.7,,-471.2,-222.0,-1081.6,-633.0,,-2266.7,-396.0,False,False,True,True,False,False,False,False,True,,False,False,False,,False,False,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,,False,True,True,False,False,False,False,,False,True,False,False,,False,False
