,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,9930,4768.9,3616.1,3617.0,,-5161.1,-6313.9,-6313.0,,False,False,
Alaska,290,99.7,452.3,,,-190.3,162.3,,,True,,
Arizona,15967,6811.4,8480.3,6747.0,,-9155.6,-7486.7,-9220.0,,True,False,
Arkansas,5417,4428.4,3869.4,4050.0,,-988.6,-1547.6,-1367.0,,False,False,
California,51953,25157.3,26358.4,20894.0,,-26795.7,-25594.6,-31059.0,,True,False,
Colorado,5945,3006.6,3129.6,2487.5,,-2938.4,-2815.4,-3457.5,,True,False,
Connecticut,7622,4867.6,4930.3,4706.0,,-2754.4,-2691.7,-2916.0,,True,False,
Delaware,1418,832.7,855.0,792.0,,-564.3,-542.0,-605.0,,True,False,
District of Columbia,1010,756.1,737.5,675.0,,-253.9,-272.5,-335.0,,False,False,
Florida,30734,29125.0,24779.1,21692.0,,-1609.0,-5954.9,-9042.0,,False,False,
Georgia,17294,12459.7,10472.4,9934.0,,-4834.3,-6821.6,-7360.0,,False,False,
Hawaii,438,427.1,389.4,,,-10.9,-48.6,,,False,,
Idaho,1860,1003.4,1281.6,864.0,,-856.6,-578.4,-996.0,,True,False,
Illinois,22710,13002.9,13408.4,11825.0,,-9707.1,-9301.6,-10885.0,,True,False,
Indiana,12556,6072.6,6817.9,5205.0,,-6420.4,-5675.1,-7288.0,,True,False,
Iowa,5470,2951.3,3019.9,2410.5,,-2518.7,-2450.1,-3059.5,,True,False,
Kansas,4692,2442.0,1780.3,1746.0,,-2250.0,-2911.7,-2946.0,,False,False,
Kentucky,4625,2105.9,3131.8,2269.0,,-2519.1,-1493.2,-2356.0,,True,True,
Louisiana,9587,7203.9,7169.0,7007.0,,-2383.1,-2418.0,-2580.0,,False,False,
Maine,702,162.9,173.4,215.0,,-539.1,-528.6,-487.0,,True,True,
Maryland,7856,4813.1,4712.5,4362.0,74144.0,-3042.9,-3143.5,-3494.0,66288.0,False,False,False
Massachusetts,16067,11470.6,14770.7,10614.0,,-4596.4,-1296.3,-5453.0,,True,False,
Michigan,16508,9105.4,9615.9,8430.0,,-7402.6,-6892.1,-8078.0,,True,False,
Minnesota,6543,3405.3,4039.0,3654.0,,-3137.7,-2504.0,-2889.0,,True,True,
Mississippi,6669,4848.4,4310.0,5096.0,,-1820.6,-2359.0,-1573.0,,False,True,
Missouri,8282,7150.0,5261.8,4180.0,,-1119.0,-3007.2,-4089.0,,False,False,
Montana,1356,666.7,2518.7,617.0,,-689.3,1162.7,-739.0,,False,False,
Nebraska,2082,876.4,1210.1,1011.0,,-1205.6,-871.9,-1071.0,,True,True,
Nevada,4957,2415.6,3487.1,2017.0,,-2541.4,-1469.9,-2940.0,,True,False,
New Hampshire,1170,714.1,595.3,541.0,,-455.9,-574.7,-629.0,,False,False,
New Jersey,23238,16928.6,18974.1,16598.5,,-6309.4,-4263.9,-6639.5,,True,False,
New Mexico,3700,1288.3,3515.8,1239.0,,-2411.7,-184.2,-2461.0,,True,False,
New York,47498,35061.3,37218.1,34095.0,,-12261.7,-10104.9,-13228.0,,True,False,
North Carolina,11212,6470.6,7608.5,7045.0,,-4741.4,-3603.5,-4167.0,,True,True,
North Dakota,1475,1588.0,1419.4,1112.0,,113.0,-55.6,-363.0,,True,False,
Ohio,18179,6468.4,8796.5,7435.0,,-12078.6,-9750.5,-11112.0,,True,True,
Oklahoma,4379,2031.3,2476.9,2380.0,,-2347.7,-1902.1,-1999.0,,True,True,
Oregon,2208,1135.1,1255.1,905.0,,-1072.9,-952.9,-1303.0,,True,False,
Pennsylvania,23895,11010.7,11882.2,10226.0,,-12884.3,-12012.8,-13669.0,,True,False,
Rhode Island,2502,1368.3,1541.8,1282.0,,-1109.7,-936.2,-1196.0,,True,False,
South Carolina,8498,5517.9,5005.4,5341.0,,-2980.1,-3492.6,-3157.0,,False,False,
South Dakota,1886,1040.6,1144.6,780.0,,-845.4,-741.4,-1106.0,,True,False,
Tennessee,11393,6539.9,6508.5,6117.0,,-4853.1,-4884.5,-5276.0,,False,False,
Texas,43519,29898.0,29731.8,26366.0,18956.0,-13353.0,-13519.2,-16885.0,-24295.0,False,False,False
Utah,1929,1291.4,1688.8,1070.0,,-637.6,-240.2,-859.0,,True,False,
Vermont,204,58.0,103.1,59.0,,-146.0,-100.9,-145.0,,True,True,
Virginia,8382,5042.9,5419.0,4405.0,,-3336.1,-2960.0,-3974.0,,True,False,
Washington,4956,3143.1,3098.0,2721.0,,-1831.9,-1877.0,-2254.0,,False,False,
West Virginia,2297,802.0,789.1,856.0,,-1495.0,-1507.9,-1441.0,,False,True,
Wisconsin,7014,3212.4,4032.8,3022.0,,-3670.6,-2850.2,-3861.0,,True,False,
Wyoming,671,73.9,391.7,114.0,,-597.1,-279.3,-557.0,,True,True,
US,512938,314987.0,340585.6,294196.0,300048.0,-197638.0,-172039.4,-218429.0,-212577.0,True,False,False
