,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,9930,5684.6,4902.0,-4245.4,-5028.0,False
Alaska,290,306.0,,16.0,,
Arizona,15967,8352.3,7885.0,-7614.7,-8082.0,False
Arkansas,5417,3639.0,4345.0,-1778.0,-1072.0,True
California,51953,22555.7,21404.0,-29394.3,-30546.0,False
Colorado,5945,4804.3,4534.0,-1140.7,-1411.0,False
Connecticut,7622,5717.6,5481.0,-1904.4,-2141.0,False
Delaware,1418,1003.4,952.0,-381.6,-433.0,False
District of Columbia,1010,749.1,693.0,-260.9,-317.0,False
Florida,30734,23416.3,21577.0,-7317.7,-9157.0,False
Georgia,17294,13547.9,12122.0,-3746.1,-5172.0,False
Hawaii,438,236.9,,-201.1,,
Idaho,1860,1843.6,1966.0,-16.4,106.0,False
Illinois,22710,20432.9,19664.0,-2277.1,-3046.0,False
Indiana,12556,9084.9,9847.0,-3121.1,-2359.0,True
Iowa,5470,4128.4,4391.0,-1341.6,-1079.0,True
Kansas,4692,2446.9,2608.0,-2173.1,-2012.0,True
Kentucky,4625,3087.3,2959.5,-1537.7,-1665.5,False
Louisiana,9587,7383.9,7314.0,-2192.1,-2262.0,False
Maine,702,358.1,295.0,-343.9,-407.0,False
Maryland,7856,5639.1,5119.0,-2216.9,-2737.0,False
Massachusetts,16067,13003.3,13510.0,-3063.7,-2557.0,True
Michigan,16508,14779.4,14605.0,-1728.6,-1903.0,False
Minnesota,6543,6690.1,8084.0,147.1,1541.0,False
Mississippi,6669,5028.7,5275.0,-1640.3,-1394.0,True
Missouri,8282,6685.3,6510.0,-1574.7,-1750.0,False
Montana,1356,1470.9,1915.0,114.9,559.0,False
Nebraska,2082,1908.1,2275.0,-173.9,193.0,False
Nevada,4957,2770.7,2605.0,-2186.3,-2352.0,False
New Hampshire,1170,647.6,795.0,-522.4,-375.0,True
New Jersey,23238,18601.4,18004.0,-4636.6,-5234.0,False
New Mexico,3700,2656.1,2704.0,-1043.9,-996.0,True
New York,47498,35948.6,36300.0,-11549.4,-11198.0,True
North Carolina,11212,7762.6,7328.0,-3449.4,-3884.0,False
North Dakota,1475,2177.1,2725.0,702.1,1250.0,False
Ohio,18179,8767.7,10433.0,-8927.3,-7262.0,True
Oklahoma,4379,2865.1,3340.0,-1513.9,-1039.0,True
Oregon,2208,1221.6,1314.0,-986.4,-894.0,True
Pennsylvania,23895,13524.3,13048.0,-10370.7,-10847.0,False
Rhode Island,2502,1699.7,1678.0,-765.3,-787.0,False
South Carolina,8498,5241.1,5095.5,-3256.9,-3402.5,False
South Dakota,1886,2248.6,2436.0,362.6,550.0,False
Tennessee,11393,8320.4,8810.0,-3072.6,-2583.0,True
Texas,43519,32103.6,30013.0,-11037.4,-13128.0,False
Utah,1929,1594.6,2075.0,-334.4,146.0,True
Vermont,204,59.0,75.0,-145.0,-129.0,True
Virginia,8382,5181.7,5110.0,-3200.3,-3272.0,False
Washington,4956,3707.6,3548.0,-1262.4,-1422.0,False
West Virginia,2297,1740.9,1856.0,-556.1,-441.0,True
Wisconsin,7014,5440.1,6277.0,-1573.9,-737.0,True
Wyoming,671,589.7,574.0,-81.3,-97.0,False
US,512938,360904.1,360903.0,-150655.9,-150657.0,False
