location,actual_deaths,Baseline,error-Baseline
Alabama,9930,3899.9,-6030.1
Alaska,290,296.4,6.4
Arizona,15967,8814.1,-7152.9
Arkansas,5417,4083.9,-1333.1
California,51953,28501.7,-23451.3
Colorado,5945,2631.1,-3313.9
Connecticut,7622,4697.7,-2924.3
Delaware,1418,895.3,-509.7
District of Columbia,1010,711.4,-298.6
Florida,30734,30118.9,-615.1
Georgia,17294,14464.9,-2829.1
Hawaii,438,394.3,-43.7
Idaho,1860,831.6,-1028.4
Illinois,22710,12320.3,-10389.7
Indiana,12556,5197.4,-7345.6
Iowa,5470,2430.7,-3039.3
Kansas,4692,1509.3,-3182.7
Kentucky,4625,2162.4,-2462.6
Louisiana,9587,7585.1,-2001.9
Maine,702,161.9,-540.1
Maryland,7856,5159.0,-2697.0
Massachusetts,16067,11458.6,-4608.4
Michigan,16508,8683.3,-7824.7
Minnesota,6543,2999.9,-3543.1
Mississippi,6669,5301.4,-1367.6
Missouri,8282,7014.6,-1238.4
Montana,1356,522.7,-833.3
Nebraska,2082,1082.0,-1000.0
Nevada,4957,2765.3,-2191.7
New Hampshire,1170,460.9,-709.1
New Jersey,23238,16958.4,-6279.6
New Mexico,3700,1329.0,-2371.0
New York,47498,34092.7,-13243.3
North Carolina,11212,7768.7,-3443.3
North Dakota,1475,1083.4,-391.6
Ohio,18179,7495.0,-11060.0
Oklahoma,4379,2317.4,-2061.6
Oregon,2208,914.6,-1293.4
Pennsylvania,23895,10840.0,-13055.0
Rhode Island,2502,1522.3,-965.7
South Carolina,8498,6101.9,-2396.1
South Dakota,1886,567.7,-1318.3
Tennessee,11393,5852.3,-5540.7
Texas,43519,30105.1,-13129.9
Utah,1929,737.1,-1191.9
Vermont,204,58.0,-146.0
Virginia,8382,6304.4,-2075.6
Washington,4956,3477.0,-1498.0
West Virginia,2297,885.4,-1411.6
Wisconsin,7014,2133.4,-4791.6
Wyoming,671,71.9,-599.1
US,512938,319440.4,-193283.6
