,total_deaths_2021-01-03,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Baseline,357963,496638.6,512938,145058.6,154975,-9916.4,-6.4%
COVIDhub-baseline,357963,496346.6,512938,144766.6,154975,-10208.4,-6.6%
IBF-TimeSeries,357963,517882.0,512938,166302.0,154975,11327.0,7.3%
Covid19Sim-Simulator,357963,523123.4,512938,171543.4,154975,16568.4,10.7%
Columbia_UNC-SurvCon,357963,476532.0,512938,124952.0,154975,-30023.0,-19.4%
IowaStateLW-STEM,357963,472567.0,512938,120987.0,154975,-33988.0,-21.9%
AIpert-pwllnod,357963,460236.2,512938,108656.2,154975,-46318.8,-29.9%
JHUAPL-Bucky,357963,439329.7,512938,87749.7,154975,-67225.3,-43.4%
UCLA-SuEIR,357963,430011.9,512938,78431.9,154975,-76543.1,-49.4%
WalmartLabsML-LogForecasting,357963,402168.9,512938,50588.9,154975,-104386.1,-67.4%
MITCovAlliance-SIR,357963,,512938,,154975,,
