,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,9930,4844.1,5963.0,4558.0,-5085.9,-3967.0,-5372.0,True,False
Alaska,290,99.9,482.1,,-190.1,192.1,,False,
Arizona,15967,9097.6,8866.9,7603.0,-6869.4,-7100.1,-8364.0,False,False
Arkansas,5417,4098.9,4951.2,4392.0,-1318.1,-465.8,-1025.0,True,True
California,51953,22761.9,27662.4,21861.0,-29187.1,-24286.6,-30088.0,True,False
Colorado,5945,4074.9,6394.0,3768.0,-1870.1,449.0,-2177.0,True,False
Connecticut,7622,5543.1,7862.5,5372.0,-2078.9,240.5,-2250.0,True,False
Delaware,1418,844.9,1293.1,923.0,-538.1,-89.9,-460.0,True,True
District of Columbia,1010,780.9,741.2,686.0,-229.1,-268.8,-324.0,False,False
Florida,30734,22385.6,33025.3,22175.0,-8348.4,2291.3,-8559.0,True,False
Georgia,17294,11571.6,12356.9,10990.0,-5268.4,-4483.1,-5850.0,True,False
Hawaii,438,252.7,458.9,,-185.3,20.9,,True,
Idaho,1860,1574.0,2083.4,1575.0,-286.0,223.4,-285.0,True,True
Illinois,22710,17879.9,31153.0,15156.0,-4830.1,8443.0,-7554.0,False,False
Indiana,12556,8831.1,12864.1,8028.0,-3465.9,567.1,-4269.0,True,False
Iowa,5470,3621.0,7055.4,3737.0,-1849.0,1585.4,-1733.0,True,True
Kansas,4692,2272.4,4569.2,2543.0,-2352.6,-55.8,-2082.0,True,True
Kentucky,4625,2770.1,3676.3,2869.0,-1854.9,-948.7,-1756.0,True,True
Louisiana,9587,7780.3,7944.4,7096.0,-1806.7,-1642.6,-2491.0,True,False
Maine,702,231.3,360.1,294.5,-470.7,-341.9,-407.5,True,True
Maryland,7856,5163.4,6176.6,4999.0,-2692.6,-1679.4,-2857.0,True,False
Massachusetts,16067,12305.6,16357.9,11957.0,-3761.4,290.9,-4110.0,True,False
Michigan,16508,11845.9,23973.1,11664.0,-4662.1,7465.1,-4844.0,False,False
Minnesota,6543,5580.1,9288.0,6901.0,-962.9,2745.0,358.0,False,True
Mississippi,6669,4949.4,4392.7,4571.0,-1719.6,-2276.3,-2098.0,False,False
Missouri,8282,5178.9,9816.1,6001.0,-3083.1,1554.1,-2261.0,True,True
Montana,1356,1724.6,2457.9,1896.0,368.6,1101.9,540.0,False,False
Nebraska,2082,1480.0,2992.4,1639.0,-602.0,910.4,-443.0,False,True
Nevada,4957,2961.0,3022.2,2444.0,-1996.0,-1934.8,-2513.0,True,False
New Hampshire,1170,584.1,945.8,743.0,-585.9,-224.2,-427.0,True,True
New Jersey,23238,17618.3,19063.3,17870.0,-5619.7,-4174.7,-5368.0,True,True
New Mexico,3700,2576.9,3042.0,2239.0,-1123.1,-658.0,-1461.0,True,False
New York,47498,36297.4,55765.0,35970.0,-11200.6,8267.0,-11528.0,True,False
North Carolina,11212,8159.0,8474.6,7796.0,-3053.0,-2737.4,-3416.0,True,False
North Dakota,1475,2351.6,2494.9,2251.0,876.6,1019.9,776.0,False,True
Ohio,18179,8910.4,10100.3,9289.0,-9073.6,-7883.7,-8695.0,True,True
Oklahoma,4379,2912.7,2932.3,3460.0,-1466.3,-1446.7,-919.0,True,True
Oregon,2208,1348.4,1919.2,1281.0,-859.6,-288.8,-927.0,True,False
Pennsylvania,23895,12208.1,15828.7,12214.0,-11686.9,-8066.3,-11681.0,True,True
Rhode Island,2502,1588.7,2982.3,1639.0,-890.3,503.3,-840.0,True,True
South Carolina,8498,5621.7,6746.2,5617.0,-2876.3,-1751.8,-2881.0,True,False
South Dakota,1886,2105.9,2143.5,1912.0,219.9,257.5,26.0,False,True
Tennessee,11393,7432.4,8597.7,6820.0,-3960.6,-2795.3,-4573.0,True,False
Texas,43519,29998.6,33113.5,29072.0,-13169.4,-10054.5,-14096.0,True,False
Utah,1929,1372.6,2631.9,1692.0,-556.4,702.9,-237.0,False,True
Vermont,204,74.9,62.7,74.0,-129.1,-141.3,-130.0,False,False
Virginia,8382,4531.6,5941.5,5007.0,-3850.4,-2440.5,-3375.0,True,True
Washington,4956,3596.6,7110.9,3422.0,-1376.4,2137.9,-1551.0,False,False
West Virginia,2297,1201.7,1329.3,1471.0,-1095.3,-967.7,-826.0,True,True
Wisconsin,7014,6514.1,9581.4,6532.0,-241.9,2825.4,-224.0,False,True
Wyoming,671,542.1,905.4,516.0,-128.9,234.4,-155.0,False,False
US,512938,341849.4,576649.4,330538.0,-169438.6,65361.4,-180750.0,True,False
