,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,9930,6303.0,9347.4,6368.1,5988.0,7804.8,,7423.0,6670.6,6197.6,5998.6,5676.9,-3627.0,-582.6,-3561.9,-3942.0,-2125.2,,-2507.0,-3259.4,-3732.4,-3931.4,-4253.1,True,True,False,True,,True,True,False,False,False
Alaska,290,332.9,276.6,334.8,235.0,345.8,,,267.5,292.3,387.3,267.0,42.9,-13.4,44.8,-55.0,55.8,,,-22.5,2.3,97.3,-23.0,True,False,False,False,,,True,True,False,True
Arizona,15967,14042.4,16782.2,14155.2,11704.0,14463.2,,13209.0,11831.6,12634.4,12569.4,10357.5,-1924.6,815.2,-1811.8,-4263.0,-1503.8,,-2758.0,-4135.4,-3332.6,-3397.6,-5609.5,True,True,False,True,,False,False,False,False,False
Arkansas,5417,5846.9,6478.0,6032.4,5803.0,6550.7,,5975.0,5740.9,4873.5,6141.9,4501.4,429.9,1061.0,615.4,386.0,1133.7,,558.0,323.9,-543.5,724.9,-915.6,False,False,True,False,,False,True,False,False,False
California,51953,45149.4,70075.0,45133.0,37020.0,58361.0,,43794.0,35009.7,32397.1,41189.4,30420.0,-6803.6,18122.0,-6820.0,-14933.0,6408.0,,-8159.0,-16943.3,-19555.9,-10763.6,-21533.0,False,False,False,True,,False,False,False,False,False
Colorado,5945,7479.7,6999.4,7469.9,5945.0,7205.1,,6958.0,5937.1,7743.8,7158.8,5860.2,1534.7,1054.4,1524.9,0.0,1260.1,,1013.0,-7.9,1798.8,1213.8,-84.8,True,True,True,True,,True,True,False,True,True
Connecticut,7622,8519.0,7285.6,8561.9,6531.0,7636.9,,7686.0,7746.2,7206.8,7839.9,6445.5,897.0,-336.4,939.9,-1091.0,14.9,,64.0,124.2,-415.2,217.9,-1176.5,True,False,False,True,,True,True,True,True,False
Delaware,1418,1189.3,1446.4,1211.7,1005.0,1273.8,,1344.0,1058.0,1046.1,1034.9,1035.4,-78.7,178.4,-56.3,-263.0,5.8,,76.0,-210.0,-221.9,-233.1,-232.6,False,True,False,True,,True,False,False,False,False
District of Columbia,1010,998.3,959.7,1032.0,940.0,1010.3,,1010.0,983.9,1105.6,885.7,844.7,-11.7,-50.3,22.0,-70.0,0.3,,0.0,-26.1,95.6,-124.3,-165.3,False,False,False,True,,True,False,False,False,False
Florida,30734,28076.3,27019.0,27929.8,26394.0,29713.7,,26279.0,26307.0,28607.5,27166.4,24492.5,-2657.7,-3715.0,-2804.2,-4340.0,-1020.3,,-4455.0,-4427.0,-2126.5,-3567.6,-6241.5,False,False,False,True,,False,False,True,False,False
Georgia,17294,13124.7,12838.0,13163.3,15060.0,14465.2,,13799.0,14815.8,13186.9,13478.1,11816.6,-4169.3,-4456.0,-4130.7,-2234.0,-2828.8,,-3495.0,-2478.2,-4107.1,-3815.9,-5477.4,False,True,True,True,,True,True,True,True,False
Hawaii,438,320.4,328.3,327.4,300.0,453.2,,,307.4,342.5,334.4,320.2,-117.6,-109.7,-110.6,-138.0,15.2,,,-130.6,-95.5,-103.6,-117.8,True,True,False,True,,,False,True,True,False
Idaho,1860,2186.6,1865.4,2199.5,1578.0,2129.8,,2111.0,1685.2,1916.5,2167.7,1758.6,326.6,5.4,339.5,-282.0,269.8,,251.0,-174.8,56.5,307.7,-101.4,True,False,True,True,,True,True,True,True,True
Illinois,22710,26069.1,31257.6,26130.2,22280.0,23992.5,,23577.0,21146.3,21823.7,23602.5,21241.2,3359.1,8547.6,3420.2,-430.0,1282.5,,867.0,-1563.7,-886.3,892.5,-1468.8,False,False,True,True,,True,True,True,True,True
Indiana,12556,13440.7,14629.3,13281.4,10039.0,12129.9,,11966.0,10128.0,10854.8,12699.4,9707.4,2034.7,3223.3,1875.4,-1367.0,723.9,,560.0,-1278.0,-551.2,1293.4,-1698.6,False,True,True,True,,True,True,True,True,True
Iowa,5470,5533.1,4879.7,5572.1,7673.0,6356.4,,5443.0,4827.6,4835.5,5283.4,4848.7,63.1,-590.3,102.1,2203.0,886.4,,-27.0,-642.4,-634.5,-186.6,-621.3,False,False,False,False,,True,False,False,False,False
Kansas,4692,5771.3,6585.4,5824.4,4411.0,4689.3,,4279.0,5113.6,3761.9,4807.6,3571.5,1079.3,1893.4,1132.4,-281.0,-2.7,,-413.0,421.6,-930.1,115.6,-1120.5,False,False,True,True,,True,True,True,True,False
Kentucky,4625,4043.0,4248.7,4009.6,3157.0,3678.4,,3910.0,4094.8,3365.8,4188.0,3232.6,-582.0,-376.3,-615.4,-1468.0,-946.6,,-715.0,-530.2,-1259.2,-437.0,-1392.4,True,False,False,False,,False,True,False,True,False
Louisiana,9587,9469.9,8432.7,9216.9,8911.0,9814.0,,9590.0,9274.2,8789.7,9126.5,8286.8,-117.1,-1154.3,-370.1,-676.0,227.0,,3.0,-312.8,-797.3,-460.5,-1300.2,False,False,False,False,,True,False,False,False,False
Maine,702,641.9,571.4,670.0,693.0,996.1,,720.0,604.4,586.9,579.9,433.9,-60.1,-130.6,-32.0,-9.0,294.1,,18.0,-97.6,-115.1,-122.1,-268.1,False,True,True,False,,True,False,False,False,False
Maryland,7856,8209.7,7895.9,8264.3,7376.0,8707.4,,7880.0,7753.6,8042.7,7693.3,6690.4,353.7,39.9,408.3,-480.0,851.4,,24.0,-102.4,186.7,-162.7,-1165.6,True,False,False,False,,True,True,True,True,False
Massachusetts,16067,16538.6,18455.4,16437.0,14070.0,16270.1,,16267.0,15104.7,17269.5,15626.6,13486.1,471.6,2388.4,370.0,-1997.0,203.1,,200.0,-962.3,1202.5,-440.4,-2580.9,False,True,False,True,,True,False,False,True,False
