location,actual_deaths,Baseline,error-Baseline
Alabama,9930,4402.7,-5527.3
Alaska,290,67.9,-222.1
Arizona,15967,9019.9,-6947.1
Arkansas,5417,5752.4,335.4
California,51953,29598.9,-22354.1
Colorado,5945,2608.3,-3336.7
Connecticut,7622,4766.3,-2855.7
Delaware,1418,758.1,-645.9
District of Columbia,1010,711.4,-298.6
Florida,30734,29021.7,-1712.3
Georgia,17294,12750.6,-4543.4
Hawaii,438,600.0,162.0
Idaho,1860,1083.0,-777.0
Illinois,22710,12000.3,-10709.7
Indiana,12556,5060.3,-7513.7
Iowa,5470,2293.6,-3176.4
Kansas,4692,2126.4,-2564.6
Kentucky,4625,2276.7,-2348.3
Louisiana,9587,8408.0,-1179.0
Maine,702,207.6,-494.4
Maryland,7856,4816.1,-3039.9
Massachusetts,16067,11595.7,-4471.3
Michigan,16508,8294.7,-8213.3
Minnesota,6543,3068.4,-3474.6
Mississippi,6669,5392.9,-1276.1
Missouri,8282,3997.4,-4255.6
Montana,1356,659.9,-696.1
Nebraska,2082,624.9,-1457.1
Nevada,4957,3336.7,-1620.3
New Hampshire,1170,483.7,-686.3
New Jersey,23238,16889.9,-6348.1
New Mexico,3700,1443.3,-2256.7
New York,47498,34549.9,-12948.1
North Carolina,11212,7608.7,-3603.3
North Dakota,1475,740.6,-734.4
Ohio,18179,9186.4,-9368.6
Oklahoma,4379,1883.1,-2495.9
Oregon,2208,914.6,-1293.4
Pennsylvania,23895,10954.3,-12940.7
Rhode Island,2502,1476.6,-998.4
South Carolina,8498,6284.7,-2213.3
South Dakota,1886,613.4,-1272.6
Tennessee,11393,5418.0,-5975.0
Texas,43519,30699.4,-12541.6
Utah,1929,600.0,-1329.0
Vermont,204,58.0,-146.0
Virginia,8382,9618.7,1238.7
Washington,4956,3088.4,-1870.6
West Virginia,2297,1388.3,-908.7
Wisconsin,7014,1973.4,-4975.6
Wyoming,671,209.0,-462.0
US,512938,323806.1,-189109.9
