,count,mean,median,std,min,25%,75%,max
COVIDhub-trained_ensemble,51,186.9,100.0,252.0,2.0,30.0,204.5,1213.0
RobertWalraven-ESG,51,189.6,80.6,251.1,1.2,29.6,270.1,1162.6
UMass-MechBayes,51,207.3,72.0,409.0,1.0,27.0,246.0,2675.0
COVIDhub-ensemble,51,213.5,144.0,274.1,1.0,43.5,281.5,1403.0
SteveMcConnell-CovidComplete,51,223.4,116.0,303.1,1.0,45.5,291.5,1479.0
GT-DeepCOVID,48,228.0,139.9,246.4,0.5,57.5,299.3,1108.2
Google_Harvard-CPF,51,230.5,111.4,294.7,1.8,46.4,321.2,1468.1
USC-SI_kJalpha,51,230.5,95.0,342.7,3.0,31.5,295.5,1474.0
LNQ-ens1,51,256.8,110.2,373.4,1.2,40.7,323.6,2091.5
Karlen-pypm,51,263.3,99.5,413.4,0.9,27.2,290.9,2226.5
OliverWyman-Navigator,51,267.1,105.0,427.6,0.7,28.9,277.9,2017.8
LANL-GrowthRate,51,276.6,135.0,336.5,0.0,35.5,441.5,1503.5
Caltech-CS156,51,277.6,201.9,319.8,3.7,85.8,345.2,1414.8
Covid19Sim-Simulator,51,291.6,171.4,361.6,4.5,43.0,336.7,1544.3
MOBS-GLEAM_COVID,50,304.1,155.4,416.1,11.2,74.4,351.2,2176.4
epiforecasts-ensemble1,51,304.9,166.0,407.1,9.0,79.0,388.5,2199.0
IHME-CurveFit,51,310.9,112.4,384.0,1.7,42.7,410.5,1486.4
UA-EpiCovDA,51,315.2,105.0,442.7,8.0,32.0,467.5,2472.0
UCLA-SuEIR,51,317.3,166.8,376.7,2.6,66.2,410.5,1631.8
UCSD_NEU-DeepGLEAM,50,335.0,211.6,419.7,1.1,124.2,352.2,2317.3
CMU-TimeSeries,51,357.9,236.0,396.3,5.0,118.0,415.0,1789.0
BPagano-RtDriven,51,383.7,230.5,564.8,10.8,91.4,421.2,2829.3
CU-select,51,403.3,142.0,601.9,1.0,36.5,543.0,3521.0
CovidAnalytics-DELPHI,51,405.4,179.0,614.4,6.0,66.0,441.5,3225.0
JHU_IDD-CovidSP,51,409.9,253.6,500.2,6.1,97.1,398.3,2298.9
Microsoft-DeepSTIA,50,414.9,199.4,594.2,12.9,67.5,486.9,3087.0
JHU_CSSE-DECOM,51,415.8,245.0,572.5,9.0,100.5,441.5,3445.0
SigSci-TS,51,434.9,217.0,760.0,1.0,51.5,442.5,4693.0
MIT_CritData-GBCF,51,448.6,222.0,649.4,1.0,122.5,447.5,3438.0
Baseline,51,465.8,264.9,648.9,3.9,114.1,457.4,3659.1
DDS-NBDS,51,471.2,150.7,1044.9,4.0,46.3,538.6,7087.2
COVIDhub-baseline,51,491.1,295.9,706.7,2.7,119.6,503.0,4174.4
UMich-RidgeTfReg,50,501.4,292.6,785.5,3.7,107.8,606.9,5167.0
CEID-Walk,51,504.0,268.5,797.5,0.9,107.3,501.8,4897.1
MIT_ISOLAT-Mixtures,44,529.6,153.8,1093.8,3.0,50.0,503.5,5714.3
AIpert-pwllnod,51,603.7,188.6,1102.8,2.9,65.7,670.1,6597.7
WalmartLabsML-LogForecasting,51,618.1,167.1,1096.1,0.2,36.3,780.6,6237.5
PSI-DRAFT,51,670.5,237.0,1717.4,4.0,87.5,530.5,12159.0
TTU-squider,51,697.5,278.6,818.6,10.5,104.9,849.4,3268.6
IowaStateLW-STEM,49,706.5,357.0,1087.7,22.4,156.0,757.5,6372.0
JHUAPL-Bucky,51,985.2,499.6,1607.1,2.4,124.8,1129.8,10334.6
