location,actual_deaths,Baseline,error-Baseline
Alabama,9930,3746.9,-6183.1
Alaska,290,99.7,-190.3
Arizona,15967,7437.1,-8529.9
Arkansas,5417,3865.3,-1551.7
California,51953,27430.7,-24522.3
Colorado,5945,2631.1,-3313.9
Connecticut,7622,4763.3,-2858.7
Delaware,1418,895.3,-506.7
District of Columbia,1010,777.0,-233.0
Florida,30734,27998.7,-2735.3
Georgia,17294,11667.1,-5626.9
Hawaii,438,656.6,218.6
Idaho,1860,940.9,-919.1
Illinois,22710,13107.1,-9602.9
Indiana,12556,5634.6,-6875.4
Iowa,5470,2867.9,-2602.1
Kansas,4692,1837.1,-2846.9
Kentucky,4625,2293.6,-2331.4
Louisiana,9587,7913.0,-1674.0
Maine,702,183.7,-518.3
Maryland,7856,4437.7,-3418.3
Massachusetts,16067,11720.9,-4346.1
Michigan,16508,8792.6,-7715.4
Minnesota,6543,3655.6,-2887.4
Mississippi,6669,4973.6,-1695.4
Missouri,8282,4960.0,-3306.0
Montana,1356,479.0,-877.0
Nebraska,2082,1147.6,-934.4
Nevada,4957,2415.6,-2541.4
New Hampshire,1170,526.4,-643.6
New Jersey,23238,16761.7,-6476.3
New Mexico,3700,1350.9,-2349.1
New York,47498,34748.4,-12565.6
North Carolina,11212,7659.4,-3552.6
North Dakota,1475,1170.9,-304.1
Ohio,18179,8762.7,-9860.3
Oklahoma,4379,1989.6,-2389.4
Oregon,2208,1176.9,-1031.1
Pennsylvania,23895,10468.4,-13426.6
Rhode Island,2502,1347.4,-1139.6
South Carolina,8498,6101.9,-2396.1
South Dakota,1886,873.7,-1012.3
Tennessee,11393,6748.4,-4644.6
Texas,43519,28312.9,-14925.1
Utah,1929,999.4,-929.6
Vermont,204,58.0,-146.0
Virginia,8382,5626.9,-2752.1
Washington,4956,3018.0,-1953.0
West Virginia,2297,885.4,-1411.6
Wisconsin,7014,3379.3,-3558.7
Wyoming,671,115.6,-555.4
US,512938,313276.7,-199473.3
