,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9930,6414.6,8076.2,7326.1,7358.0,5046.2,-3515.4,-1853.8,-2603.9,-2572.0,-4883.8,True,True,True,False
Alaska,290,534.3,525.7,335.6,,475.9,244.3,235.7,45.6,,185.9,True,True,,True
Arizona,15967,11775.9,13801.6,11611.3,12062.0,10284.2,-4191.1,-2165.4,-4355.7,-3905.0,-5682.8,True,False,True,False
Arkansas,5417,6039.3,4660.9,4117.3,6185.0,6562.1,622.3,-756.1,-1299.7,768.0,1145.1,False,False,False,False
California,51953,33113.1,43956.7,46367.7,33080.0,32034.4,-18833.9,-7990.3,-5579.3,-18867.0,-19912.6,True,True,False,False
Colorado,5945,10494.0,7484.7,6740.8,10534.0,6105.8,4549.0,1539.7,795.8,4589.0,160.8,True,True,False,True
Connecticut,7622,7719.0,8200.2,8110.7,7806.0,6525.7,97.0,578.2,488.7,184.0,-1096.3,False,False,False,False
Delaware,1418,1065.7,1248.3,1137.8,1285.0,1204.0,-268.3,-85.7,-196.2,-49.0,-130.0,True,True,True,True
District of Columbia,1010,910.4,1018.5,983.0,900.0,811.8,-99.6,8.5,-27.0,-110.0,-198.2,True,True,False,False
Florida,30734,27346.6,29626.5,28531.7,27104.0,26315.4,-3387.4,-1107.5,-2202.3,-3630.0,-4418.6,True,True,False,False
Georgia,17294,13007.4,14124.5,15138.4,14314.0,12441.3,-4286.6,-3169.5,-2155.6,-2980.0,-4852.7,True,True,True,False
Hawaii,438,404.3,360.0,496.2,,302.7,-33.7,-78.0,58.2,,-135.3,False,False,,False
Idaho,1860,2695.0,2210.6,2052.1,2738.0,2189.4,835.0,350.6,192.1,878.0,329.4,True,True,False,True
Illinois,22710,28617.3,22808.8,23489.9,27738.0,24558.8,5907.3,98.8,779.9,5028.0,1848.8,True,True,True,True
Indiana,12556,12917.6,12429.5,10446.2,13588.0,11013.3,1245.6,757.5,-1225.8,1916.0,-658.7,True,True,False,True
Iowa,5470,8550.7,4230.0,4117.2,8048.0,5234.4,3080.7,-1240.0,-1352.8,2578.0,-235.6,True,True,True,True
Kansas,4692,5177.1,3864.2,4425.1,5356.0,4509.4,485.1,-827.8,-266.9,664.0,-182.6,False,True,False,True
Kentucky,4625,3672.7,4501.1,4004.2,4414.0,3949.6,-952.3,-123.9,-620.8,-211.0,-675.4,True,True,True,True
Louisiana,9587,9358.6,9937.7,8954.9,9542.0,9499.3,-228.4,350.7,-632.1,-45.0,-87.7,False,False,True,True
Maine,702,582.7,769.9,661.7,929.0,380.3,-119.3,67.9,-40.3,227.0,-321.7,True,True,False,False
Maryland,7856,8059.3,8694.2,9275.3,7829.0,7300.3,203.3,838.2,1419.3,-27.0,-555.7,False,False,True,False
Massachusetts,16067,15094.7,16480.2,14301.1,15835.0,14073.7,-972.3,413.2,-1765.9,-232.0,-1993.3,True,False,True,False
Michigan,16508,20684.1,18301.0,17713.1,20372.0,14643.7,4176.1,1793.0,1205.1,3864.0,-1864.3,True,True,True,True
Minnesota,6543,9497.3,8149.9,6989.0,10925.0,9051.5,2954.3,1606.9,446.0,4382.0,2508.5,True,True,False,True
Mississippi,6669,6783.0,6773.3,5325.5,6683.0,6917.0,114.0,104.3,-1343.5,14.0,248.0,True,False,True,False
Missouri,8282,8137.6,7140.5,6974.0,10216.0,5950.7,-115.4,-1112.5,-1279.0,1963.0,-2302.3,False,False,False,False
Montana,1356,1708.3,1348.3,1158.5,1999.0,1783.3,352.3,-7.7,-197.5,643.0,427.3,True,True,False,False
Nebraska,2082,3197.0,2682.2,2457.8,3674.0,1893.4,1115.0,600.2,375.8,1592.0,-188.6,True,True,False,True
Nevada,4957,4971.0,5511.3,4524.5,4670.0,4832.1,14.0,554.3,-432.5,-287.0,-124.9,False,False,False,False
New Hampshire,1170,1026.4,1167.3,1659.2,1362.0,919.1,-143.6,-2.7,489.2,192.0,-250.9,True,False,False,False
New Jersey,23238,22419.6,22579.4,22724.5,21801.0,23418.3,-818.4,-658.6,-513.5,-1437.0,180.3,True,True,False,True
New Mexico,3700,4215.3,4332.1,4229.3,4348.0,2382.8,515.3,632.1,529.3,648.0,-1317.2,False,False,False,False
New York,47498,42060.4,47939.4,45326.9,42352.0,43253.7,-5374.6,504.4,-2108.1,-5083.0,-4181.3,True,True,True,True
North Carolina,11212,8863.0,10629.4,9823.0,10302.0,8461.2,-2349.0,-582.6,-1389.0,-910.0,-2750.8,True,True,True,False
North Dakota,1475,2596.0,1590.3,1368.2,3012.0,2016.0,1121.0,115.3,-106.8,1537.0,541.0,True,True,False,True
Ohio,18179,13278.9,16168.8,14477.7,16794.0,16240.2,-2119.1,770.8,-920.3,1396.0,842.2,True,True,True,True
Oklahoma,4379,3888.0,3769.8,3048.3,4742.0,4134.6,-491.0,-609.2,-1330.7,363.0,-244.4,False,False,True,True
Oregon,2208,2479.6,3013.2,4620.4,2664.0,2827.6,271.6,805.2,2412.4,456.0,619.6,False,False,False,False
Pennsylvania,23895,25898.6,28948.2,23362.6,28318.0,21562.9,2003.6,5053.2,-532.4,4423.0,-2332.1,False,True,False,False
Rhode Island,2502,2551.3,2506.8,2211.2,2313.0,2141.9,192.3,147.8,-147.8,-46.0,-217.1,True,True,True,False
South Carolina,8498,6617.3,6801.3,6072.2,6663.0,6459.5,-1880.7,-1696.7,-2425.8,-1835.0,-2038.5,True,False,True,False
South Dakota,1886,2876.7,2329.8,2043.4,3298.0,1687.4,990.7,443.8,157.4,1412.0,-198.6,True,True,False,True
Tennessee,11393,11096.9,10917.2,8247.0,11602.0,11820.9,-296.1,-475.8,-3146.0,209.0,427.9,False,False,True,False
Texas,43519,37591.4,38712.8,33162.5,42650.0,33647.8,-5690.6,-4569.2,-10119.5,-632.0,-9634.2,True,False,True,False
Utah,1929,2314.4,2656.6,2181.4,2462.0,1952.7,385.4,727.6,252.4,533.0,23.7,False,True,False,True
Vermont,204,268.7,240.2,178.5,342.0,185.1,64.7,36.2,-25.5,138.0,-18.9,True,True,False,True
Virginia,8382,6701.9,7382.1,5779.5,7009.0,6141.0,-1680.1,-999.9,-2602.5,-1373.0,-2241.0,True,False,True,False
Washington,4956,2379.6,5970.9,6198.2,4884.0,5533.3,-2514.4,1076.9,1304.2,-10.0,639.3,True,True,True,True
West Virginia,2297,2379.4,2520.2,1906.8,2514.0,3057.7,82.4,223.2,-390.2,217.0,760.7,False,False,False,False
Wisconsin,7014,8540.7,6888.6,7036.6,10444.0,6694.3,1526.7,-125.4,22.6,3430.0,-319.7,True,True,False,True
Wyoming,671,918.1,632.7,642.6,1158.0,483.6,247.1,-38.3,-28.4,487.0,-187.4,True,True,False,True
US,512938,481796.0,516748.0,464066.8,515658.0,449817.3,-26853.0,8099.0,-44582.2,7009.0,-58831.7,True,False,True,False
