,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,9930,7218.0,8310.3,7873.7,7124.0,6809.9,-2712.0,-1619.7,-2056.3,-2806.0,-3120.1,True,True,False,False
Alaska,290,262.9,460.1,422.7,,327.1,-27.1,170.1,132.7,,37.1,False,False,,False
Arizona,15967,14023.3,13869.3,13181.3,13772.0,12006.8,-1943.7,-2097.7,-2785.7,-2195.0,-3960.2,False,False,False,False
Arkansas,5417,6115.3,5554.3,4117.3,6633.0,5703.4,698.3,137.3,-1299.7,1216.0,286.4,True,False,False,True
California,51953,38791.4,52591.4,58193.3,37238.0,35929.9,-13159.6,640.4,6242.3,-14713.0,-16021.1,True,True,False,False
Colorado,5945,8409.4,7716.3,8031.3,8288.0,6910.2,2464.4,1771.3,2086.3,2343.0,965.2,True,True,True,True
Connecticut,7622,7729.9,8558.8,7896.3,7741.0,6254.7,107.9,936.8,274.3,119.0,-1367.3,False,False,False,False
Delaware,1418,1315.4,1250.7,1293.7,1319.0,1255.8,1.4,-63.3,-20.3,5.0,-58.2,False,False,False,False
District of Columbia,1010,953.9,985.7,959.2,893.0,811.8,-56.1,-24.3,-50.8,-117.0,-198.2,True,True,False,False
Florida,30734,27487.7,30592.6,30575.9,25510.0,25946.3,-3246.3,-141.4,-158.1,-5224.0,-4787.7,True,True,False,False
Georgia,17294,13409.1,14170.3,15709.9,13904.0,13388.4,-3884.9,-3123.7,-1584.1,-3390.0,-3905.6,True,True,True,False
Hawaii,438,360.9,399.1,530.0,,340.9,-77.1,-38.9,92.0,,-97.1,True,False,,False
Idaho,1860,2315.0,2347.7,2544.9,2460.0,1876.2,455.0,487.7,684.9,600.0,16.2,False,False,False,True
Illinois,22710,26934.4,23799.3,27111.9,24914.0,21689.2,4224.4,1089.3,4401.9,2204.0,-1020.8,True,False,True,True
Indiana,12556,13308.4,12416.3,11637.5,13369.0,12292.4,1728.4,836.3,57.5,1789.0,712.4,True,True,False,True
Iowa,5470,7323.9,5225.3,4117.2,7536.0,5303.0,1853.9,-244.7,-1352.8,2066.0,-167.0,True,True,False,True
Kansas,4692,4992.6,4255.4,5467.9,5119.0,4625.9,300.6,-436.6,775.9,427.0,-66.1,False,False,False,True
Kentucky,4625,4269.9,4170.8,4290.8,4052.0,4703.6,-355.1,-454.2,-334.2,-573.0,78.6,False,True,False,True
Louisiana,9587,9250.0,9398.2,9368.2,9606.0,9365.9,-337.0,-188.8,-218.8,19.0,-221.1,True,True,True,True
Maine,702,637.0,1008.1,785.6,670.0,503.0,-65.0,306.1,83.6,-32.0,-199.0,False,False,True,False
Maryland,7856,8710.7,8826.1,9116.1,8055.0,7535.1,854.7,970.1,1260.1,199.0,-320.9,False,False,True,True
Massachusetts,16067,15344.4,17271.1,16081.8,16229.0,13327.8,-722.6,1204.1,14.8,162.0,-2739.2,False,True,True,False
Michigan,16508,20738.4,17317.7,18948.7,20220.0,15325.7,4230.4,809.7,2440.7,3712.0,-1182.3,True,True,True,True
Minnesota,6543,8911.0,7413.0,8082.3,10474.0,8438.6,2368.0,870.0,1539.3,3931.0,1895.6,True,True,False,True
Mississippi,6669,6479.0,7416.7,6536.2,7038.0,6443.4,-190.0,747.7,-132.8,369.0,-225.6,False,True,False,False
Missouri,8282,9679.3,7572.4,8265.8,8294.0,6332.7,1426.3,-680.6,12.8,41.0,-1920.3,True,True,True,False
Montana,1356,1328.3,1181.8,1336.6,1850.0,1430.5,-27.7,-174.2,-19.4,494.0,74.5,False,True,False,False
Nebraska,2082,2599.9,2714.9,2816.5,2675.5,1730.0,517.9,632.9,734.5,593.5,-352.0,False,False,False,True
Nevada,4957,5144.7,5342.7,5085.4,4906.0,4782.8,187.7,385.7,128.4,-51.0,-174.2,False,True,True,True
New Hampshire,1170,1178.4,1408.8,2199.4,1460.0,846.0,8.4,238.8,1029.4,290.0,-324.0,False,False,False,False
New Jersey,23238,22560.7,21845.9,23602.7,22035.0,21164.8,-677.3,-1392.1,364.7,-1203.0,-2073.2,False,True,False,False
New Mexico,3700,4280.4,3487.3,3942.0,4189.0,3541.4,580.4,-212.7,242.0,489.0,-158.6,True,True,True,True
New York,47498,44425.1,46871.9,48395.5,43072.0,53927.5,-3072.9,-626.1,897.5,-4426.0,6429.5,True,True,False,False
North Carolina,11212,10176.7,10409.3,11623.1,10184.0,10654.4,-1035.3,-802.7,411.1,-1028.0,-557.6,True,True,True,True
North Dakota,1475,2009.7,1603.6,1842.3,2826.0,1513.8,534.7,128.6,367.3,1351.0,38.8,True,True,False,True
Ohio,18179,13517.7,15303.7,14398.9,16250.0,14209.5,-1095.3,690.7,-214.1,1637.0,-403.5,True,True,False,True
Oklahoma,4379,3670.9,3977.1,3939.6,4564.0,3855.5,-708.1,-401.9,-439.4,185.0,-523.5,True,True,True,True
Oregon,2208,3174.4,3050.2,4315.1,2945.0,2969.7,966.4,842.2,2107.1,737.0,761.7,True,False,True,True
Pennsylvania,23895,27082.0,30648.0,28695.5,29120.0,22678.2,3187.0,6753.0,4800.5,5225.0,-1216.8,False,False,False,True
Rhode Island,2502,2768.4,2657.8,2672.9,2596.0,2294.4,409.4,298.8,313.9,237.0,-64.6,True,True,True,True
South Carolina,8498,6867.0,7585.5,7469.2,6645.0,7028.4,-1631.0,-912.5,-1028.8,-1853.0,-1469.6,True,True,False,True
South Dakota,1886,2366.4,2292.1,2006.7,2982.0,1690.8,480.4,406.1,120.7,1096.0,-195.2,True,True,False,True
Tennessee,11393,12074.0,12287.6,10850.0,12694.0,12696.6,681.0,894.6,-543.0,1301.0,1303.6,False,True,False,False
Texas,43519,39893.1,40967.9,37538.9,39016.0,36443.0,-3418.9,-2344.1,-5773.1,-4296.0,-6869.0,True,False,False,False
Utah,1929,2140.7,2557.8,2541.3,2534.0,1988.9,211.7,628.8,612.3,605.0,59.9,False,False,False,True
Vermont,204,268.7,300.4,250.7,335.0,200.4,64.7,96.4,46.7,131.0,-3.6,False,True,False,True
Virginia,8382,7005.9,7327.3,8383.9,6976.5,6268.0,-1376.1,-1054.7,1.9,-1405.5,-2114.0,True,True,False,False
Washington,4956,4710.7,3857.2,5794.5,4981.5,4697.9,-245.3,-1098.8,838.5,25.5,-258.1,False,False,True,False
West Virginia,2297,2705.1,2595.1,2772.8,2732.0,2976.2,408.1,298.1,475.8,435.0,679.2,True,False,False,False
Wisconsin,7014,8725.3,7204.8,8032.5,8325.0,7654.5,1711.3,190.8,1018.5,1311.0,640.5,True,True,True,True
Wyoming,671,646.7,604.9,638.3,993.0,491.6,-24.3,-66.1,-32.7,322.0,-179.4,False,False,False,False
US,512938,498793.0,504158.2,522283.7,517798.0,476866.9,-9118.0,-3752.8,14372.7,9887.0,-31044.1,True,False,False,False
