,mean_rank
LNQ-ens1,11.5
UMass-MechBayes,11.6
RobertWalraven-ESG,12.3
CU-select,12.9
OliverWyman-Navigator,13.0
Karlen-pypm,13.1
USC-SI_kJalpha,13.6
COVIDhub-ensemble,14.3
LANL-GrowthRate,14.6
BPagano-RtDriven,14.8
IHME-CurveFit,15.3
Columbia_UNC-SurvCon,15.4
CovidAnalytics-DELPHI,16.9
Google_Harvard-CPF,16.9
CMU-TimeSeries,17.0
epiforecasts-ensemble1,17.6
MOBS-GLEAM_COVID,17.6
WalmartLabsML-LogForecasting,18.2
PSI-DRAFT,18.4
UMich-RidgeTfReg,18.7
Covid19Sim-Simulator,18.8
GT-DeepCOVID,19.2
UA-EpiCovDA,19.3
Microsoft-DeepSTIA,19.3
MIT_ISOLAT-Mixtures,19.8
JHU_CSSE-DECOM,21.3
AIpert-pwllnod,21.3
SigSci-TS,21.6
COVIDhub-baseline,22.1
CEID-Walk,22.5
UCSD_NEU-DeepGLEAM,22.7
JHU_IDD-CovidSP,23.4
MIT_CritData-GBCF,27.3
IowaStateLW-STEM,27.5
TTU-squider,28.9
JHUAPL-Bucky,29.0
COVIDhub-trained_ensemble,35.2
