,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1846,2056.1,2142.6,2843.6,210.1,296.6,997.6,False,False
Argentina,26107,11345.7,11611.4,24269.7,-14761.3,-14495.6,-1837.3,True,True
Australia,904,718.3,765.3,1324.2,-185.7,-138.7,420.2,True,False
Austria,889,783.1,816.7,718.2,-105.9,-72.3,-170.8,True,False
Bangladesh,5646,5607.7,5125.9,7984.4,-38.3,-520.1,2338.4,False,False
Belarus,925,925.3,798.9,824.1,0.3,-126.1,-100.9,False,False
Belgium,10392,10105.6,10042.5,10044.0,-286.4,-349.5,-348.0,False,False
Bolivia,8463,9341.6,7743.3,8286.6,878.6,-719.7,-176.4,True,True
Brazil,153675,171189.7,163226.3,172692.3,17514.7,9551.3,19017.3,True,False
Bulgaria,968,909.1,966.8,836.7,-58.9,-1.2,-131.3,True,False
Canada,9782,9598.0,9333.5,9460.8,-184.0,-448.5,-321.2,False,False
Chile,13588,14993.1,13125.9,13247.5,1405.1,-462.1,-340.5,True,True
Colombia,28803,36500.9,31920.1,32314.2,7697.9,3117.1,3511.2,True,True
Croatia,355,290.1,385.3,143.2,-64.9,30.3,-211.8,True,False
Cuba,125,87.0,109.4,87.9,-38.0,-15.6,-37.1,True,True
Cyprus,25,19.0,25.5,19.3,-6.0,0.5,-5.7,True,True
Czechia,1352,525.1,606.9,433.9,-826.9,-745.1,-918.1,True,False
Denmark,679,636.7,690.0,648.3,-42.3,11.0,-30.7,True,True
Dominican Republic,2195,2426.6,2304.2,2327.1,231.6,109.2,132.1,True,True
Ecuador,12375,8135.4,7328.3,22038.4,-4239.6,-5046.7,9663.4,False,False
Egypt,6109,7677.0,6577.1,7847.5,1568.0,468.1,1738.5,True,False
Estonia,68,-2.1,72.1,69.9,-70.1,4.1,1.9,True,True
Finland,351,329.0,360.9,329.9,-22.0,9.9,-21.1,True,True
France,33325,31060.6,31093.1,32675.1,-2264.4,-2231.9,-649.9,True,True
Germany,9785,9479.7,9806.8,9511.2,-305.3,21.8,-273.8,True,True
Greece,500,273.1,295.1,206.5,-226.9,-204.9,-293.5,True,False
Honduras,2563,4210.7,3875.3,6217.2,1647.7,1312.3,3654.2,True,False
Hungary,1109,607.9,662.2,643.7,-501.1,-446.8,-465.3,True,True
Iceland,11,10.0,12.9,10.5,-1.0,1.9,-0.5,False,True
Indonesia,12431,10176.0,12156.0,24614.9,-2255.0,-275.0,12183.9,True,False
Iran,30123,33367.1,28070.1,44482.4,3244.1,-2052.9,14359.4,True,False
Ireland,1849,1752.1,1818.8,2019.7,-96.9,-30.2,170.7,True,False
Israel,2190,1252.6,1373.9,3163.9,-937.4,-816.1,973.9,True,False
Italy,36474,35664.3,35597.7,37745.1,-809.7,-876.3,1271.1,False,False
Japan,1670,1175.9,1529.2,983.2,-494.1,-140.8,-686.8,True,False
Kuwait,694,717.6,797.2,820.4,23.6,103.2,126.4,False,False
Latvia,43,42.9,40.2,31.9,-0.1,-2.8,-11.1,False,False
Lithuania,113,80.0,94.9,81.0,-33.0,-18.1,-32.0,True,True
Luxembourg,133,171.3,196.7,114.7,38.3,63.7,-18.3,False,True
Malaysia,180,135.9,148.8,124.4,-44.1,-31.2,-55.6,True,False
Malta,45,9.0,12.1,9.3,-36.0,-32.9,-35.7,True,True
Mexico,86059,91891.1,84205.2,88129.4,5832.1,-1853.8,2070.4,True,True
Moldova,1569,1399.0,1323.4,1320.7,-170.0,-245.6,-248.3,False,False
Morocco,2878,1131.1,1920.3,4767.8,-1746.9,-957.7,1889.8,True,False
Netherlands,6797,6071.3,6330.3,6449.8,-725.7,-466.7,-347.2,True,True
Nigeria,1123,1213.7,1284.2,1462.6,90.7,161.2,339.6,False,False
